HourUTC,TotalLoad,Biomass,FossilGas,FossilHardCoal,FossilOil,HydroPower,OtherRenewable,SolarPower,Waste,OnshoreWindPower,OffshoreWindPower,ExchangeContinent,ExchangeGreatBelt,ExchangeNordicCountries,ExchangeGreatBritain,price
12/31/2016,0,581,99,489,13,2,5,0,161,0,0,0,0,0,0,23.37
1/1/2017,0,16313.48004,3764.679983,17105.39993,335.4,48,120.08,0,4556.95999,0,0,0,0,0,0,24.34
1/2/2017,0,17930.04001,10523.63998,21636.77994,410.2,48,133.26,0,4228.080001,0,0,0,0,0,0,33.71
1/3/2017,0,16112.15997,7831.559983,16724.78,397.8,44,144.38,0,3694.319998,0,0,0,0,0,0,31.5
1/4/2017,0,17542.60004,6865.599984,23709.02002,428,48,127.58,0,3813.199982,0,0,0,0,0,0,24.4
1/5/2017,0,20639.31998,17077.12004,40437.40002,1020.599991,48,211.92,0,4148.640013,0,0,0,0,0,0,43.69
1/6/2017,0,23259.78,14430.47998,29566.89011,776.899998,48,169.39,0,3716.559995,0,0,0,0,0,0,41.82
1/7/2017,0,21859.14001,10450.23996,23122.91998,684.7,48,164.72,0,3768.27999,0,0,0,0,0,0,31.1
1/8/2017,0,20777.10004,10033.59996,26609.91998,630.500001,48,172.68,0,3834.199996,0,0,0,0,0,0,32.6
1/9/2017,0,21885.38,7690.079988,23576.66992,361.9,48,152.21,0,4368.759987,0,0,0,0,0,0,37.41
1/10/2017,0,22339.92004,8611.719957,25311.42007,395.800002,48,122.5,0,4565.840011,0,0,0,0,0,0,30.75
1/11/2017,0,21800.15994,6755.559969,22812.35007,406.5,48,136.81,0,4209.319983,0,0,0,0,0,0,26.78
1/12/2017,0,21796.52002,7705.320008,23830.66,456.599998,48,130.86,0,4112.039994,0,0,0,0,0,0,23.62
1/13/2017,0,22383.61996,11662.92001,30232.00995,607.099999,48,151.11,0,4123.239997,0,0,0,0,0,0,37.17
1/14/2017,0,22079.16,8604.560004,25981.91009,559.8,48,170.25,0,4143.320005,0,0,0,0,0,0,30.76
1/15/2017,0,18986.24,9940.839997,27887.17999,616.2,48,159.06,0,3749.480003,0,0,0,0,0,0,32.03
1/16/2017,0,25086.31991,16347.12001,37048.37988,1010.600001,54,194.94,0,3823.639993,0,0,0,0,0,0,51.66
1/17/2017,0,24574.52005,15209.31996,33565.42999,775.600004,48,162.09,0,3743.039999,0,0,0,0,0,0,49.99
1/18/2017,0,22649.72,9562.519976,26449.04004,379.6,48,138.68,0,3523.439998,0,0,0,0,0,0,29.8
1/19/2017,0,19734.14002,7741.240005,18648.37006,472.700003,48,126.27,0,3776.279982,0,0,0,0,0,0,29.04
1/20/2017,0,19916.51996,5971.319994,18305.58988,412.600001,48,110.93,0,3554.040003,0,0,0,0,0,0,28.72
1/21/2017,0,18806.01996,5425.320017,22209.46002,395.2,48,131.06,0,4216.040009,0,0,0,0,0,0,28.73
1/22/2017,0,20562.66,5763.56,21331.00998,450.3,48,117.15,0,4314.319998,0,0,0,0,0,0,29.07
1/23/2017,0,21851.09997,7761.599992,21026.96997,344.5,48,146.63,0,4037.19999,0,0,0,0,0,0,29.46
1/24/2017,0,23692.87997,10942.07996,28034.1099,628.4,48,152.77,0,4232.75998,0,0,0,0,0,0,38.26
1/25/2017,0,22381.57999,7263.280021,23761.97006,625.400001,48,154.11,0,3942.160004,0,0,0,0,0,0,32.78
1/26/2017,0,22195.18002,10141.87996,27122.94,666.899998,48,157.74,0,3477.359984,0,0,0,0,0,0,39.08
