Fecha,hidraulica,eolica,Solar,Biomasa,Ondas,gas natural ciclo combinado,gas natural,carbon,otra termica,importacion,exportacion,turbinacion bombeo,demanda,IPC portugal,IPI PORTUGAL,EMPLEO AGRICULTURA,EMPLEO INDUSTRIA,Empleo servicios
1/1/2011,257661,8570.9,489.9,27436.9,0,79129.6,35362.4,18802.4,7281,52032.9,197.4,2298.7,481438.9,95.1321155,102.9,502,1 292,3 000
1/2/2011,253368.8,5879.8,790.3,27278,0,105503.2,36806.4,4976,7372.4,85206.9,0,2932,520905.3,95.1321155,102.9,502,1 292,3 000
1/3/2011,257574.1,18014.3,666.9,27323,0,174536.4,46808,61780.8,18959.2,54745,4405.6,5871.5,647039.5,95.1321155,102.9,502,1 292,3 000
1/4/2011,260440.8,114937.3,1026.2,28843.4,0,150669.6,46030.9,20738,19138.3,37259.4,3112.5,814.9,672665.5,95.1321155,102.9,502,1 292,3 000
1/5/2011,273445.5,235478.4,834.8,28171.4,0,63369.2,45909,19627.6,19375.1,27339.4,27417.1,7372.5,675966.3,95.1321155,102.9,502,1 292,3 000
1/6/2011,249833.3,281985.3,622.9,27671.8,0,27225.6,46998,7868.8,19612.5,31556.8,11858.4,9339,668943,95.1321155,102.9,502,1 292,3 000
1/7/2011,255413.8,263329.6,1088.1,28691.2,0,25960.4,48360.4,20906.8,19918.8,7795.6,10404.7,9855.9,648252.1,95.1321155,102.9,502,1 292,3 000
1/8/2011,271349.2,202399.1,331.1,28180.4,0,40808.4,39879.2,11890.8,11612.4,22976.6,40761.9,8012.8,578249.9,95.1321155,102.9,502,1 292,3 000
1/9/2011,300387.8,74698.5,857.2,27986.6,0,62121.2,36500.7,10565.2,8118.8,29041.8,6232.7,6035,535562.5,95.1321155,102.9,502,1 292,3 000
1/10/2011,286942.8,136533.6,1615.7,28001.7,0,41831.2,44976.7,14348.8,19139,99056.3,0,9186,660177.3,95.1321155,102.9,502,1 292,3 000
1/11/2011,295813.5,122806.5,1390.2,28575,0,69681.6,42695.9,8672.8,19262.2,80433,2460.7,9917,654323.6,95.1321155,102.9,502,1 292,3 000
1/12/2011,344776.7,26375,1578.9,27804.5,0,89168.4,43478.8,8676.8,19342.5,91186.2,0,2628.1,647224.6,95.1321155,102.9,502,1 292,3 000
1/13/2011,348245.1,39065.8,1629.6,28411.9,0,75862.8,44395.8,8980.8,20128.7,88862.7,16.6,2563.6,650657.6,95.1321155,102.9,502,1 292,3 000
1/14/2011,365593.1,20275.5,1143,26443.5,0,110702.8,44145.1,15993.2,19973.4,61380.8,4167,2861.2,656361.1,95.1321155,102.9,502,1 292,3 000
1/15/2011,350792.4,55831.9,1347,22961.2,0,136696.8,33253.9,11290,11202.9,2011.2,40364.9,2557.4,580234.4,95.1321155,102.9,502,1 292,3 000
1/16/2011,322313,89828,2042.7,25549.8,0,104519.6,22390.8,8966.4,7797.3,795.5,35423.1,0.8,546469.4,95.1321155,102.9,502,1 292,3 000
1/17/2011,320833.6,57304.6,1742.3,27431.7,0,170224.4,34243.3,11596,19676.6,21174.3,19908,1189.8,641223.9,95.1321155,102.9,502,1 292,3 000
1/18/2011,340215.5,14012.6,1707.3,28540.3,0,136319.2,36291.9,14677.2,20672.8,71541.3,2045.4,6861.5,653047.6,95.1321155,102.9,502,1 292,3 000
1/19/2011,317376.5,55257.3,1629.4,29009.6,0,147582.8,37050.7,17373.2,20590.9,39442.5,6014.8,7884,649186.8,95.1321155,102.9,502,1 292,3 000
1/20/2011,311295.6,126153.6,2143.5,28838.6,0,139747.2,36345.9,8821.6,19963.2,8507.3,29877.9,3316.6,646202.7,95.1321155,102.9,502,1 292,3 000
1/21/2011,301703,283161.4,2504.9,27972.1,0,96834,36949.5,8873.6,20451.2,0,111271.1,3743.7,660885.8,95.1321155,102.9,502,1 292,3 000
1/22/2011,315403.2,295320.1,851.4,28099.1,0,58378.8,29098.3,9504.8,10324.5,0,123522.3,6215.1,614726,95.1321155,102.9,502,1 292,3 000
1/23/2011,298839.8,276677.7,295.7,28897.5,0,75868,25213.4,8683.2,7572.7,0,124925.6,2720.4,592043.5,95.1321155,102.9,502,1 292,3 000
1/24/2011,305492.5,279000.8,508.7,29263.6,0,114662.4,38510.3,8670.8,19610.2,0,83207.3,3937.7,706286.4,95.1321155,102.9,502,1 292,3 000
1/25/2011,285378.4,206451.5,724.1,27463.6,0,150574.8,40019.4,9049.2,20469.2,1748.1,32575.6,3819.5,703188.2,95.1321155,102.9,502,1 292,3 000
1/26/2011,293965.2,87306.9,1864.3,27347.1,0,170531.2,35014.4,53739.6,19682.5,20268.2,8841.9,6331.2,692500,95.1321155,102.9,502,1 292,3 000
1/27/2011,287016,45952.4,1347.2,28717.4,0,161514,40537.7,63750.8,19673.2,59684.6,667,0,705992.7,95.1321155,102.9,502,1 292,3 000
1/28/2011,291169.6,39965.1,1759.6,28882.4,0,136499.2,40964.8,66356.8,20014.2,69175,888.1,2245,689913.2,95.1321155,102.9,502,1 292,3 000
1/29/2011,296281.5,60606.5,1606.2,29542.8,0,143358.4,29933.6,72206.4,10518.4,1432.9,33235.3,743.5,609884.4,95.1321155,102.9,502,1 292,3 000
1/30/2011,282089,66779,2378.1,29260.3,0,141915.2,26617,82462.4,6646.5,0,63328.4,0,573494.4,95.1321155,102.9,502,1 292,3 000
1/31/2011,270242.1,89105.5,2701.6,28520.9,0,190443.2,39992.4,74541.6,19134.7,2422.5,37307.1,0,678437.9,95.1321155,102.9,502,1 292,3 000
2/1/2011,254052.1,95351.7,2798,26035,0,159484.4,42039.4,85748.8,18638.6,31452.4,13446.8,1812.4,698648.1,95.12713955,104.2,502,1 292,3 000
2/2/2011,210834.5,110819.8,2908.4,26937.5,0,162181.2,41057,111720,19180.9,30960,11713.8,8756.4,694508.3,95.12713955,104.2,502,1 292,3 000
2/3/2011,208244.5,82829.7,2602.6,27684.9,0,174822,42172.6,137291.6,18769.8,22448.3,23599.1,7081.3,684732.6,95.12713955,104.2,502,1 292,3 000
2/4/2011,229367.8,15046.3,2839.3,27895.5,0,196574.8,41363.5,144387.6,19429.1,21717.9,29229.6,0,668304.3,95.12713955,104.2,502,1 292,3 000
2/5/2011,216377.5,9760.9,2865.5,29417.5,0,181718.8,32168.8,123094,10422.5,2040.8,23310.5,0,583079.7,95.12713955,104.2,502,1 292,3 000
2/6/2011,194917.9,17113.3,2792.9,29196,0,187782.4,27367.7,114338.8,6490.4,395.8,34938.7,4803.1,539015.7,95.12713955,104.2,502,1 292,3 000
2/7/2011,216521.7,33254.1,2587.2,26516.8,0,223291.2,40781.8,143138.4,19056.5,14149.8,75401.3,3227.5,639756.8,95.12713955,104.2,502,1 292,3 000
2/8/2011,195645.9,139635.3,1602.5,25981.2,0,230239.2,36460.1,131611.2,19810.5,0,119923.8,137.7,659704.1,95.12713955,104.2,502,1 292,3 000
2/9/2011,184696.8,148729.3,1155,24318.9,0,217217.2,34085.2,116915.2,19254.4,1138.9,92742.2,2712.8,650883.2,95.12713955,104.2,502,1 292,3 000
2/10/2011,163796,82154.7,2077.2,25643.3,0,212891.6,34245.2,132286.8,18118.1,13008.9,52915.8,0,630085.1,95.12713955,104.2,502,1 292,3 000
