date,finland,latvia,estlink_1,estlink_2,russia_narva,russia_pihkva,imbalance_buy_price_x,imbalance_sell_price_x,imbalance_buy_price_GAS,imbalance_sell_price_GAS,calorific_value,ess_balance,import_total_x,import_latvia,import_finland,import_exchange,import_bilateral_contracts,export_total_x,export_latvia,export_finland,export_exchange,export_bilateral_contracts,input_total,input_local,renewable_total,renewable_wind,renewable_hydro,renewable_bio,nonrenewable_total,output_total,export_total_y,consumption_local_total,renewable_solar,import_total_y,price_houses,price_enterprise,prices2
1/1/2011,360.3325987,275.4545238,360.3325987,0,-138.1847342,2.00717248,46.15319892,41.21452957,,,,,,,,,,,,,,,,,,,,,,,,,,,7.35,6.81,
1/2/2011,269.2059466,260.2178013,269.2059466,0,-195.5185388,-9.841385231,55.95388393,50.83098214,,,,231.854,61.829,61.829,0,,,293.683,114.338,179.345,,,1147.146,1002.184,68.825,24.835,2.542,41.448,933.359,1147.146,363.335,783.811,,144.962,7.35,6.81,
1/3/2011,374.9443608,186.1927664,374.9443608,0,-91.8458749,-14.80494078,56.60416544,52.49664223,,,,341.896,91.4044,91.1554,0.249,,,433.3004,165.9077,267.3927,,,1205.277,1105.107,100.393,43.464,2.027,54.902,1004.714,1205.277,437.885,767.393,,100.17,7.35,6.81,
1/4/2011,357.9183566,70.78618727,357.9183566,0,-245.9842814,13.52924596,38.65613889,35.72098611,,,,129.204,272.732,271.239,1.494,,,401.936,156.651,245.285,,,987.743,781.093,86.137,22.279,4.043,59.815,694.957,987.743,349.041,638.702,,206.65,7.35,6.81,
1/5/2011,273.6144581,239.2929624,273.6144581,0,-172.7560755,7.119541316,40.8903629,37.34651882,,,,254.621,107.9054,107.1101,0.7953,,,362.5264,164.1297,198.3967,,,995.529,850.166,96.043,23.05,3.972,69.021,754.123,995.529,403.872,591.657,,145.363,7.35,6.81,
1/6/2011,192.2839465,401.5942696,192.2839465,0,-86.34126472,20.7583008,50.77848611,47.29908333,,,,386.4268,88.6452,79.6347,9.0105,,,475.072,333.7204,141.3516,,,996.86,897.636,84.914,17.572,1.612,65.729,812.722,996.86,480.295,516.565,,99.224,7.35,6.81,
1/7/2011,-62.30766924,465.708396,-62.30766924,0,6.647049351,13.68164676,53.93930108,48.01174731,,,,325.4931,154.9635,60.0324,94.9311,,,480.4566,438.3679,42.0887,,,977.75,838.778,46.667,12.924,1.058,32.685,792.111,977.75,455.115,522.635,,138.972,7.35,6.81,
1/8/2011,67.71593347,327.4572597,67.71593347,0,67.74317357,16.18763317,52.60346774,47.08115591,,,,363.9427,127.048,99.8171,27.2309,,,490.9907,418.4251,72.5656,,,956.641,905.694,85.297,18.072,1.535,65.69,820.397,956.641,407.837,548.805,,50.947,7.35,6.81,
1/9/2011,-128.3031471,365.6971584,-128.3031471,0,145.9341163,-12.84206737,44.70591667,38.49240278,,,,257.9825,195.4968,75.2686,120.2282,,,453.4793,431.4377,22.0416,,,972.133,828.943,110.828,33.217,1.557,76.054,718.115,972.133,410.378,561.756,,143.191,7.35,6.81,
1/10/2011,-197.2120313,425.3383632,-197.2120313,0,94.8006734,-34.966231,,,,,,204.9309,232.5948,62.8312,169.7636,,,437.5257,423.4971,14.0286,,,1067.316,857.947,118.357,40.468,2.645,75.245,739.589,1067.316,423.996,643.32,,209.369,7.35,6.81,
