,2023M12,2023M11,2023M10,2023M09,2023M08,2023M07,2023M06,2023M05,2023M04,2023M03,2023M02,2023M01,2022M12,2022M11,2022M10,2022M09,2022M08,2022M07,2022M06,2022M05,2022M04,2022M03,2022M02,2022M01,2021M12,2021M11,2021M10,2021M09,2021M08,2021M07,2021M06,2021M05,2021M04,2021M03,2021M02,2021M01,2020M12,2020M11,2020M10,2020M09,2020M08,2020M07,2020M06,2020M05,2020M04,2020M03,2020M02,2020M01,2019M12,2019M11,2019M10,2019M09,2019M08,2019M07,2019M06,2019M05,2019M04,2019M03,2019M02,2019M01,2018M12,2018M11,2018M10,2018M09,2018M08,2018M07,2018M06,2018M05,2018M04,2018M03,2018M02,2018M01,2017M12,2017M11,2017M10,2017M09,2017M08,2017M07,2017M06,2017M05,2017M04,2017M03,2017M02,2017M01,2016M12,2016M11,2016M10,2016M09,2016M08,2016M07,2016M06,2016M05,2016M04,2016M03,2016M02,2016M01,2015M12,2015M11,2015M10,2015M09,2015M08,2015M07,2015M06,2015M05,2015M04,2015M03,2015M02,2015M01,2014M12,2014M11,2014M10,2014M09,2014M08,2014M07,2014M06,2014M05,2014M04,2014M03,2014M02,2014M01,2013M12,2013M11,2013M10,2013M09,2013M08,2013M07,2013M06,2013M05,2013M04,2013M03,2013M02,2013M01,2012M12,2012M11,2012M10,2012M09,2012M08,2012M07,2012M06,2012M05,2012M04,2012M03,2012M02,2012M01,2011M12,2011M11,2011M10,2011M09,2011M08,2011M07,2011M06,2011M05,2011M04,2011M03,2011M02,2011M01
Andalucía,90.504,99.485,104.806,101.853,95.879,106.724,106.459,103.983,96.187,108.005,97.767,88.733,94.959,101.301,108.689,115.411,102.418,117.801,113.707,103.131,97.282,99.431,96.514,103.461,106.623,109.901,102.731,103.876,88.327,104.696,105.681,101.555,96.387,99.047,87.966,93.211,95.829,97.911,101.442,102.721,93.488,109.992,95.166,82.411,72.741,91.083,97.686,102.352,99.659,103.739,116.915,107.837,99.261,118.106,107.881,110.729,101.464,107.227,106.159,117.378,109.662,108.428,110.013,103.501,99.984,114.199,108.389,108.57,99.826,103.698,103.017,115.343,113.725,120.036,114.096,112.307,101.673,115.472,116.013,108.993,97.855,110.839,98.311,113.941,109.185,110.071,104.094,109.15,98.425,114.516,108.818,100.104,98.387,103.121,99.916,104.445,104.368,102.805,103.906,104.098,100.323,122.085,111.606,109.133,100.971,110.286,96.43,96.924,98.767,96.028,99.099,103.394,92.386,113.4,108.723,104.709,94.041,105.974,95.693,105.607,104.478,95.146,101.573,98.649,93.866,110.523,98.849,100.456,96.11,94.863,92.68,99.346,96.844,98.177,104.122,97.448,99.6,113.351,108.238,105.442,97.96,113.768,106.607,120.097,115.067,111.647,107.834,115.079,104.753,120.392,113.944,104.513,101.651,118.932,112.508,114.883
Aragón,91.893,117.919,106.165,104.316,83.581,115.07,116.062,122.379,98.832,121.442,103.824,102.996,91.163,112.888,102.168,108.405,81.824,109.986,120.195,119.108,106.33,112.02,105.151,96.717,97.038,113.742,99.607,96.952,77.872,102.471,104.365,102.928,95.063,112.04,99.202,98.719,99.404,107.332,112.968,110.175,81.013,107.729,98.634,77.969,59.934,94.762,108.375,102.204,91.199,109.807,109.324,101.843,79.643,115.202,109.882,119.87,102.317,113.314,108.276,105.053,86.689,112.645,113.735,104.549,78.715,107.317,114.489,115.006,105.004,109.623,104.883,103.743,88.642,114.298,106.469,107.431,81.945,109.629,113.411,114.017,90.51,111.545,105.844,99.775,84.572,108.354,98.915,103.252,74.125,100.843,103.724,104.154,101.997,101.247,101.073,90.99,86.305,96.283,100.591,105.558,77.544,117.235,108.14,103.614,99.99,105.359,91.941,89.452,89.058,90.129,107.964,103.345,79.801,113.264,103.227,103.511,94.676,101.174,91.931,91.33,81.227,91.606,94.601,97.506,83.971,112.336,100.156,101.3,88.783,90.197,88.738,86.842,82.005,92.279,94.517,91.463,85.953,106.844,103.234,104.738,87.022,100.92,105.207,95.186,83.247,100.507,97.172,106.764,79.169,111.642,113.938,106.18,99.02,107.293,98.682,93.419
"Asturias, Principado de",86.997,96.107,93.357,93.509,78.239,91.366,91.608,96.218,85.576,103.658,95.858,93.26,93.432,95.89,99.754,95.628,97.167,103.389,104.534,102.456,98.362,103.179,99.938,105.352,109.308,108.958,105.372,106.672,85.196,98.626,98.356,99.471,100.05,100.333,91.225,96.433,88.914,94.105,95.773,87.084,72.93,85.809,82.715,76.046,64.111,93.073,94.985,99.724,93.016,100.718,100.889,100.195,91.878,102.148,100.263,104.653,98.381,105.726,97.666,106.938,101.753,112.644,114.11,108.158,96.93,103.832,102.04,105.245,102.377,102.784,100.695,104.796,104.253,115.451,109.738,101.057,90.074,100.505,105.946,106.848,93.964,103.686,96.736,98.338,98.147,99.586,89.167,92.082,83.659,90.246,87.939,90.692,89.937,99.916,90.033,86.432,92.96,100.055,104.817,99.765,87.876,104.793,100.075,94.976,92.785,104.723,88.854,96.372,91.367,92.635,98.059,96.24,81.427,94.049,95.449,93.335,85.994,87.478,80.382,89.24,89.644,92.608,105.671,94.27,79.78,96.912,86.948,93.852,90.799,87.287,88.797,93.693,83.168,89.102,98.524,87.954,84.709,96.452,98.86,100.395,89.495,98.984,101.084,96.31,86.234,97.268,104.479,104.164,91.742,96.895,103.143,106.177,98.176,112.479,102.232,98.067
"Balears, Illes",93.551,100.576,112.829,110.561,115.589,137.72,129.056,118.384,101.568,115.924,103.6,92.713,92.923,96.895,111.918,132.615,125.979,136.245,128.511,111.15,108.294,112.661,96.571,94.555,93.013,101.942,110.379,113.41,110.805,116.708,101.615,88.816,90.744,97.662,87.266,87.639,92.264,86.158,90.928,89.587,98.433,102.316,84.7,76.237,65.458,95.987,98.713,97.899,99.049,101.589,113.231,113.213,120.796,133.625,119.195,122.329,112.103,111.97,109.652,107.392,96.009,101.975,122.63,125.726,136.177,145.032,129.667,128.498,124.232,118.88,115.726,111.794,116.867,116.186,120.99,119.624,135.699,141.752,142.907,140.921,122.42,125.971,116.287,118.531,106.899,113.293,125.174,133.221,136.745,151.123,135.877,131.0,131.085,125.092,118.939,104.008,106.23,102.72,120.665,130.067,146.535,162.447,134.318,126.519,111.19,120.916,116.928,120.618,119.119,102.852,130.669,136.434,131.773,141.871,128.493,130.667,114.364,123.973,108.253,107.469,113.297,104.217,123.925,125.531,141.263,156.71,133.84,129.112,116.442,115.386,111.929,108.626,102.502,105.204,121.657,134.839,160.473,156.513,144.834,125.941,117.243,116.09,141.796,122.88,119.213,105.23,126.017,145.927,159.68,163.632,144.797,143.94,118.086,137.973,130.197,128.756
Canarias,105.965,121.827,118.014,119.983,108.282,115.048,110.849,112.163,97.715,118.22,103.031,102.134,102.538,110.431,106.762,109.329,104.439,111.77,106.312,105.283,100.221,107.44,94.311,97.748,102.196,107.961,105.909,107.523,95.51,105.055,94.111,94.187,96.758,103.283,89.302,98.204,98.006,101.978,103.595,97.969,95.391,99.9,88.177,85.294,78.912,105.699,103.018,110.061,106.61,109.18,112.109,105.929,108.552,118.414,102.104,109.987,105.095,110.608,103.627,111.724,102.738,113.018,116.582,105.028,109.87,119.251,113.811,115.493,109.3,112.433,100.854,108.306,112.662,121.97,118.917,105.97,109.254,115.759,108.628,107.631,102.66,116.117,100.615,111.444,111.003,113.168,109.311,110.721,113.079,113.229,109.778,108.137,111.865,115.371,109.396,110.031,111.764,112.752,115.548,115.886,118.596,124.691,112.007,114.292,101.425,108.291,104.627,113.344,112.25,115.063,126.673,117.473,110.761,118.872,113.216,112.603,105.8,105.259,108.605,109.046,108.644,118.88,121.156,113.913,117.386,122.274,109.779,111.767,112.23,110.547,103.18,111.573,107.468,117.789,126.889,117.283,124.666,124.75,120.342,112.709,108.935,121.881,119.741,117.725,125.688,126.114,122.109,124.255,129.765,131.357,127.686,123.342,116.954,124.261,111.052,114.608
Cantabria,83.241,99.405,97.543,92.781,80.794,86.01,99.286,104.921,93.214,114.296,99.214,97.887,88.252,101.439,105.479,98.84,87.006,91.839,99.965,111.103,101.012,106.868,101.475,96.74,96.086,101.542,96.569,103.682,89.789,96.556,99.465,103.527,98.957,115.364,103.322,95.141,90.372,101.737,101.56,101.366,79.85,92.735,92.618,78.074,65.546,90.393,92.711,98.235,82.465,100.296,107.541,98.912,83.118,99.467,101.558,106.797,102.514,107.731,102.293,103.681,94.464,100.637,107.991,101.626,91.11,100.391,103.794,105.706,102.754,109.043,102.961,103.824,87.585,102.664,99.843,98.071,87.541,90.244,98.411,97.951,91.939,107.73,91.023,89.698,82.819,93.969,88.929,92.801,78.071,84.562,93.505,93.816,96.627,93.923,88.403,81.077,75.013,86.1,92.763,93.747,76.663,91.259,95.106,89.822,91.911,100.304,83.229,85.335,79.794,92.42,95.284,91.122,76.035,88.927,91.91,96.813,92.214,96.7,89.412,88.667,79.292,88.652,97.127,91.314,77.775,88.339,95.364,97.479,101.404,94.702,91.243,93.001,82.449,92.152,96.813,91.399,83.649,93.941,100.227,107.792,94.233,109.012,94.354,91.241,85.943,99.945,99.913,104.642,83.365,94.58,99.919,103.94,100.729,109.319,99.206,94.264
Castilla y León,91.972,116.212,102.073,98.201,72.096,92.963,101.661,108.379,92.502,114.084,99.753,107.011,95.032,110.268,95.174,100.518,75.345,92.716,99.607,101.03,96.112,102.806,94.798,95.348,98.681,108.067,93.031,99.51,77.84,97.762,100.232,97.658,95.058,114.412,114.564,103.185,102.745,111.745,111.578,101.666,72.5,106.078,95.762,78.223,60.624,91.468,104.615,104.152,92.052,110.715,110.167,102.854,81.454,106.947,107.797,116.868,101.869,112.472,107.402,105.412,85.743,109.142,116.471,95.266,84.62,112.415,108.726,118.035,111.173,117.702,106.71,101.664,95.402,114.565,111.162,105.252,75.518,102.56,111.544,114.932,92.975,117.489,105.919,107.297,98.664,115.426,110.73,111.657,82.079,105.112,108.634,114.801,122.587,125.671,115.174,103.069,100.506,117.95,111.19,110.626,82.022,120.794,118.03,107.387,100.953,113.394,102.067,100.246,97.764,107.93,114.307,112.033,84.526,111.031,106.427,105.152,103.68,111.028,105.631,105.204,93.363,107.997,108.071,105.73,78.439,107.905,97.28,101.087,100.43,95.5,94.733,95.561,93.196,111.888,110.126,99.779,87.216,107.055,108.52,113.358,100.716,115.016,115.516,113.324,104.801,127.792,120.585,120.981,93.865,115.554,120.08,125.235,112.575,133.263,115.262,112.664
Castilla - La Mancha,98.944,112.129,111.441,111.774,93.837,110.424,97.379,106.527,99.837,116.659,101.819,100.464,100.185,113.729,107.041,108.444,93.195,105.934,104.548,105.527,105.284,109.982,97.53,97.489,99.984,113.745,105.575,104.757,89.529,106.916,92.992,94.435,97.551,107.848,93.564,93.103,95.589,100.151,107.833,103.717,89.538,105.286,88.742,82.68,71.28,99.09,95.236,99.303,95.906,107.411,114.946,104.125,90.192,111.96,101.434,104.959,99.487,105.14,100.256,106.379,91.415,105.826,111.345,98.096,86.855,104.268,99.072,103.509,104.212,103.294,93.901,100.629,95.009,103.401,106.511,100.725,90.089,104.078,104.114,101.388,98.167,108.057,96.456,95.415,88.223,105.048,100.306,102.685,89.176,103.004,104.401,94.929,102.326,101.791,98.168,92.371,88.802,100.645,103.06,107.786,92.57,115.313,104.993,98.448,97.203,101.383,93.519,89.432,92.105,94.757,102.544,102.945,85.473,107.065,91.811,99.156,91.278,94.713,89.722,92.473,86.842,97.143,105.4,102.202,84.792,108.146,90.972,92.977,94.587,92.225,88.264,91.709,88.629,100.471,100.017,94.741,89.584,107.562,98.558,99.96,91.317,98.276,98.708,96.787,98.958,108.039,105.159,106.779,93.404,113.657,115.974,107.882,105.514,120.501,107.732,102.65
Cataluña,86.667,107.559,105.152,100.111,78.203,104.431,106.666,108.43,93.007,114.001,99.328,96.759,92.545,106.106,100.302,104.579,79.038,102.728,104.931,110.098,99.471,113.067,101.424,93.359,94.545,108.781,100.854,100.752,75.867,106.069,101.814,104.537,102.286,111.236,98.807,94.452,91.434,103.002,104.461,100.22,70.899,104.054,90.588,78.908,66.738,96.206,102.508,99.249,87.816,102.596,111.063,99.7,78.43,110.521,101.058,112.3,101.501,110.541,101.707,105.082,85.883,108.285,111.491,98.19,79.939,110.543,107.444,112.879,105.541,108.739,103.47,104.84,93.512,114.002,108.581,103.768,79.898,106.505,106.702,110.955,92.076,113.964,100.21,97.405,89.864,105.709,100.73,104.248,74.295,104.616,104.053,102.313,105.686,101.462,99.685,90.914,89.477,99.144,101.097,99.173,70.626,108.119,99.176,97.408,95.444,104.455,94.455,89.926,86.227,93.978,103.051,94.58,67.041,104.528,93.036,99.796,93.136,99.257,92.986,91.87,82.178,92.402,101.021,93.224,69.421,103.439,92.69,98.016,94.234,91.3,90.565,93.176,76.983,90.493,99.262,88.848,70.761,98.644,97.062,97.173,86.885,98.775,95.378,90.639,85.256,96.383,95.474,102.531,73.304,104.529,101.434,102.922,90.092,106.654,94.007,91.629
Comunitat Valenciana,84.725,98.063,92.348,102.339,76.306,102.703,109.145,108.529,96.593,118.037,104.008,97.545,93.362,106.846,105.832,111.381,83.789,112.753,115.238,113.5,97.519,109.272,104.299,100.278,96.853,103.114,100.003,110.432,80.926,105.608,105.338,103.099,98.717,110.845,93.016,92.048,97.24,104.177,105.788,102.825,79.358,107.259,94.988,80.188,61.085,93.154,99.756,94.818,88.137,99.896,107.405,102.584,76.883,110.484,101.062,107.737,98.655,102.338,97.698,97.021,87.239,101.429,102.444,99.467,79.373,104.47,103.897,106.462,95.419,101.908,96.161,95.992,87.493,98.341,95.53,99.872,77.416,101.786,108.16,106.154,88.719,108.809,94.635,95.685,86.77,102.432,94.676,100.999,75.395,100.04,104.516,100.047,98.545,97.946,100.216,90.54,87.012,95.372,94.502,100.096,70.529,106.48,104.326,97.024,90.996,97.192,89.763,84.524,81.463,88.653,91.756,91.164,64.439,100.395,95.841,93.821,89.618,89.441,87.035,81.65,79.483,86.857,91.095,87.755,67.187,95.582,89.163,92.059,85.076,81.324,80.607,84.167,72.947,85.442,86.666,82.748,67.27,91.567,89.686,90.16,77.952,89.181,85.545,79.823,79.942,88.816,87.278,93.022,68.606,95.115,96.86,95.012,85.91,100.988,90.559,83.926
