"","Hidráulica","Turbinación bombeo","Eólica","Solar fotovoltaica","Otras renovables","Cogeneración","Generación total"
"1",35689.092,53753.75,7274.411,85.182,5139.449,138187.181,240129.065
"2",45628.383,59484.48,4454.482,84.927,5823.966,104190.238,219666.476
"3",46727.793,74117.91,9343.758,171.727,7449.42,131844.143,269654.751
"4",42689.514,68813.09,6959.523,210.964,6786.697,113245.322,238705.11
"5",45774.046,46014.05,6293.508,207.808,7437.047,104436.804,210163.263
"6",33603.595,50845.74,3072.757,242.733,7197.867,120782.293,215744.985
"7",22027.833,46322.57,2067.964,280.577,7696.47,78020.505,156415.919
"8",4975.962,35584.2,2047.057,258.08,6778.175,76867.579,126511.053
"9",7031.657,21894.1,4784.784,204.545,6789.896,89871.579,130576.561
"10",8388.351,21313.19,9549.869,151.832,8003.707,88514.742,135921.691
"11",18738.191,25133.06,9811.128,67.645,5936.858,79258.01,138944.892
"12",31730.871,34562.14,8891.183,101.123,6887.232,94505.754,176678.303
"13",40162.514,68558.01,12641.086,155.628,7073.671,85171.631,213762.54
"14",33914.911,66006.839,7820.483,117.792,6916.984,56925.317,171702.326
"15",35467.887,67888.56,6052.265,180.712,6088.046,80375.276,196052.746
"16",34042.031,73154.771,4541.398,203.692,7554.898,68499.482,187996.272
"17",20673.844,53140.48,4388.982,252.415,6616.726,75084.956,160157.403
"18",14734.025,37621.24,3756.641,269.788,7337.995,84349.994,148069.683
"19",9549.936,30605.419,3521.412,252.486,7770.277,80844.214,132543.744
"20",5030.08,25732.806,1511.157,226.156,7636.731,83187.386,123324.316
"21",5995.53,30052.41,4358.696,218.241,6881.859,79259.871,126766.607
"22",8352.706,53393.99,8238.554,180.152,6961.763,46657.808,123784.973
"23",11717.429,48268.141,11151.29,88.638,7410.117,40878.47,119514.085
"24",37890.76,52380.29,8326.986,73.015,7546.891,50667.178,156885.12
"25",30149.728,50204.43,4938.689,79.094,5132.423,72305.811,162810.175
"26",43038.472,39385.299,3788.486,76.127,7017.867,54530.362,147836.613
"27",57502.27,53373.219,5547.978,155.414,7805.623,48115.333,179390.132
"28",44870.911,51903.342,7064.598,227.987,7117.571,57216.15,175118.258
"29",30136.287,46795.099,8008.621,233.599,7415.485,52977.747,152509.461
"30",12855.89,31898.201,2631.018,247.708,7141.288,73704.064,134768.043
"31",9980.311,14528.859,2258.202,240.337,7452.047,75893.381,117086.182
"32",6323.838,30279.341,5241.213,243.499,7397.899,73909.084,130122.518
"33",3542.216,37477.62,2584.363,188.536,7152.752,74336.028,131833.271
"34",12788.635,42404.29,8689.279,154.516,7436.248,59075.94,137354.413
"35",15100.055,37772.022,7367.862,110.124,7134.239,29410.815,103190.705
"36",18712.81,41308.301,12620.636,98.369,6872.374,44871.341,130814.042
"37",20134.369,54625.46,9279.857,81.027,4489.022,47757.572,142762.13
"38",28446.535,48184.139,5874.1,109.951,5117.249,64556.967,155546.826
"39",50177.277,42077.51,6916.217,144.863,7391.395,56208.829,169801.145
"40",46377.82,46483.59,9894.369,206.76,7175.317,56069.221,172911.366
"41",31065.752,42233.601,7184.21,260.078,6894.051,53411.669,147920.555
"42",19481.568,27537,2766.553,243.875,6998.899,67003.652,130797.421
"43",16610.78,22387.21,2052.173,230.722,5899.354,71958.905,126177.576
"44",6438.245,25955.73,2710.236,251.436,6637.073,65945.864,114924.007
"45",7129.132,19981.11,4153.21,191.958,6967.59,68216.364,113461.544
"46",7355.561,27542.92,4818.75,169.301,7237.144,98204.539,152392.026
"47",11394.404,33459.49,8755.933,95.637,4443.593,99638.863,164076.372
"48",10433.072,37596.908,6097.201,109.654,7322.35,82337.433,151003.642
"49",17878.633,36863.891,7822.318,103.405,7349.406,99348.111,175796.88
"50",25229.059,40153.12,7112.825,113.716,4609.574,96060.05,174391.489
"51",19672,46442.709,8473.928,167.232,7318.16,105718.1,193046.76
"52",12882.817,41960.2,3179.508,241.126,7201.663,100453.899,172804.292
"53",12527.772,33433.05,5754.835,241.178,7343.75,85295.948,151292.486
"54",9626.879,20083.551,2906.197,186.796,7064.926,86194.941,132878.664
"55",8862.651,13143.02,3172.554,203.198,6327.045,94066.868,132833.957
"56",3858.954,28784.56,3645.445,192.951,7391.821,73476.743,123495.921
"57",3994.312,26602.82,3329.527,172.29,7204.197,86556.846,134422.302
"58",5182.987,32420.33,5497.439,147.693,7382.216,92730.749,150161.397
"59",15546.776,35702.548,8798.808,104.627,7187.613,102845.945,177059.545
"60",39419.559,44494.216,6188.744,69.981,7114.52,142533.901,246872.587
