"","Hidráulica","Nuclear","Ciclo combinado","Eólica","Solar fotovoltaica","Solar térmica","Otras renovables","Cogeneración","Generación total"
"1",62421.704,738552.454,170119.715,1292874.441,90180.971,21045.296,18403.65,120879.106,2542434.868
"2",60105.585,667638.542,112992.732,1147088.998,106890.083,33201.086,21558.745,103099.016,2278860.336
"3",115998.565,727745.369,70050.358,1176537.674,107414.616,17486.86,18624.022,100607.061,2343476.38
"4",112919.815,701895.857,3653.779,652009.175,153147.758,43793.118,19887.387,105295.278,1808200.282
"5",84402.488,373476.46,35361.043,589094.039,176894.343,79634.433,25171.732,107199.5,1534406.462
"6",79071.121,111872.72,13217.807,468036.339,188356.181,101892.678,24350.317,100063.688,1210590.587
"7",85993.878,695733.761,94048.07,471873.274,198573.947,122794.066,21773.976,101492.828,1973493.769
"8",79928.589,650285.208,126496.863,403572.044,179981.139,102005.479,14143.485,31476.967,1670658.478
"9",75336.797,711132.61,107010.682,378037.406,156478.63,77795.382,17047.853,97391.425,1754551.174
"10",46340.743,736763.963,102504.774,426845.022,134550.92,39746.232,18843.087,104267.394,1691939.232
"11",41595.668,713323.4,81781.546,930342.028,109943.371,18760.603,15859.251,90070.13,2021725.46
"12",68205.95,636458.471,178710.053,721168.184,99906.729,20089.704,18501.47,88695.657,1955767.278
"13",96235.832,738184.851,88263.147,1230465.306,73383.005,7935.708,20416.378,93543.921,2373854.388
"14",122909.719,666176.274,22934.92,1100210.897,81438.652,10056.944,17766.836,60645.769,2093683.188
"15",122126.822,736701.682,66267.094,920786.579,148215.489,53442.217,21438.002,49240.853,2119803.629
"16",109262.165,711822.488,101576.054,719274.917,164471.868,73040.969,15459.093,47054.812,1942438.576
"17",88379.735,521297.787,63577.617,564641.152,188150.619,102471.761,14580.771,52744.032,1724598.814
"18",78089.827,39026.1,118871.562,447080.718,184316.686,106251.767,21346.988,64882.949,1197351.738
"19",73432.123,729508.598,34817.13,461823.248,197802.071,124035.054,22127.64,69965.566,1848108.176
"20",64812.042,731119.718,126496.93,417789.906,191388.556,122683.84,16315.097,49858.773,1814146.503
"21",74643.172,709102.878,170468.369,316394.44,143767.632,64346.29,19444.847,64166.774,1693331.753
"22",46822.57,736337.214,109405.062,528094.446,135816.312,45352.989,21191.039,64648.229,1710840.496
"23",47487.629,713371.011,45441.59,905348.54,77008.552,11232.545,17991.816,51832.562,1980724.111
"24",82006.916,737428.098,87549.716,778660.533,103671.738,13402.603,19845.267,50146.099,2008047.592
"25",65596.787,736096.046,115920.162,843910.618,119605.298,28687.751,21508.804,38994.493,2128438.872
"26",92607.633,665073.223,112542.05,1171293.597,96742.495,27050.436,16674.692,47419.053,2301947.388
