Fecha,Hidráulica,Turbinación bombeo,Nuclear,Carbón,Ciclo combinado,Eólica,Solar fotovoltaica,Solar térmica,Otras renovables,Cogeneración,Generación total
01-2013,62421.704,14747.08,738552.454,0.0,170119.715,1292874.441,90180.971,21045.296,18403.65,120879.106,2542434.8680000002
02-2013,60105.585,14327.09,667638.542,0.0,112992.732,1147088.998,106890.083,33201.086,21558.745,103099.016,2278860.336
03-2013,115998.565,11926.23,727745.369,0.0,70050.358,1176537.674,107414.616,17486.86,18624.022,100607.061,2343476.38
04-2013,112919.815,17949.94,701895.857,0.0,3653.779,652009.175,153147.758,43793.118,19887.387,105295.278,1808200.282
05-2013,84402.488,10287.77,373476.46,0.0,35361.043,589094.039,176894.343,79634.433,25171.732,107199.5,1534406.4619999998
06-2013,79071.121,6606.67,111872.72,0.0,13217.807,468036.339,188356.181,101892.678,24350.317,100063.688,1210590.587
07-2013,85993.878,725.74,695733.761,0.0,94048.07,471873.274,198573.947,122794.066,21773.976,101492.828,1973493.769
08-2013,79928.589,874.78,650285.208,0.0,126496.863,403572.044,179981.139,102005.479,14143.485,31476.967,1670658.4780000001
09-2013,75336.797,2063.38,711132.61,0.0,107010.682,378037.406,156478.63,77795.382,17047.853,97391.425,1754551.1739999999
10-2013,46340.743,16434.69,736763.963,0.0,102504.774,426845.022,134550.92,39746.232,18843.087,104267.394,1691939.232
11-2013,41595.668,8948.19,713323.4,0.0,81781.546,930342.028,109943.371,18760.603,15859.251,90070.13,2021725.46
12-2013,68205.95,8338.18,636458.471,0.0,178710.053,721168.184,99906.729,20089.704,18501.47,88695.657,1955767.278
01-2014,96235.832,7411.98,738184.851,0.0,88263.147,1230465.306,73383.005,7935.708,20416.378,93543.921,2373854.3880000003
02-2014,122909.719,13930.48,666176.274,0.0,22934.92,1100210.897,81438.652,10056.944,17766.836,60645.769,2093683.188
03-2014,122126.822,4287.39,736701.682,0.0,66267.094,920786.579,148215.489,53442.217,21438.002,49240.853,2119803.629
04-2014,109262.165,2804.84,711822.488,0.0,101576.054,719274.917,164471.868,73040.969,15459.093,47054.812,1942438.5760000001
05-2014,88379.735,2863.96,521297.787,0.0,63577.617,564641.152,188150.619,102471.761,14580.771,52744.032,1724598.8139999998
06-2014,78089.827,2360.69,39026.1,0.0,118871.562,447080.718,184316.686,106251.767,21346.988,64882.949,1197351.738
07-2014,73432.123,354.25,729508.598,0.0,34817.13,461823.248,197802.071,124035.054,22127.64,69965.566,1848108.1760000002
08-2014,64812.042,1184.46,731119.718,0.0,126496.93,417789.906,191388.556,122683.84,16315.097,49858.773,1814146.5030000003
09-2014,74643.172,1156.87,709102.878,0.0,170468.369,316394.44,143767.632,64346.29,19444.847,64166.774,1693331.753
10-2014,46822.57,13193.8,736337.214,0.0,109405.062,528094.446,135816.312,45352.989,21191.039,64648.229,1710840.4960000003
11-2014,47487.629,9665.75,713371.011,0.0,45441.59,905348.54,77008.552,11232.545,17991.816,51832.562,1980724.1109999998
12-2014,82006.916,1804.21,737428.098,0.0,87549.716,778660.533,103671.738,13402.603,19845.267,50146.099,2008047.592
01-2015,65596.787,2429.59,736096.046,0.0,115920.162,843910.618,119605.298,28687.751,21508.804,38994.493,2128438.8719999995
02-2015,92607.633,2868.27,665073.223,0.0,112542.05,1171293.597,96742.495,27050.436,16674.692,47419.053,2301947.3880000003
03-2015,81816.216,2452.989,735057.003,0.0,84617.552,742101.423,147910.366,57475.916,23094.075,59031.948,2035680.731
04-2015,53288.794,8160.88,678586.067,0.0,69613.986,713422.253,153528.835,62795.629,22104.948,49440.794,1902163.8090000001
05-2015,71508.36,447.82,3027.958,0.0,103446.081,579118.971,189202.675,106867.088,19164.353,61740.125,1250929.69
06-2015,72428.215,131.59,705582.559,0.0,86605.06,371541.161,180245.535,107891.455,21817.899,68971.817,1785442.533
07-2015,59335.89,626.46,731197.646,0.0,206299.35,491035.189,189245.047,124924.781,24834.951,70891.783,2011186.161
08-2015,56432.683,1187.46,737687.855,0.0,93846.21,504917.148,170116.67,87635.975,23141.152,65065.925,1820960.921
09-2015,49267.38,320.22,717114.926,0.0,122309.166,439335.662,151878.31,69056.626,21711.138,76624.015,1646315.368
10-2015,31731.108,4633.51,742643.318,0.0,68258.007,522908.763,111988.294,27171.092,17067.861,83155.093,1608688.0529999998
11-2015,32250.053,4705.55,718112.438,0.0,95307.332,561274.351,119857.083,24102.228,19330.333,68876.34,1642890.7680000002
12-2015,34651.256,3773.33,743639.63,0.0,121921.614,345857.27,92589.66,11827.321,21725.924,77166.978,1452109.0150000001
01-2016,38409.754,12013.16,743136.605,0.0,154146.076,986575.047,71510.187,6119.934,20968.482,69215.708,2100994.182
02-2016,49772.772,8944.27,644976.563,0.0,97332.311,1219444.604,94343.911,15848.623,20654.591,66091.223,2216504.558
03-2016,65229.127,7796.54,740895.78,0.0,116351.83,930361.453,149780.351,58238.15,21518.498,66187.812,2156359.5409999997
04-2016,79835.107,7087.45,683846.861,0.0,112230.412,689452.95,146399.49,63261.569,17780.559,64485.702,1864380.0999999999
05-2016,98626.806,4548.03,86464.56,0.0,157281.914,615803.609,161928.257,73463.461,21744.905,84213.014,1304074.5559999999
06-2016,75398.448,95.43,713308.293,0.0,73673.28,503756.46,189046.173,120466.757,21205.678,88132.871,1785083.3900000001
07-2016,65038.95,139.7,733952.479,0.0,17328.886,490507.282,185816.281,117687.113,20895.091,91937.426,1723303.208
08-2016,67628.245,65.73,733747.856,0.0,10691.811,465187.814,184750.847,117280.984,23283.193,93674.548,1696311.028
09-2016,60711.851,103.09,712928.273,0.0,47693.338,388827.611,158863.425,83211.638,23053.466,89763.949,1565156.641
10-2016,32540.329,1153.72,740469.019,0.0,109567.535,317914.879,118016.681,40558.011,13827.763,92081.857,1466129.7940000002
11-2016,60095.729,143.77,716935.053,0.0,179883.977,637404.607,87047.527,16833.411,13484.503,90276.976,1802105.553
12-2016,38657.213,3226.17,741837.379,0.0,181980.973,435300.906,77253.994,8910.347,19993.63,92679.993,1599840.605
01-2017,37808.44,363.75,741130.636,0.0,201971.787,822673.425,93197.369,16230.123,23743.209,93217.871,2030336.61
02-2017,56784.497,2387.17,669194.537,0.0,63297.578,972700.961,89947.202,13654.467,21205.376,88053.993,1977225.781
03-2017,47208.331,4775.98,739450.191,0.0,56396.363,792198.22,149596.041,54433.226,23004.473,87002.923,1954065.748
04-2017,53951.103,0.01,715090.13,0.0,62605.813,586077.131,170609.649,82201.555,19191.42,88586.806,1778313.6169999999
05-2017,54323.214,128.38,101934.809,0.0,97720.91,565745.242,181853.325,91483.471,21600.797,93903.938,1208694.086
06-2017,20841.274,344.19,624033.804,0.0,151497.078,545309.443,182818.437,104274.533,19693.637,89164.456,1737976.852
07-2017,26409.056,4155.14,735421.62,0.0,81943.761,469911.038,188482.295,110555.159,25223.087,93878.367,1735979.523
08-2017,22359.924,3447.94,734017.01,0.0,156684.606,457862.347,167928.703,96972.389,24663.542,91825.764,1755762.2249999999
09-2017,22911.208,6015.14,714546.806,0.0,159193.469,393847.719,164493.574,85515.02,22532.511,75449.685,1644505.132
10-2017,23883.893,4124.63,739839.299,0.0,192156.162,314998.807,146549.326,54665.622,20663.163,94530.96,1591411.862
11-2017,22521.597,7045.28,716646.765,0.0,274556.429,544062.505,118551.286,23210.203,20506.825,97795.638,1824896.528
12-2017,21075.307,8730.15,739924.088,0.0,160048.118,1041780.425,90772.158,9482.261,23522.556,94729.155,2190064.218
