"","Hidráulica","Turbinación bombeo","Eólica","Solar fotovoltaica","Otras renovables","Cogeneración","Generación total"
"1",483421.615,97794.01,1350506.381,38243.202,15966.877,299449.493,2465214.276
"2",701195.744,71719.9,1124188.943,49751.813,13685.113,272587.982,2401985.886
"3",946849.253,122375.657,1424978.593,54256.76,15282.451,290232.974,2868975.162
"4",1367425.94,41929.809,1160468.04,77868.13,14702.271,275494.158,2967059.059
"5",720789.542,26870.457,824983.652,91872.799,15738.643,261441.895,2075955.965
"6",490097.462,16869.4,842101.176,99520.808,11620.686,234956.223,2179220.737
"7",488861.868,67.426,652816.305,103635.629,15222.437,236705.43,2638967.457
"8",619428.059,45.023,794751.652,105039.432,14977.612,163727.366,2592676.84
"9",563449.615,373.206,721229.977,84660.543,15360.08,220844.616,2675267.946
"10",580934.889,25400.708,1076831.672,61182.992,15550.156,244353.563,2541044.342
"11",763044.102,29277.481,1594971.684,46036.894,14306.846,238766.642,2905216.458
"12",560742.139,52824.725,1181840.032,39150.152,18952.909,232649.96,2882089.252
"13",1055427.61,91564.342,1672953.906,29646.597,23594.166,237753.75,3293755.02
"14",1762539.35,34913.908,1563177.707,40353.474,16362.769,121931.418,3530144.085
"15",1674716.216,61606.228,1205128.925,76030.87,17493.77,99844.956,3190453.291
"16",1808547.94,51934.095,814647.386,80846.306,14595.366,95561.77,2897259.318
"17",578410.81,56331.322,1088167.317,101233.368,24157.023,135063.716,2549166.925
"18",510200.551,27106.02,791924.268,101098.835,22622.84,149858.852,2782620.558
"19",428117.421,22080.07,848688.42,102486.001,25610.246,148947.56,2932671.147
"20",458539.027,19010.473,685561.837,100623.441,21825.932,129570.725,2488826.569
"21",559687.044,25806.615,523193.332,75939.931,25014.082,145933.043,2869141.683
"22",512838.986,34562.44,850813.667,67108.995,25578.889,148272.476,2632049.263
"23",506836.021,46497.716,1336255.518,30682.416,8733.719,135954.749,2528065.126
"24",821798.944,25826.828,950049.538,37200.823,23538.286,133323.083,2547048.276
"25",637510.904,45097.203,1004888.307,44318.279,22498.831,155387.728,2702682.616
"26",883091.832,50156.551,1300523.644,45112.764,11152.613,136820.633,2770488.053
"27",1103229.922,45547.637,1221705.898,75058.064,17242.083,144819.236,2691985.222
"28",764016.645,41248.243,852240.595,78124.441,13462.115,145996.018,2328564.901
"29",837903.066,19123.963,1281048.611,102136.555,23210.147,143729.155,2691682.471
"30",615367.367,7088.998,597889.989,92061.312,22633.312,147177.85,2700342.203
"31",585765.804,5052.961,723636.507,103782.464,23813.666,166249.505,3096634.863
"32",459010.939,21555.761,798634.183,94101.131,25849.126,146978.34,2674027.314
"33",486508.176,21190.607,750481.662,80228.545,24590.452,144684.05,2295282.674
"34",466845.138,41775.047,1028249.604,56438.801,23152.033,147107.662,2451597.957
"35",550438.665,53535.96,784711.728,44746.515,25609.497,162445.525,2646709.161
"36",357216.641,62472.122,794015.151,31157.671,18600.729,158721.644,2398081.429
"37",1064810.658,86800.312,1421817.058,27163.809,17978.447,165938.865,3101620.64
"38",1250785.637,64450.186,1458521.539,46675.854,17999.829,145956.229,3104662.506
"39",1270890.058,49201.052,1306900.619,68188.688,6491.213,145120.556,2836834.088
"40",1873413.577,34788.25,1164545.176,73412.272,16458.326,157137.662,3310828.912
"41",1786868.031,17212.96,808307.769,85120.451,23465.384,160704.119,2911781.917
"42",706738.072,6602.473,725281.203,100554.186,19740.058,160729.266,1834911.079
"43",602820.32,1709.406,721956.956,106345.157,24541.335,156060.878,2057232.571
"44",681431.941,17795.094,785407.74,101534.314,26465.728,141539.489,2284761.444
"45",553720.12,10076.184,586690.279,82699.385,26025.667,154164.909,2390889.971
"46",658743.306,9576.077,492171.563,64211.817,23799.49,165090.393,2779617.227
"47",472717.184,31584.563,976572.244,39695.043,26174.014,145800.944,2952338.764
"48",587929.736,26399.767,491771.587,34141.458,18021.865,159022.644,2650814.879
"49",679865.372,38834.123,1058838.44,49348.663,22769.086,177788.855,3321206.594
"50",395350.792,64255.831,1236091.062,49207.014,24052.548,161763.791,2599361.749
"51",698081.623,18648.786,1100376.868,71866.938,16467.348,180125.247,2136804.049
"52",396041.177,32661.691,1030506.397,96971.235,9937.932,163424.496,1720213.357
"53",377772.185,25645.146,782901.786,85663.977,26170.64,176401.561,1892607.855
"54",366916.584,17317.241,723752.993,90180.371,22423.654,193371.126,2167839.191
"55",228639.717,24715.974,796496.61,102564.671,24963.881,208265.738,1623544.156
"56",195023.618,27441.81,778858.953,94436.136,26675.259,202746.59,1418333.447
"57",177554.596,13086.936,615907.132,89664.618,22789.674,204479.918,1198065.085
"58",217231.365,8529.22,637397.076,75545.761,13098.374,223443.219,1984956.707
"59",239168.623,15647.469,873948.754,57391.504,26723.121,225430.526,2471840.98
"60",202932.821,45045.684,1358109.866,36659.646,27261.152,215767.632,2801153.816
"61",355847.936,26283.07,1219173.659,37487.461,26379.274,204289.854,2245976.214
"62",428231.512,17614.378,1011058.015,48206.37,24634.463,184593.213,2278881.392
"63",966951.655,74644.439,1941582.556,58365.023,16878.413,200725.38,3293937.485
"64",1176007.645,85104.504,944467.352,72138.408,11908.221,213545.344,2495308.004
"65",787099.702,25220.054,750581.878,87491.671,18894.887,224691.828,1934818.695
"66",885313.016,6093.642,546588.37,85368.474,22999.274,213790.861,1779340.128
"67",790357.493,3233.219,564987.955,97928.569,25767.927,214933.944,1983139.378
"68",655200.102,12775.246,728354.464,99437.018,27424.658,208196.898,2120204.537
"69",646718.965,3553.689,509901.314,85173.992,25349.643,213204.676,1950338.318
"70",372850.292,40635.676,1110894.927,63180.109,25612.957,229311.683,2178304.587
"71",454132.28,18520.566,1156856.067,34954.137,26666.383,233779.025,2546949.664
"72",539618.774,18235.73,977812.034,33652.549,18057.117,237485.706,1975662.423
"73",498000.701,27854.889,1277136.993,46466.023,26022.214,252284.319,2362814.541
"74",532852.413,29745.204,685497.884,65757.36,24335.148,218697.946,1657157.568
"75",525850.947,38050.022,1176169.894,89369.758,22172.837,242607.914,2088913.412
"76",371615.305,41.638,1071785.443,74027.051,14455.465,218930.241,1745686.786
"77",295840.986,2759.28,1138472.047,102920.847,21555.692,236031.014,1792701.031
"78",194490.28,4341.081,763644.114,95087.708,26052.804,229330.651,1308484.457
"79",349848.65,1567.206,695703.645,95817.868,23450.273,233227.444,1395063.277
"80",359216.117,5380.542,614050.53,92227.992,18781.99,231662.191,1316821.253
"81",399504.226,14377.673,964221.211,79396.164,26136.091,230690.548,1710098.508
"82",229935.938,596.789,877171.412,59072.731,25233.693,254429.558,1441877.022
"83",410281.133,13302.16,1863694.203,30794.852,21943.085,242702.295,2577835.088
"84",1326686.653,23718.795,1329337.817,33319.141,21812.787,229859.035,3005216.644
"85",1150910.25,40238.554,1264624.624,38982.897,21746.972,256007.055,2904773.766
"86",791605.827,52839.558,999361.437,76383.199,29962.532,245912.052,2363042.969
"87",549093.805,79903.058,1362043.934,89462.673,27320.824,225687.446,2347285.753
"88",722562.473,52793.349,778150.173,84007.859,15868.839,162750.041,1812591.601
"89",573872.776,20353.092,799915.256,122611.728,37434.732,197638.031,1748651.102
"90",414579.573,2371.702,705226.295,125719.417,45733.747,224406.992,1514862.726
"91",401794.023,15939.414,862085.46,149627.031,50706.551,234424.371,1713106.12
"92",678064.64,9667.293,748195.029,133562.835,24003.739,232134.098,1824904.937
"93",498813.313,29.408,865353.853,114774.156,40409.785,231504.668,1750163.144
"94",600696.52,8864.667,1384592.364,86940.005,45684.798,225112.256,2351184.517
"95",860679.118,5622.116,1000035.773,52719.204,24197.523,216272.878,2158881.373
"96",793402.037,42149.815,1806458.153,42567.867,54167.644,220776.087,2959251.67
"97",1156726.799,19511.769,1572457.728,56869.972,48365.712,238577.992,3092509.972
"98",1448328.696,43130.441,1543768.847,66556.204,43697.575,188140.733,3333622.496
"99",1206854.01,33243.969,1236567.347,135179.263,57149.056,230964.708,2899958.353
"100",688403.318,40.76,803095.193,126849.586,49875.952,236818.831,1905083.64
