Fecha,Hidráulica,Solar fotovoltaica,Otras renovables,Cogeneración,Residuos no renovables,Residuos renovables,Generación total
01-2013,5976.038,4245.435,14377.69,101672.823,0.0,0.0,136511.226
02-2013,13944.854,5338.347,13913.26,96907.065,0.0,0.0,137969.66100000002
03-2013,30257.871,6308.183,15661.713,93680.736,0.0,0.0,154809.491
04-2013,33619.673,8669.639,23405.702,89596.174,0.0,0.0,155291.18800000002
05-2013,17054.626,10161.961,25069.288,93101.375,0.0,0.0,145387.25
06-2013,14491.06,10649.605,23053.081,88283.668,0.0,0.0,136477.414
07-2013,14953.609,11108.873,22626.37,88504.736,0.0,0.0,137193.588
08-2013,13623.24,10468.861,22443.725,82694.221,0.0,0.0,129230.047
09-2013,9248.477,8785.471,21922.262,85564.774,0.0,0.0,125520.984
10-2013,4659.988,6761.556,24330.151,85718.048,5119.62,5119.62,121469.74299999999
11-2013,4377.074,5082.313,25781.59,87254.035,3933.0675,3933.0675,122495.012
12-2013,3539.146,4593.816,26514.587,93351.397,4450.494,4450.494,127998.946
01-2014,12442.591,3679.91,25262.01,82626.059,0.0,0.0,124010.56999999999
02-2014,35474.931,4568.604,20355.643,54111.726,0.0,0.0,114510.90400000001
03-2014,31875.892,8114.075,23582.713,68714.137,0.0,0.0,132286.81699999998
04-2014,29985.524,9391.823,21093.054,60524.706,0.0,0.0,120995.10699999999
05-2014,12510.092,10731.327,13955.597,53958.798,0.0,0.0,100433.63500000001
06-2014,11711.609,10852.411,14365.51,61883.783,4638.9105,4638.9105,98906.117
07-2014,12805.185,11382.053,14247.426,56328.247,46.402,46.402,94762.911
08-2014,12370.215,10821.733,14422.71,59951.188,4362.4795,4362.4795,106290.805
09-2014,8225.394,8175.154,14392.135,60453.566,4852.6315,4852.6315,100951.51200000002
10-2014,5601.286,6612.985,15065.838,62994.467,5671.3205,5671.3205,101617.217
11-2014,3344.432,4200.035,14108.492,59930.737,4933.8555,4933.8555,91451.407
12-2014,26024.258,4726.956,14029.501,55050.837,7904.8155,7904.8155,115641.18299999999
01-2015,9846.798,5302.247,14208.039,60865.055,5417.841,5417.841,101057.821
02-2015,17188.426,5501.788,12482.381,54076.511,4613.895,4613.895,98476.89600000001
03-2015,19143.899,7667.454,14273.525,54235.281,5138.359,5138.359,105596.87700000001
04-2015,11698.087,8965.249,12358.982,53689.029,5876.173,5876.173,98463.693
05-2015,10247.037,10983.152,12982.021,52164.324,5305.5375,5305.5375,96987.60900000001
06-2015,12614.603,10493.743,12693.232,55154.028,5339.1185,5339.1185,101633.843
07-2015,13972.055,10970.963,13502.989,55415.118,5692.746,5692.746,105246.617
08-2015,11551.652,9961.405,13209.562,57979.764,4522.601,4522.601,101747.58499999999
09-2015,8436.793,8578.277,11797.316,63064.625,5422.333,5422.333,102721.677
10-2015,3689.211,6054.508,13481.5,63747.717,5692.5215,5692.5215,98357.97899999999
11-2015,6490.112,5312.014,12742.905,60740.903,5271.785,5271.785,95829.50400000002
12-2015,6653.527,3997.312,13138.287,62914.594,4551.9665,4551.9665,95807.65299999999
01-2016,3201.816,3513.879,12134.304,60454.313,5476.5455,5476.5455,90257.40300000002
02-2016,9462.856,5274.348,10068.947,51999.394,5331.62,5331.62,87468.78499999999
03-2016,13436.853,8249.528,9897.4,54408.453,4725.9245,4725.9245,95444.08299999998
04-2016,16499.679,8103.997,10048.924,57592.804,4850.324,4850.324,101946.05199999998
05-2016,38255.901,9070.915,10050.394,57205.84,5912.433,5912.433,126407.916
06-2016,14672.874,10669.94,11865.777,59684.925,5074.331,5074.331,107042.17800000001
07-2016,15380.606,10633.058,11482.532,61409.235,5599.1515,5599.1515,110103.734
08-2016,14795.464,10106.956,11546.874,63714.108,4639.3175,4639.3175,109442.03700000001
09-2016,9863.006,8602.004,11481.667,58808.422,5563.6455,5563.6455,99882.39
10-2016,5031.648,6197.119,12427.395,63517.114,5313.6195,5313.6195,97800.515
11-2016,4911.866,4207.519,12822.319,59575.818,7568.462,7568.462,96654.446
12-2016,8612.852,3897.764,14095.116,60917.904,7706.833,7706.833,102937.302
01-2017,7750.341,4601.593,14179.16,65322.532,7407.9445,7407.9445,106669.515
02-2017,31286.342,4664.208,12126.138,62042.736,3248.8115,3248.8115,116617.04699999999
03-2017,25001.015,7590.072,12887.851,69070.199,0.0005,0.0005,114549.13799999998
04-2017,11697.666,9718.667,11865.041,61817.46,4596.8755,4596.8755,104292.58499999999
05-2017,9400.076,9712.993,12896.727,61262.544,7809.6825,7809.6825,108891.70499999999
06-2017,14446.711,9852.953,11872.036,62030.855,7067.3085,7067.3085,112337.17199999999
07-2017,12562.281,10394.032,13045.846,63042.493,7109.58,7109.58,113263.812
08-2017,9324.511,9593.294,12478.03,61364.733,4570.554,4570.554,101901.676
