"","Hidráulica","Turbinación bombeo","Nuclear","Ciclo combinado","Eólica","Solar fotovoltaica","Otras renovables","Cogeneración","Generación total"
"1",23626.071,101921.366,791102.28,299799.4,457700.909,34391.62,2789.327,189648.999,1900983.618
"2",25382.153,98585.597,704865.69,270591.2,387778.286,37422.939,3138.977,173820.187,1701585.029
"3",33676.436,118935.468,763921.91,218319.53,200482.245,43952.82,3571.003,187510.16,1570380.125
"4",36111.491,121572.3,746143.09,195988.147,138394.492,49990.895,3601.552,185425.613,1477227.581
"5",42016.468,92599.693,755827.28,246442.86,194433.434,59467.679,3712.52,163486.112,1592990.899
"6",44377.043,82067.845,754496.7,258354.96,133330.52,62602.614,3607.226,145498.449,1517509.092
"7",51505.365,79644.315,758052.12,355838.41,109846.123,64909.843,3729.628,140015.401,1597703.184
"8",73725.132,70564.223,724601.36,414044.878,92176.905,52352.112,3961.8,87706.004,1552263.88
"9",34921.181,42874.682,477284.76,441615.84,102111.375,48805.202,3735.219,133708.34,1319196.473
"10",42313.882,108831.453,-6895.79,452968.765,133260.756,43137.849,3955.153,139131.593,956378.336
"11",35737.655,90214.617,733810.27,369499.801,379534.341,35868.014,3738.201,139213.193,1823173.205
"12",32086.046,108381.07,792218.45,393532.9,200830.73,27058.297,3543.197,117691.198,1714399.931
"13",34110.921,132070.227,781846.21,289636.7,399713.468,28311.17,3450.038,128228.163,1834783.137
"14",28626.997,120108.191,715375.1,219780.73,311026.418,32798.581,3479.072,103841.335,1570745.058
"15",32209.668,110393.908,790704.84,239858.71,235814.827,49117.711,3309.205,106729.263,1607532.407
"16",31709.236,123290.994,743248.59,216856.6,210205.474,55521.737,3037.131,100065.52,1527200.175
"17",68921.741,80156.402,789704.15,274978.69,164301.81,58224.877,3448.834,125323.229,1606803.089
"18",81217.841,77404.348,717261.35,358556.684,135508.226,56189.059,3437.32,123156.326,1594640.893
"19",98310.901,83358.766,785212.49,343208.876,160498.382,61505.587,3403.608,130310.038,1712612.088
"20",104257.208,67351.844,771583.21,430062.03,108813.363,55140.02,3032.175,88409.533,1675208.873
"21",52398.21,65395.03,760988.17,520607.48,71983.392,44636.65,3328.103,126654.865,1687509.2
"22",25857.587,80305.822,768263.33,338241.29,129001.009,43553.738,3203.732,134289.73,1564262.968
"23",22341.205,114486.593,764958.01,366807.94,256151.116,27880.474,2836.794,130001.996,1720515.423
"24",25183.187,115752.048,719084.29,398810.27,338648.7,31772.477,3018.138,100843.213,1771743.388
"25",27133.953,105543.78,790443.58,381840.09,320828.78,36561.775,2882.717,116293.764,1819543.31
"26",26365.548,93648.251,692551.26,286742.47,364808.506,31638.399,2883.61,124155.391,1644704.799
"27",35447.245,119645.529,771312.85,299939.87,278074.629,44420.621,3170.815,137111.486,1722436.872
"28",45724.375,39745.82,622299.06,401704.76,205642.673,50275.588,3119.7,126965.567,1532152.657
"29",68255.414,95507.099,585298.42,311086.93,170069.903,59781.961,3368.477,135168.294,1475528.378
"30",67860.551,43218.35,739479.05,357476.4,85380.265,57572.773,3468.805,129886.595,1531111.314
"31",101171.817,42542.932,756603.02,455854.97,114714.08,56708.945,3873.605,132945.23,1706848.578
"32",97119.197,81712.672,729422.18,448614.951,117588.157,50515.38,3446.421,93231.854,1665834.19
"33",48631.252,74362.764,587752.31,421658.47,111761.393,41969.249,3783.534,131915.135,1460264.025
"34",28263.101,92751.882,-5479.213,504880.18,144410.656,34161.15,3809.419,140034.935,981694.054
"35",31328.239,101548.648,353635.304,387374.68,206807.496,33720.83,3314.396,143114.829,1296018.08
"36",27714.589,128063.838,792113.281,585051.9,75907.028,25756.497,3521.572,120729.544,1791420.978
"37",25303.712,169090.201,791761.401,363531.98,303375.252,26588.217,3608.722,123901.344,1840783.052
"38",29573.76,165810.174,698236.206,269690.72,330393.913,34427.388,3574.466,133609.972,1695117.63
"39",32574.325,130437.398,767936.909,303703.94,337600.518,46117.014,3152.426,136257.228,1793773.949
"40",31443.091,215960.986,765121.007,233717.67,203441.27,48963.609,3286.457,135653.596,1679297.496
"41",57071.927,139934.125,789685.863,254065.93,193005.267,54442.971,2689.509,139624.636,1669109.801
"42",73975.508,100918.513,742344.7,334981,136683.68,58197.113,2929.202,135987.234,1624772.473
"43",97880.653,48579.989,785127.428,385573.27,97272.12,56100.394,3373.193,134515.617,1654113.815
"44",87998.817,46171.604,770611.603,375800.23,91099.682,54887.329,3690.759,97890.029,1572873.909
"45",65454.939,45908.72,760779.744,411269.2,119176.705,47628.109,3219.277,129626.573,1626765.876
"46",26457.656,82885.618,768764.304,520773.092,72305.898,35995.77,3269.441,141980.375,1692561.561
"47",27566.016,128801.822,764388.461,613420.3,216885.516,27619.349,3043.929,149235.11,1947542.401
"48",33937.092,128597.253,773499.274,607938.57,123448.465,23090.945,3069.661,121121.095,1820353.206
"49",28199.751,147504.879,789593.01,531735.9,279388.201,28696.036,2136.344,132384.956,1945879.838
"50",28666.678,93973.108,694590.702,267034.701,207492.613,31863.495,1957.372,139489.284,1474171.689
"51",36657.524,99349.997,785276.419,237315.44,201687.746,51466.731,2254.314,151884.687,1577169.144
"52",30301.462,82185.028,727444.377,261070.8,135272.691,52164.001,2147.929,130516.348,1436973.252
"53",32902.476,72679.102,778966.743,289979.26,141798.914,59757.905,2164.798,135200.468,1530704.743
"54",29922.248,43044.379,739064.247,408196.34,126511.758,58337.621,2701.972,129381.823,1556078.555
"55",29455.132,39138.658,711138.489,294732.818,127642.381,57047.046,2878.812,127355.299,1407856.379
"56",41551.076,38609.86,714776.149,297247.802,129170.998,49112.264,3390.698,92802.239,1380975.66
"57",34870.512,58097.874,463540.62,337888.93,119105.401,46959.144,3176.187,130713.874,1208427.193
"58",42117.708,75811.834,24570.191,362699.84,113169.905,43905.193,3461.823,143918.821,824386.289
"59",20921.98,114300.861,-8491.039,485437.76,237250.224,35249.99,3303.364,152220.27,1043751.692
"60",18793.211,146536.334,611787.314,374505.93,357023.105,29221.997,2864.202,125071.863,1674560.39
"61",21998.309,131227.09,588493.968,316877.86,325231.057,32857.964,2922.515,137729.659,1571420.604
"62",20431.277,100660.946,514879.717,303399.97,302390.442,31925.746,2448.59,147223.531,1435909.738
"63",20314.187,155953.501,787408.091,196056.63,441341.342,45216.894,3062.32,145126.606,1807094.895
"64",19960.63,153222.269,764138.495,221922.47,233812.041,50958.614,3060.066,131972.501,1590690.027
"65",47996.155,73619.445,771799.18,344856.47,147631.939,56488.904,3263.933,144065.971,1604949.051
"66",58290.607,24021.364,761369.565,322110,109913.01,56406.186,3282.809,142107.934,1490043.08
"67",59172.134,15624.477,767045.654,340959.37,116651.394,60755.315,3268.148,139104.514,1519347.256
"68",65257.892,24173.295,749633.78,406864.53,79854.459,52665.53,3451.63,93919.581,1489440.174
"69",41926.794,15443.555,759732.548,320400.14,58685.289,44264.251,3366.817,139173.963,1393541.408
"70",18385.615,110874.555,789186.622,399200.22,167566.623,39038.405,3445.429,146617.753,1686181.073
"71",20331.919,78265.044,755964.471,472706.48,239409.536,25741.433,3223.342,150888.528,1754847.284
"72",23887.179,83281.824,789763.382,473286.3,239507.906,32034.883,3091.019,124515.91,1779952.4
"73",18320.701,92431.485,657933.802,524254.1,358037.294,35173.584,2667.557,138139.408,1832785.738
"74",21351.778,99109.992,694643.982,454067.5,170729.445,42619.58,2741.161,139391.322,1628170.471
"75",21804.493,88492.601,787549.833,407343.81,192867.062,50852.62,2928.33,149597.864,1715042.499
"76",29005.118,56643.282,753852.758,399019.3,252950.784,44136.794,2605.355,145958.751,1694408.365
"77",39473.319,54594.308,784288.609,359201.33,205856.201,57935.211,2301.731,148561.235,1671014.331
"78",51540.401,29521.627,739273.267,353712.4,154807.127,59246.63,2848.72,138924.213,1550611.352
"79",56336.98,13855.421,772515.417,418685.53,152783.902,56759.575,2950.701,137194.798,1627694.568
"80",70128.962,47036.126,768108.154,430670.74,97209.063,53498.639,3463.736,93501.323,1578253.042
"81",54697.348,48065.968,749219.857,355141.76,130044.86,42037.245,3390.18,132340.497,1525963.782
"82",27930.567,62176.883,738939.561,364884.43,157367.931,41396.32,3675.286,142524.2,1555169.634
"83",20487.502,66745.93,36219.965,361537.5,463240.942,32449.509,3201.867,141934.04,1133918.41
"84",28001.972,155367.796,573617.615,216304.97,237869.7,24855.435,3163.963,108535.429,1355861.907
"85",32249.567,108158.592,787465.658,347766.13,191255.545,28692.071,2804.021,121019.97,1626619.099
"86",30693.045,85551.508,715263.663,276869.244,186908.104,40798.74,2672.917,138453.95,1485012.148
"87",28723.772,121152.961,758708.746,160933.016,260829.255,34885.5,3001.489,130003.822,1506506.373
"88",50159.251,113663.185,616855.824,217201.068,114045.472,43056.615,3070.422,65044.147,1230990.058
"89",53933.744,118517.731,640715.578,275804.121,134346.826,56420.617,3044.02,109091.092,1407273.582
"90",34910.409,79339.072,755888.457,411921.444,141292.798,56715.134,2941.788,116252.236,1617535.673
"91",35077.365,90299.564,765442.886,536351.239,97427.705,57838.866,3461.265,124846.949,1726398.21
"92",45058.178,89657.12,782352.989,411040.085,122532.097,56240.074,3525.203,108728.748,1635982.283
"93",43023.312,122137.296,759117.523,412452.876,158757.129,48248.469,3327.391,133236.02,1694614.007
"94",35404.865,134239.012,774020.228,287472.858,264867.847,45414.512,3186.384,147755.627,1708440.631
"95",14245.26,118864.232,761934.777,401292.103,121275.995,28534.459,2742.725,143107.616,1601371.112
"96",29379.811,155668.278,774261.36,341423.739,404282.483,30502.682,2817.199,131349.087,1878265.202
"97",24136.491,159147.453,773966.104,237998.034,377426.174,30330.378,3039.889,131760.7,1743532.44
"98",42168.572,173663.286,690172.252,76706.974,215209.702,30658.992,2904,122598.079,1357572.777
"99",57353.784,150743.665,777901.871,96713.293,192870.853,43083.276,3433.155,149455.071,1484691.853
"100",55178.804,88085.208,753293.713,178718.546,129155.918,38759.429,3492.078,145735.246,1398989.961
"101",50876.323,138631.822,780912.422,88495.861,172897.027,54726.513,3366.127,142794.333,1449130.492
"102",37953.239,66503.069,753949.892,338263.859,106706.223,52423.209,3331.075,133728.018,1509252.195
"103",35459.233,72414.454,769425.58,348309.886,116428,57899.889,3388.344,138696.152,1556147.393
"104",40319.814,89208.779,777331.306,397701.891,108016.688,53082.407,3270.122,108970.206,1587338.187
"105",35589.356,64443.752,643194.836,359526.701,95312.284,49131.451,3430.135,130299.696,1389846.504
"106",28930.73,129905.03,722295.071,331550.225,107799.05,43722.699,3398.059,141179.213,1516231.5
"107",23869.564,104507.4,242388.856,544089.563,310544.713,34275.544,2913.321,134901.285,1402588.743
"108",27798.868,136001.491,376380.259,482114.03,347777.406,30749.789,2736.693,119443.904,1530887.194
"109",21431.662,113970.584,786636.019,530695.551,197200.754,37797.741,2383.466,128108.539,1826756.863
"110",20777.776,130710.931,713876.803,213635.5,189937.785,39235.857,2399.243,134944.875,1456592.467
"111",39463.488,144142.412,285342.719,222575.238,284585.608,28233.79,3116.796,147177.256,1161222.794
"112",40163.901,150453.057,326919.36,194813.625,215673.15,49490.798,2821.816,99398.976,1090899.051
"113",43885.17,153956.689,788195.884,212349.716,112767.431,66240.555,2943.302,130319.204,1528630.045
"114",21601.137,142054.623,761005.584,530908.861,98854.013,66465.648,2892.498,101952.509,1742129.836
"115",27726.08,76168.054,778785.207,675245.787,77684.076,66275.505,2533.066,75004.305,1795226.158
"116",29008.868,146582.901,784430.908,511393.565,99551.555,62802.595,2800.46,43316.969,1694267.344
"117",25570.669,144091.458,755350.272,493186.59,111153.367,49839.716,2670.325,55362.859,1645919.375
"118",30278.496,189958.934,788944.284,573316.543,74672.33,40813.111,2848.366,50828.443,1758698.16
"119",22773.618,160176.735,732596.004,292084.49,329775.287,33772.813,2709.357,95280.525,1676243.307
"120",31181.193,187141.678,789714.095,233610.349,203206.052,25733.493,2538.603,58809.544,1536576.356
"121",26674.679,219239.658,768969.495,126093.122,312480.34,39854.496,2490.419,54817.185,1555957.437
"122",22304.12,131888.819,707369.183,240606.035,133859.902,36592.488,2364.283,112083.352,1393945.976
"123",24968.931,211809.878,771312.367,146282.834,273937.368,61112.445,2898.826,104889.871,1611807.614
"124",28083.215,225899.013,744936.154,299789.107,181151.133,68688.745,2684.554,100195.558,1667702.795
"125",44154.534,231888.386,779995.987,201235.311,150520.558,60028.915,2554.858,102709.74,1582672.208
"126",57276.825,155691.028,754444.53,305905.477,82371.409,63356.077,2362.022,104093.965,1536947.648
"127",49989.648,150015.993,770310.655,377915.884,93613.751,66743.753,2736.582,91931.296,1616565.495
"128",53248.942,193529.448,738729.1,383461.108,163832.736,68156.698,2748.51,50567.777,1669221.897
"129",32365.949,133944.488,646125.841,294813.006,111587.419,52858.077,2585.337,84465.708,1368425.883
"130",25587.897,208989.746,103142.362,314945.47,187068.683,50568.675,2509.283,72064.952,974272.974
"131",22242.435,165010.206,368862.403,201862.629,292901.207,42419.46,2273.302,56587.59,1154572.013
"132",26767.243,155204.173,786128.065,295241.947,291966.218,36012.036,2314.607,35953.271,1634991.256
