"","Hidráulica","Solar fotovoltaica","Otras renovables","Cogeneración","Generación total"
"1",5976.038,4245.435,14377.69,101672.823,136511.226
"2",13944.854,5338.347,13913.26,96907.065,137969.661
"3",30257.871,6308.183,15661.713,93680.736,154809.491
"4",33619.673,8669.639,23405.702,89596.174,155291.188
"5",17054.626,10161.961,25069.288,93101.375,145387.25
"6",14491.06,10649.605,23053.081,88283.668,136477.414
"7",14953.609,11108.873,22626.37,88504.736,137193.588
"8",13623.24,10468.861,22443.725,82694.221,129230.047
"9",9248.477,8785.471,21922.262,85564.774,125520.984
"10",4659.988,6761.556,24330.151,85718.048,121469.743
"11",4377.074,5082.313,25781.59,87254.035,122495.012
"12",3539.146,4593.816,26514.587,93351.397,127998.946
"13",12442.591,3679.91,25262.01,82626.059,124010.57
"14",35474.931,4568.604,20355.643,54111.726,114510.904
"15",31875.892,8114.075,23582.713,68714.137,132286.817
"16",29985.524,9391.823,21093.054,60524.706,120995.107
"17",12510.092,10731.327,13955.597,53958.798,100433.635
"18",11711.609,10852.411,14365.51,61883.783,98906.117
"19",12805.185,11382.053,14247.426,56328.247,94762.911
"20",12370.215,10821.733,14422.71,59951.188,106290.805
"21",8225.394,8175.154,14392.135,60453.566,100951.512
"22",5601.286,6612.985,15065.838,62994.467,101617.217
"23",3344.432,4200.035,14108.492,59930.737,91451.407
"24",26024.258,4726.956,14029.501,55050.837,115641.183
"25",9846.798,5302.247,14208.039,60865.055,101057.821
"26",17188.426,5501.788,12482.381,54076.511,98476.896
"27",19143.899,7667.454,14273.525,54235.281,105596.877
"28",11698.087,8965.249,12358.982,53689.029,98463.693
"29",10247.037,10983.152,12982.021,52164.324,96987.609
"30",12614.603,10493.743,12693.232,55154.028,101633.843
"31",13972.055,10970.963,13502.989,55415.118,105246.617
"32",11551.652,9961.405,13209.562,57979.764,101747.585
"33",8436.793,8578.277,11797.316,63064.625,102721.677
"34",3689.211,6054.508,13481.5,63747.717,98357.979
"35",6490.112,5312.014,12742.905,60740.903,95829.504
"36",6653.527,3997.312,13138.287,62914.594,95807.653
"37",3201.816,3513.879,12134.304,60454.313,90257.403
"38",9462.856,5274.348,10068.947,51999.394,87468.785
"39",13436.853,8249.528,9897.4,54408.453,95444.083
"40",16499.679,8103.997,10048.924,57592.804,101946.052
"41",38255.901,9070.915,10050.394,57205.84,126407.916
"42",14672.874,10669.94,11865.777,59684.925,107042.178
"43",15380.606,10633.058,11482.532,61409.235,110103.734
"44",14795.464,10106.956,11546.874,63714.108,109442.037
"45",9863.006,8602.004,11481.667,58808.422,99882.39
"46",5031.648,6197.119,12427.395,63517.114,97800.515
"47",4911.866,4207.519,12822.319,59575.818,96654.446
"48",8612.852,3897.764,14095.116,60917.904,102937.302
