"","Hidráulica","Ciclo combinado","Eólica","Solar fotovoltaica","Otras renovables","Cogeneración","Generación total"
"1",62995.39,44992.33,205126.007,15999.729,25769.288,81714.63,436597.374
"2",87781.578,18779.438,215027.058,14616.237,22450.862,77118.332,435773.505
"3",104305.249,28888.045,180959.723,21144.343,25834.551,82881.343,444013.254
"4",90233.375,34846.18,223464.634,27721.605,25441.591,86152.807,487860.192
"5",87469.994,18403.704,238017.085,27594.637,27951.195,89339.107,488775.722
"6",90747.26,3485.948,233597.173,34269.735,16496.543,82192.972,460789.631
"7",42925.132,2317.98,103699.916,37454.182,23916.278,78426.506,288739.994
"8",33809.124,15108.73,233027.721,37021.518,27613.085,72498.428,419078.606
"9",19018.165,35036.513,193453.438,29914.593,24902.639,79740.123,382065.471
"10",16391.582,54236.631,194507.075,22541.456,27664.155,86012.905,401353.804
"11",56203.264,23090.54,316370.681,14108.803,27347.882,82237.017,519358.187
"12",65663.162,74323.89,187444.365,13074.224,28205.198,83253.229,451964.068
"13",75338.758,22374.186,200122.784,10892.867,26235.772,83294.29,418258.657
"14",81194.584,22762.882,149108.76,15699.359,23554.302,63469.099,355788.986
"15",92296.098,19109.054,198117.917,26867.105,25498.263,57776.033,419664.47
"16",79226.095,13615.258,157481.629,29097.828,24957.726,47926.13,352304.666
"17",51612.096,2645.909,251815.157,33563.506,28632.681,56210.331,424479.68
"18",43130.383,-1305.816,195320.333,35608.686,26521.691,55048.834,354324.111
"19",47661.203,-936.395,214965.844,35484.269,26559.955,56223.842,379958.718
"20",40103.526,21383.866,168005.072,34759.498,26075.967,52864.357,343192.286
"21",27373.602,80424.794,122530.559,28027.727,21203.22,54912.407,334472.309
"22",19209.197,64706.048,127921.467,22810.415,22572.487,60624.807,317844.421
"23",29353.552,57419.717,177208.317,12000.94,27851.348,59736.144,363570.018
"24",69988.758,58206.654,329415.299,12965.993,26653.521,62069.209,559299.434
"25",58806.542,56784.617,267116.883,16080.194,27636.768,63153.762,489578.766
"26",68454.197,56069.835,249812.471,16366.144,15018.886,52349.743,458071.276
"27",97930.813,28777.78,271502.518,24551.853,29084.048,64369.505,516216.517
"28",72261.513,39495.603,184225.549,30483.068,23692.508,61780.925,411939.166
"29",51858.446,32287.885,291487.402,34874.806,29113.525,61751.473,501373.537
"30",45434.532,24619.232,180557.777,36812.565,27793.881,59935.943,375153.93
"31",23194.87,121872.543,233658.768,37588.242,27378.268,60759.466,504452.157
"32",15859.787,53151.871,176379.655,34279.463,27436.199,60840.366,367947.341
"33",16947.147,51420.539,185586.442,27854.47,25612.854,62977.945,370399.397
"34",14180.398,50489.908,210510.977,21664.52,27148.11,67544.034,391537.947
"35",25554.466,80785.063,172022.821,14174.867,22964.797,69672.81,385174.824
"36",29369.969,121726.997,80830.309,9605.115,27339.185,73068.698,341940.273
"37",62926.695,52640.903,125638.654,10544.925,27401.08,67986.018,347138.275
"38",67458.576,35376.074,216303.726,18031.821,24527.111,60624.748,422322.056
"39",99157.666,45235.526,264783.825,22175.44,25757.44,68498.778,525608.675
"40",83500.371,34482.584,263079.303,27168.848,9798.516,64422.747,482452.369
"41",47671.831,53997.552,245053.824,31983.985,8591.466,70092.391,457391.049
"42",22519.121,71272.451,207271.982,36940.287,21856.179,76878.897,436738.917
"43",15163.288,175906.78,250972.836,37829.489,27391.682,72056.566,579320.641
"44",14269.578,175312.137,249316.623,37154.487,25792.368,73785.424,575630.617
"45",12960.721,150183.825,167578.361,28166.446,26111.386,73130.629,458131.368
"46",8819.093,138986.11,160513.594,22576.653,24684.7,74759.988,430340.138
"47",31617.517,165796.35,184626.206,13547.095,23664.235,69533.171,488784.574
"48",20511.364,181336.353,110669.333,8821.522,28140.659,78270.645,427749.876
"49",49738.778,178337.938,309121.316,16343.186,26720.906,76615.349,656877.473
"50",68433.113,125621.226,189629.524,16148.432,24248.537,72383.081,496463.913
"51",62724.243,83839.955,196473.142,27661.686,19337.754,76543.879,466580.659
"52",37127.472,12980.85,263193.168,35401.621,26409.435,72959.881,448072.427
"53",12350.797,23094.41,134679.099,33028.089,25503.91,75880.493,304536.798
"54",13597.624,126750.126,151868.633,33308.831,26620.862,75023,427169.076
"55",14425.421,132027.782,252219.632,36949.171,27179.417,72200.197,535001.62
"56",11716.904,117724.188,218252.536,33264.485,23363.636,72360.902,476682.651
"57",13968.057,112738.414,170044.295,28316.856,26662.817,75701.785,427432.224
"58",5288.401,181643.436,203378.037,24942.659,23501.355,78054.918,516808.806
"59",28845.801,164389.03,258426.253,17509.608,27134.194,77627.378,573932.264
"60",60134.745,139132.823,237650.961,13579.963,28764.356,77573.048,556835.896
"61",82892.896,72559.73,178058.018,15331.36,25001.657,77983.836,451827.497
"62",85748.322,36510.09,269985.584,15499.92,26001.492,72344.642,506090.05
"63",103046.005,13103.701,246541.36,22420.453,26261.495,75665.013,487038.027
"64",94091.184,12680.385,174434.104,26532.652,24526.515,73787.927,406052.767
"65",63727.81,41887.565,197860.625,31374.771,21270.709,79078.165,435199.645
"66",72716.586,34537.475,185389.505,32992.121,26790.04,78238.562,430664.289
"67",29939.708,685.284,169428.661,37772.896,27518.36,73827.295,339172.204
"68",27385.833,78930.988,214546.561,35385.091,26000.196,73390.008,455638.677
"69",22687.873,39040.096,152389.777,30748.451,27033.301,77373.393,349272.891
"70",12174.763,80125.406,248071.326,21250.997,25501.677,79776.254,466900.423
"71",32339.867,98122.912,156317.792,12681.835,20729.187,77037.143,397228.736
"72",34505.54,141048.22,157542.058,13939.585,28337.707,82707.41,458080.52
"73",34583.391,128532.554,353912.097,15493.086,27721.636,70378.075,630620.839
"74",76468.871,128919.061,154589.844,24400.147,24558.56,72050.704,480987.187
"75",49043.068,155288.789,243962.759,31912.266,23440.055,78301.027,581947.964
"76",42637.727,139842.312,164283.815,26437.665,25865.096,71296.053,470362.668
"77",47543.649,158362.724,244350.044,33237.032,27589.513,75953.837,587036.799
"78",39882.439,386808.667,166495.685,35729.624,24183.795,77180.149,730280.359
"79",23208.688,480149.159,202234.768,35452.331,25156.095,78547.455,844748.496
"80",18503.258,427253.39,148950.919,33353.172,25968.965,77321.797,731351.501
"81",16581.292,207943.748,190009.621,28806.176,23088.726,77204.568,543634.131
"82",14618.967,393357.635,169036.796,21628.533,14615.487,80751.337,694008.755
"83",63900.263,251068.286,172451.762,11866.844,26195.204,79855.104,605337.463
"84",83446.172,190560.408,187314.297,12812.364,23991.149,71040.135,569164.525
"85",68693.358,224445.342,172277.467,11659.481,22721.898,81833.189,581630.735
"86",38430.575,152554.905,144298.391,20867.56,24484.669,75629.54,456265.64
"87",79387.92,49561.243,210465.835,21674.25,28117.144,74650.695,463857.087
"88",60232.48,32559.523,174898.501,22353.065,27539.495,62386.2,379969.264
"89",51025.246,67695.205,197074.674,33521.312,27627.529,61628.879,438572.845
"90",34631.549,203174.068,162729.101,30003.434,27215.406,69309.064,527062.622
"91",24280.712,478206.424,258527.761,37163.681,21458.786,64456.744,884094.108
"92",19427.096,381539.878,225631.881,31412.836,23890.058,64792.66,746694.409
"93",18279.816,338143.207,206404.315,27483.123,22662.099,65931.02,678903.58
"94",45703.971,140271.312,208930.956,19866.066,24813.272,70652.618,510238.195
"95",31907.892,156985.957,169954.878,13865.337,26578.143,73831.4,473123.607
"96",68218.181,40779.729,246710.193,10468.352,27931.644,78746.612,472854.711
"97",90894.154,90745.828,336028.34,14460.216,28092.78,76880.943,637102.261
"98",87206.919,36576.543,277766.054,15507.532,25550.391,61372.107,503979.546
"99",68967.438,70132.766,366880.549,26556.41,17803.234,78314.185,628654.582
"100",27645.648,158308.724,297800.924,25282.226,24168.273,76548.164,609753.959
"101",22567.477,139000.949,200994.593,32122.412,25886.341,76254.024,496825.796
"102",25468.707,387447.747,189011.221,33173.439,27849.648,76856.973,739807.735
"103",19257.172,223697.194,291005.426,35200.485,28328.314,79333.004,676821.595
"104",17414.277,330446.017,248650.644,35552.116,26557.396,74153.037,732773.487
"105",11991.399,502718.389,167937.969,24891.625,28025.216,71931.326,807495.924
"106",6889.344,491781.155,258895.389,24726.665,26599.727,75742.026,884634.306
"107",23163.448,584178.556,378790.815,14978.132,25717.564,70751.928,1097580.443
"108",65543.093,500983.408,188926.226,7721.803,29110.597,73367.287,865652.414
"109",71623.027,592144.204,279417.874,21095.666,28198.735,76319.218,1068798.724
"110",35364.821,451440.091,273580.572,20995.279,22064.126,69979.83,873424.719
"111",55969.476,445934.149,358971.437,15920.903,28264.87,73981.333,979042.168
"112",63885.535,106224.425,344629.889,27606.012,23054.104,59071.869,624471.834
"113",33376.538,186652.853,327900.468,34591.119,25182.728,63800.085,671503.791
"114",16833.591,252972.397,217372.202,33770.587,28039.923,57234.955,606223.655
"115",16194.351,462401.362,284223.541,38198.907,27790.628,46950.14,875758.929
"116",13877.983,424218.065,214338.457,33305.642,26737.45,43261.702,755739.299
"117",7455.653,455427.989,235770.732,27054.897,26781.927,44288.817,796780.015
"118",4446.405,375804.399,270582.441,20157.575,25259.197,57432.892,753682.909
"119",15911.631,306973.067,212212.016,13570.666,28132.547,63326.386,640126.313
"120",26476.696,243496.364,184179.742,10655.656,27090.377,54770.575,546669.41
"121",43899.966,61298.956,382921.802,15993.17,27668.571,56059.869,587842.334
"122",42501.879,309743.928,242510.812,21108.824,25743.244,64526.819,706135.506
"123",38005.424,167456.196,251232.605,27076.608,16614.806,69321.617,569707.256
"124",28569.247,109045.448,261487.258,31000.207,22545.164,63209.99,515857.314
"125",24147.58,118133.705,357180.216,32379.535,24614.866,63110.821,619566.723
"126",25739.976,407098.6,198090.484,29449.921,25689.721,68286.068,754354.77
"127",22402.211,406639.001,243863.195,35210.281,23322.331,52401.778,783838.797
"128",15072.23,243585.155,214681.867,33694.778,16575.783,50099.921,573709.734
"129",19481.226,351901.302,143859.066,25726.255,21333.967,64426.808,626728.624
"130",10973.215,209244.062,174158.597,20366.408,16914.627,59110.182,490767.091
"131",47305.449,53086.114,244733.348,15592.275,11309.18,51458.934,423485.3
"132",73473.033,117497.705,219834.29,14487.345,13633.326,47269.066,486194.765
