"","Hidráulica","Ciclo combinado","Eólica","Solar fotovoltaica","Otras renovables","Cogeneración","Generación total"
"1",10123.316,90601.721,116657.53,7186.78,1171.226,13326.552,239067.125
"2",14199.763,23770.855,119731.015,5960.814,1142.131,8074.403,172878.981
"3",20890.263,4026.039,85170.792,10133.593,1094.39,11868.037,133183.114
"4",21134.336,-1178.527,88747.322,12756.88,1148.976,12663.351,135272.338
"5",23166.155,1265.669,91604.664,12531.739,937.251,15009.554,144515.032
"6",20629.464,-1115.942,75717.391,15000.983,728.164,14106.834,125066.894
"7",13371.395,12910.591,28780.942,16494.101,1064.366,10526.843,83148.238
"8",13144.3,26637.062,62470.497,16153.487,1181.546,7023.776,126610.668
"9",10779.876,14054.978,66843.354,13225.814,1082.444,14000.469,119986.935
"10",8075.1,49709.324,79726.302,9719.254,943.213,15025.348,163198.541
"11",11880.792,12493.227,175261.581,5411.98,699.381,13892.916,219639.877
"12",13212.402,147798.38,87673.685,5531.962,696.219,14222.772,269135.42
"13",19343.696,11752.977,108580.941,4539.073,746.457,12174.101,157137.245
"14",18022.526,3827.121,88452.995,7178.197,625.964,6719.593,124826.396
"15",18520.942,-1234.755,106949.96,12286.951,633.36,2988.526,140144.984
"16",19820.361,-860.976,54510.288,12311.863,589.244,1729.504,88100.284
"17",15115.736,4463.278,88748.352,14509.308,638.952,3456.248,126931.874
"18",12121.645,37680.904,67612.386,14975.673,630.59,3687.317,136708.515
"19",11940.522,-1127.193,71443.646,14774.974,776.382,3824.651,101632.982
"20",12508.443,-1144.243,30354.619,15044.954,623.468,4213.991,61601.232
"21",10703.367,39506.961,37512.83,12529.852,585.888,4998.05,105836.948
"22",5556.893,28495.893,52257.632,10643.251,245.569,4716.246,101915.484
"23",8623.493,14612.667,82682.54,4983.692,404.976,4355.041,115662.409
"24",16061.68,12419.157,158611.896,5095.581,789.733,4086.257,197064.304
"25",14416.099,14635.654,129015.928,6782.668,862.437,6609.616,172322.402
"26",12512.944,16635.469,123116.326,6469.925,831.334,5827.334,165393.332
"27",18656.615,-1186.737,112348.226,10986.594,823.005,6190.138,147817.841
"28",19047.699,-1047.76,74541.719,13902.943,691.743,5846.721,112983.065
"29",13521.491,-1061.539,112742.438,14981.995,651.907,7267.367,148103.659
"30",12084.442,52816.262,48512.081,15842.178,284.893,6475.351,136015.207
"31",13636.394,136875.169,49554.89,15679.146,238.417,6538.04,222522.056
"32",12728.225,121586.054,48485.806,14964.535,259.698,6520.366,204544.684
"33",9190.908,90767.52,47403.739,12202.909,268.295,5940.154,165773.525
"34",6888.939,24082.329,77713.832,9449.766,454.194,6598.958,125188.018
"35",7116.184,38422.265,79654.288,6445.119,589.519,5856.393,138083.768
"36",5237.995,83420.765,31652.211,4479.884,598.088,6444.979,131833.922
"37",14617.722,51264.957,75435.454,4700.021,635.368,5367.914,152021.436
"38",14646.757,8829.776,101079.514,8274.558,423.914,4316.04,137570.559
"39",17867.289,19332.345,135319.255,9612.202,567.683,4662.76,187361.534
"40",20876.017,-1174.82,105432.325,12538.844,509.676,2049.845,140231.887
"41",19343.145,14140.742,86414.759,14686.21,660.64,3822.289,139067.785
