Fecha,Motores diésel,Turbina de gas,Generación total
01-2013,17869.673,0.0,17905.935999999998
02-2013,15515.59,0.0,15557.015
03-2013,15413.279,0.0,15413.311
04-2013,14542.153,0.0,14575.253
05-2013,15583.128,36.263,15700.989000000001
06-2013,15753.663,41.425,15762.798
07-2013,17866.711,0.032,17866.711
08-2013,18953.246,33.1,18953.246
09-2013,17326.921,117.861,17326.921
10-2013,16943.323,9.135,16943.323
11-2013,17474.988,11.072,17486.06
12-2013,18462.717,10.655,18473.372
01-2014,18803.239,0.0,18805.79
02-2014,17215.984,0.0,17215.984
03-2014,17656.77,0.0,17735.596
04-2014,14795.036,0.0,14795.036
05-2014,17090.643,2.551,17090.896
06-2014,17302.599,78.826,17302.816
07-2014,18277.513,0.253,18277.513
08-2014,18625.955,0.217,18626.18
09-2014,18513.1,0.225,18513.357
10-2014,18195.265,0.257,18195.581
11-2014,17358.74,0.316,17368.627
12-2014,18317.781,9.887,18317.781
01-2015,18698.285,0.0,18698.456
02-2015,16003.342,0.171,16234.458
03-2015,15897.091,231.116,15897.638
04-2015,15141.847,0.547,15142.319
05-2015,16578.946,0.472,16646.738
06-2015,16886.464,67.792,16896.176
07-2015,19009.495,9.712,19155.601
08-2015,18610.038,146.106,18611.021
09-2015,16586.111,0.983,16586.627
10-2015,16965.814,0.516,16965.814
11-2015,15790.199,308.064,16098.263
12-2015,17089.677,0.302,17089.979
01-2016,17310.614,0.548,17311.162
02-2016,16980.9,0.679,16981.579
03-2016,16940.271,0.531,16940.802
04-2016,16285.689,0.435,16286.124
05-2016,16948.123,0.531,16948.654
06-2016,16942.517,0.191,16942.708
07-2016,18292.337,0.64,18292.977
08-2016,19185.149,0.967,19186.116
09-2016,18110.431,96.951,18207.382
10-2016,17860.678,4.188,17864.865999999998
11-2016,17437.979,16.743,17454.721999999998
12-2016,18263.304,0.54,18263.844
01-2017,18539.673,0.0,18540.055
02-2017,15708.091,0.382,15723.914
03-2017,16352.188,15.823,16352.628
04-2017,14939.106,0.44,14939.695
05-2017,16501.16,0.589,16501.739
06-2017,17164.766,0.579,17170.856
07-2017,17578.381,6.09,17581.98
08-2017,18673.014,3.599,18673.439
09-2017,17044.546,0.425,17176.931999999997
10-2017,15956.773,132.386,15964.591999999999
11-2017,16328.685,7.819,16373.047999999999
12-2017,17861.952,44.363,17861.952
01-2018,18543.508,0.553,18544.061
02-2018,17093.706,5.36,17099.066
03-2018,17581.858,3.116,17584.974000000002
04-2018,16315.113,0.553,16315.666
05-2018,16335.309,7.594,16342.902999999998
06-2018,15983.209,0.518,15983.727
07-2018,17163.687,0.904,17164.591
08-2018,17711.165,0.599,17711.764
09-2018,18071.242,4.195,18075.436999999998
10-2018,17758.571,95.56,17854.131
11-2018,17384.397,0.631,17385.028000000002
12-2018,17294.373,0.503,17294.876
01-2019,17829.88,0.0,17830.239
02-2019,16018.849,0.359,16019.527
03-2019,16597.608,0.678,16598.235
04-2019,15219.833,0.627,15221.094000000001
05-2019,16752.565,1.261,16753.539999999997
06-2019,16641.809,0.975,16642.239
07-2019,18185.252,0.43,18185.252
08-2019,18655.768,0.752,18656.52
09-2019,17602.926,0.966,17603.892
10-2019,17592.765,76.387,17669.152
11-2019,17156.483,0.848,17157.331000000002
12-2019,17710.488,0.731,17711.219
01-2020,17833.799,0.0,17835.112999999998
02-2020,15769.248,1.314,15770.011
03-2020,16607.367,0.763,16608.196
04-2020,15530.342,0.829,15531.111
05-2020,15820.705,0.769,15827.471
06-2020,15829.015,6.766,15839.421999999999
07-2020,17915.19,10.407,17917.496
08-2020,18094.004,2.306,18096.779000000002
09-2020,16798.12,2.775,16830.054
10-2020,15993.171,31.934,16095.768
11-2020,15783.9,102.597,15792.687
12-2020,17053.994,8.787,17053.994
01-2021,18537.33,1.326,18538.656000000003
02-2021,15212.184,3.054,15215.238
03-2021,15333.781,6.437,15340.218
04-2021,15113.023,15.37,15128.393
05-2021,15508.211,6.994,15515.205
06-2021,15647.583,6.325,15653.908000000001
07-2021,17406.879,2.649,17409.528000000002
08-2021,17798.758,31.232,17829.99
09-2021,16828.295,93.298,16921.592999999997
10-2021,16421.032,27.757,16448.789
11-2021,16034.182,1.57,16035.752
12-2021,16837.702,10.881,16848.583000000002
01-2022,17218.489,34.708,17253.197
02-2022,15284.855,5.024,15289.878999999999
03-2022,17073.171,1.534,17074.704999999998
04-2022,15438.942,2.23,15441.171999999999
05-2022,16199.483,4.268,16203.751
06-2022,16550.746,63.922,16614.667999999998
07-2022,17847.767,7.975,17855.742
08-2022,16822.324,5.181,16827.505
09-2022,15801.838,16.298,15818.136
10-2022,16124.66,3.206,16127.866
11-2022,14829.042,328.72,15157.761999999999
12-2022,15729.448,5.465,15734.913
01-2023,16638.507,3.725,16642.232
02-2023,15689.355,10.888,15700.243
03-2023,15377.987,8.348,15386.335
04-2023,13776.183,4.772,13780.955000000002
05-2023,14167.683,4.83,14172.513
06-2023,14994.945,4.36,14999.305
07-2023,17019.674,7.038,17026.712
08-2023,17057.486,3.534,17061.02
09-2023,15523.318,181.392,15704.71
10-2023,15701.598,1.954,15703.552
11-2023,14764.284,12.152,14776.436
12-2023,15564.873,10.246,15575.118999999999
