"","FECHA","PRECIO","DEMANDA","HIDRÁULICA","TURBINACIÓN BOMBEO","NUCLEAR","CARBÓN","DIÉSEL","TURBINA DE GAS","TURBINA DE VAPOR","CICLO COMBINADO","EÓLICA","SOLAR FOTOVOLTAICA","SOLAR TÉRMICA","OTRAS RENOVABLES","COGENERACIÓN","RESIDUOS NO RENOVABLES","RESIDUOS RENOVABLES","GENERACIÓN TOTAL"
"1",2011-01-01,46.1883333333333,605986.216,132922.642,3096.794,156043.256,63539.183,9421.646,635.928,6335.737,142852.659,30530.962,6383.971,689.682,9422.6,60034.044,3476.619,2075.125,627410.852
"2",2011-01-02,43.7629166666667,641856.087,122475.16,5812.876,155946.404,63250.905,9583.46,760.919,7312.269,105985.984,120932.782,9681.929,906.356,9735.174,67987.652,3541.8645,1974.4885,685838.021
"3",2011-01-03,45.4425,801297.365,146861.638,3855.045,155911.784,99351.269,10031.223,1936.269,8551.252,220507.008,77934.616,12336.11,635.974,9724.737,89705.195,3601.8935,1996.4985,842917.239
"4",2011-01-04,45.5870833333333,833253.263,145876.053,8182.844,156264.172,115105.686,10024.313,2079.062,8355.284,203996.354,104022.723,8502.068,965.016,9832.04,93111.247,3409.972,1783.813,871499.828
"5",2011-01-05,35.35125,803475.573,158946.134,5497.872,156313.258,71928.723,10067.259,1454.871,8234.295,111598.224,200221.686,7503.855,888.609,10526.449,90420.805,3482.283,1746.282,838808.749
"6",2011-01-06,21.01625,659165.544,113777.357,14407.887,156229.065,35683.285,9333.282,699.833,6348.352,46310.01,245505.116,7973.16,975.861,10088.734,82709.58,3529.218,1903.012,735446.029
"7",2011-01-07,16.1591666666667,745349.064,152748.931,16689.761,156177.38,17857.011,9780.654,1524.594,8351.865,70449.884,246623.026,6040.79,461.934,10213.047,89561.998,3802.4325,2115.4855,792363.673
"8",2011-01-08,21.3070833333333,714197.404,168621.592,19668.937,156046.388,17472.956,9620.914,1052.18,7380.82,61482.133,223431.282,10013.567,770.881,9987.633,72959.723,3869.799,2137.051,764465.467
"9",2011-01-09,41.315,676565.531,204595.949,14477.17,155990.366,34226.907,9224.088,685.401,6550.783,90546.928,80447.512,8183.869,796.955,10269.674,73945.379,3782.0205,2080.5215,695752.771
"10",2011-01-10,41.17625,825093.665,197918.309,13423.808,156129.262,65683.642,9852.483,1414.186,8060.863,160652.802,150019.513,12363.129,1442.41,10316.311,90820.873,3492.7865,1882.8945,883448.037
"11",2011-01-11,32.6545833333333,839408.056,185025.871,13877.103,156061.534,69502.794,9758.37,1589.09,7948.165,124937.735,223293.296,10850.116,1363.157,10223.863,89980.328,3673.9,2018.79,910077.697
"12",2011-01-12,36.1870833333333,831748.884,202143.83,12173.445,156094.579,86406.191,9630.341,2811.718,7323.103,152604.364,142467.613,13008.145,1990.08,10431.924,89984.374,3708.3455,2038.7675,892782.734
"13",2011-01-13,42.4658333333333,831676.727,201526.893,15627.216,156084.16,92169.485,9701.372,2285.421,8376.021,200500.187,68664.456,14824.775,2119.993,10207.895,90364.825,3711.801,2063.512,878189.566
"14",2011-01-14,43.5029166666667,828355.713,206585.314,17261.521,133149.449,96583.462,9887.739,2271.272,8000.933,203128.986,63606.71,14776.875,1982.74,9936.655,92723.416,3868.6045,2174.5255,865908.931
"15",2011-01-15,47.5716666666667,740276.289,193344.5,4822.405,131592.873,75605.457,9678.454,1425.842,7335.01,147188.932,61480.274,14858.926,2082.36,9634.69,75716.558,3903.6505,2185.4955,740805.414
"16",2011-01-16,43.8341666666667,690529.488,178296.178,4382.48,131729.591,70150.582,9293.884,610.812,6886.171,91135.875,91327.457,13531.557,1638.528,10034.829,74818.089,3951.412,2237.917,689975.351
"17",2011-01-17,45.6025,833383.099,194387.868,10291.19,131722.735,105589.519,9667.405,1453.343,8671.992,227632.469,49734.524,11938.225,1512.935,9547.527,89147.577,3973.856,2230.466,857485.386
"18",2011-01-18,46.8220833333333,854014.7,188743.329,7501.818,131503.116,114530.616,9757.27,1977.473,8289.519,265698.459,51680.349,9375.866,978.734,9606.506,89832.258,3640.374,2187.669,895281.25
"19",2011-01-19,46.5408333333333,852744.069,177209.518,10117.882,154347.909,116054.041,9793.818,2146.359,8542.105,256348.42,48808.207,9045.897,1599.538,9818.94,89967.805,3473.1325,2162.9015,899424.709
"20",2011-01-20,43.1483333333333,848133.382,170360.31,3846.218,155756.388,95203.353,9908.978,1831.267,8818.913,196535.871,108776.474,14671.467,2194.156,9738.474,91068.29,3732.485,2190.254,874608.244
"21",2011-01-21,36.7016666666667,869535.482,150356.264,10214.56,155714.596,48090.843,9986.337,2670.574,8326.302,122551.658,255528.671,19010.67,1713.883,9921.023,92568.681,3690.674,2143.483,892477.166
"22",2011-01-22,33.1795833333333,811255.532,160657.571,10519.491,155819.662,21116.101,10051.245,1205.254,7833.628,89243.088,259051.706,17049.524,1117.194,10008.475,76808.297,3658.3495,2142.0395,826241.474
"23",2011-01-23,42.99375,762605.016,141429.849,6747.157,154811.98,27681.587,9727.168,998.447,6852.424,103286.483,219602.679,13930.81,932.603,9877.111,77098.82,3740.058,2224.654,778899.22
"24",2011-01-24,37.5279166666667,909269.563,149341.163,8730.296,155812.506,65493.171,10296.409,1981.223,7823.264,187646.744,221055.319,15451.664,1249.86,10089.395,92323.443,3657.3165,2126.3145,933095.572
"25",2011-01-25,42.3716666666667,925838.099,161758.472,10009.198,157107.524,89245.006,9842.488,2036.862,5744.948,244437.512,151683.095,12154.524,973.323,10005.773,92229.44,3592.1665,2070.1395,952908.23
"26",2011-01-26,49.0008333333333,922889.323,162647.831,10649.751,160307.168,103902.743,9936.368,2747.962,7926.204,300156.17,76800.309,10953.643,824.733,10264.214,92493.606,3499.9535,2121.6505,955246.931
"27",2011-01-27,49.0666666666667,908662.717,161714.086,6729.753,166113.867,104661.139,10093.124,2193.271,7943.785,304171.903,71344.004,6272.503,1188.962,9507.343,91424.713,3782.6115,2231.2745,949388.831
"28",2011-01-28,48.8416666666667,893973.743,159157.085,4758.368,161348.963,101385.376,10340.158,1474.744,8004.364,280056.945,96397.749,7547.895,1095.808,9817.159,92892.632,3801.0515,2200.9285,940287.072
"29",2011-01-29,50.3025,789680.817,150659.269,4815.587,140675.006,68850.485,10003.491,2288.741,8537.965,228301.66,81389.835,9929.075,1331.815,10206.825,77940.386,3580.956,2100.519,800570.274
"30",2011-01-30,50.0291666666667,731642.467,137171.274,3365.42,147734.31,71039.17,9441.683,767.735,6722.76,169021.796,89450.969,10836.743,1602.956,10124.317,77370.379,3641.081,2065.924,740312.724
"31",2011-01-31,51.2145833333333,884108.526,142252.14,2391.059,151961.627,95727.019,9802.669,2495.79,7763.133,240902.873,121727.12,12255.694,1716.094,10420.077,93322.877,3695.8925,2064.1395,898500.152
"32",2011-02-01,48.6666666666667,896370.497,119980.676,2532.296,153023.485,105443.299,9752.781,1836.009,7369.479,233404.943,161891.955,18447.972,2701.953,10267.237,93047.528,3643.71,1976.849,925316.776
"33",2011-02-02,49.1358333333333,888988.986,108800.888,2027.806,153756.201,101856.643,9690.754,1304.499,7004.803,221969.866,185006.295,21126.188,3890.068,10156.709,93243.844,3499.6665,2081.7475,925409.824
"34",2011-02-03,50.3195833333333,880048.047,118219.166,6095.289,154298.889,106076.937,9133.694,1968.868,8000.237,243824.481,121168.852,20063.859,2642.508,10310.88,93562.427,3771.5165,2161.4545,901282.756
"35",2011-02-04,50.6758333333333,863200.218,124816.729,7109.131,155004.854,111282.026,9532.403,2027.645,8451.667,253858.114,75126.525,21876.137,4188.9,10537.962,95151.204,3744.1475,2138.6925,884828.013
"36",2011-02-05,50.8758333333333,764264.785,116680.324,7660.449,155031.49,109403.517,9756.75,1257.272,7942.584,209909.2,39079.862,21663.79,4067.784,10776.277,79475.393,3567.726,2005.802,778230.388
"37",2011-02-06,50.25375,695026.27,105943.375,2927.591,154946.866,88164.194,9387.366,624.281,6561.903,197471.075,27739.587,21310.169,3369.173,10321.675,78051.328,3657.3955,2030.2445,712456.855
"38",2011-02-07,51.9145833333333,833539.78,119239.078,6792.089,155010.031,116805.321,9942.948,1629.787,7999.032,243313.142,45514.678,21348.699,3723.789,9766.085,93243.929,3732.9255,2073.2005,840110.879
"39",2011-02-08,51.4645833333333,857808.774,114532.169,2500.421,155047.209,126578.531,9808.501,1853.093,8178.689,251602.641,51987.311,17963.845,1614.903,9626.437,91072.715,3700.9415,2038.2285,848092.958
"40",2011-02-09,51.2354166666667,854895.852,108426.883,1620.168,155084.393,121685.997,9954.783,2061.615,8315.675,242086.686,75236.321,18710.504,2619.587,9802.677,92290.327,3749.653,2070.363,853715.617
"41",2011-02-10,50.6216666666667,847728.901,101436.863,2857.313,154910.441,118601.697,9735.765,2305.026,8559.4,237826.517,92507.137,19844.637,3092.047,9673.942,91623.463,3661.71,1965.002,858590.04
"42",2011-02-11,51.13125,840675.961,110026.247,3369.608,155034.335,118495.279,9430.751,2256.255,8649.922,233685.861,78469.27,19545.324,3567.807,10682.535,93342.644,3815.5105,2129.7945,852481.786
"43",2011-02-12,52.9379166666667,749056.057,87687.165,1406.501,154833.977,109298.13,9441.119,1864.127,8389.658,200618.069,68678.496,19946.84,4159.798,11082.309,76982.872,3743.302,2055.518,760143.141
"44",2011-02-13,47.0158333333333,693923.146,74383.21,6559.177,154643.476,77742.802,9256.183,1604.227,7770.368,101993.819,181771.274,12237.394,1183.897,10937.291,75691.063,3645.112,2022.455,721397.106
"45",2011-02-14,45.3791666666667,837839.789,87476.101,9867.014,154918.58,105660.556,9785.475,2848.268,8995.303,134524.872,236498.517,14914.612,1008.124,10545.545,90930.776,3435.4935,1996.4205,873403.545
"46",2011-02-15,47.385,867723.489,103919.107,14112.5,155467.406,127458.664,9289.411,2971.193,9187.637,180852.957,177230.68,4798.24,594.395,10343.657,93558.535,3632.954,2032.808,895445.381
"47",2011-02-16,43.6041666666667,862550.519,95534.162,9070.551,155357.328,106482.935,8997.838,3872.717,8605.318,130544.347,256060.172,9985.222,1363.684,10093.75,92437.348,2764.1025,1965.7315,893117.819
