"","Andalucía","Aragón","Asturias, Principado de","Balears, Illes","Canarias","Cantabria","Castilla y León","Castilla - La Mancha","Cataluña","Comunitat Valenciana","Extremadura","Galicia","Madrid, Comunidad de","Murcia, Región de","Navarra, Comunidad Foral de","País Vasco","Rioja, La"
"X2023M12"," 90.504"," 91.893"," 86.997"," 93.551","105.965"," 83.241"," 91.972"," 98.944"," 86.667"," 84.725","104.447"," 94.210"," 94.252"," 83.763"," 77.612"," 87.335"," 84.923"
"X2023M11"," 99.485","117.919"," 96.107","100.576","121.827"," 99.405","116.212","112.129","107.559"," 98.063","103.393","114.469","119.888"," 97.485","106.554","109.276"," 99.738"
"X2023M10","104.806","106.165"," 93.357","112.829","118.014"," 97.543","102.073","111.441","105.152"," 92.348","100.571","101.654","114.532","101.389","104.691","105.549","100.985"
"X2023M09","101.853","104.316"," 93.509","110.561","119.983"," 92.781"," 98.201","111.774","100.111","102.339","114.382"," 92.415","115.964"," 97.743","106.543","105.261"," 97.713"
"X2023M08"," 95.879"," 83.581"," 78.239","115.589","108.282"," 80.794"," 72.096"," 93.837"," 78.203"," 76.306","127.808"," 76.863"," 85.494"," 93.095"," 73.365"," 66.574"," 69.487"
"X2023M07","106.724","115.070"," 91.366","137.720","115.048"," 86.010"," 92.963","110.424","104.431","102.703","111.882"," 90.346","112.847","105.492"," 88.891"," 99.548"," 93.288"
"X2023M06","106.459","116.062"," 91.608","129.056","110.849"," 99.286","101.661"," 97.379","106.666","109.145","110.930"," 98.243","118.048","100.158","112.405","110.722"," 93.525"
"X2023M05","103.983","122.379"," 96.218","118.384","112.163","104.921","108.379","106.527","108.430","108.529"," 93.749","104.048","114.655","103.239","110.331","112.406","105.372"
"X2023M04"," 96.187"," 98.832"," 85.576","101.568"," 97.715"," 93.214"," 92.502"," 99.837"," 93.007"," 96.593"," 93.404"," 88.239"," 98.312"," 90.830"," 86.700"," 89.465"," 87.425"
"X2023M03","108.005","121.442","103.658","115.924","118.220","114.296","114.084","116.659","114.001","118.037","110.749","107.634","123.154","102.547","112.388","118.186","109.581"
"X2023M02"," 97.767","103.824"," 95.858","103.600","103.031"," 99.214"," 99.753","101.819"," 99.328","104.008","100.225"," 93.542","109.556"," 90.211","102.745","101.700","102.669"
"X2023M01"," 88.733","102.996"," 93.260"," 92.713","102.134"," 97.887","107.011","100.464"," 96.759"," 97.545","100.283","105.560","103.115"," 86.371"," 97.395","101.136"," 96.654"
"X2022M12"," 94.959"," 91.163"," 93.432"," 92.923","102.538"," 88.252"," 95.032","100.185"," 92.545"," 93.362"," 92.578","102.157","102.121"," 84.729"," 86.533"," 87.704"," 88.309"
"X2022M11","101.301","112.888"," 95.890"," 96.895","110.431","101.439","110.268","113.729","106.106","106.846"," 98.742","104.652","117.525"," 98.859","112.238","111.597"," 99.796"
"X2022M10","108.689","102.168"," 99.754","111.918","106.762","105.479"," 95.174","107.041","100.302","105.832"," 78.185"," 96.400","110.659","102.531","108.665","107.161","106.700"
"X2022M09","115.411","108.405"," 95.628","132.615","109.329"," 98.840","100.518","108.444","104.579","111.381","112.038"," 96.059","117.387","107.886","114.804","109.467","110.864"
"X2022M08","102.418"," 81.824"," 97.167","125.979","104.439"," 87.006"," 75.345"," 93.195"," 79.038"," 83.789","122.029"," 83.375"," 84.803","102.235"," 91.542"," 70.274"," 79.839"
"X2022M07","117.801","109.986","103.389","136.245","111.770"," 91.839"," 92.716","105.934","102.728","112.753","102.650"," 93.435","109.164","115.985"," 87.881","108.061","107.974"
"X2022M06","113.707","120.195","104.534","128.511","106.312"," 99.965"," 99.607","104.548","104.931","115.238","103.214","103.914","113.496","112.695","115.437","115.537"," 96.780"
"X2022M05","103.131","119.108","102.456","111.150","105.283","111.103","101.030","105.527","110.098","113.500","115.554","101.354","113.232","104.729","111.761","116.989","108.730"
"X2022M04"," 97.282","106.330"," 98.362","108.294","100.221","101.012"," 96.112","105.284"," 99.471"," 97.519","102.509"," 93.331"," 99.745"," 97.357"," 95.795"," 97.388"," 99.108"
"X2022M03"," 99.431","112.020","103.179","112.661","107.440","106.868","102.806","109.982","113.067","109.272","100.840"," 91.577","117.267","104.111","116.209","113.399","119.406"
"X2022M02"," 96.514","105.151"," 99.938"," 96.571"," 94.311","101.475"," 94.798"," 97.530","101.424","104.299"," 97.201"," 95.686","102.491","100.504","108.533","106.376","103.167"
