,X,Andalucía_Generación,Andalucía_Demanda,Aragón_Generación,Aragón_Demanda,"Asturias, Principado de_Generación","Asturias, Principado de_Demanda","Balears, Illes_Generación","Balears, Illes_Demanda",Canarias_Generación,Canarias_Demanda,Cantabria_Generación,Cantabria_Demanda,Castilla - La Mancha_Generación,Castilla - La Mancha_Demanda,Castilla y León_Generación,Castilla y León_Demanda,Cataluña_Generación,Cataluña_Demanda,Comunitat Valenciana_Generación,Comunitat Valenciana_Demanda,Extremadura_Generación,Extremadura_Demanda,Galicia_Generación,Galicia_Demanda,"Madrid, Comunidad de_Generación","Madrid, Comunidad de_Demanda","Murcia, Región de_Generación","Murcia, Región de_Demanda","Navarra, Comunidad Foral de_Generación","Navarra, Comunidad Foral de_Demanda",País Vasco_Generación,País Vasco_Demanda,"Rioja, La_Generación","Rioja, La_Demanda"
Media0,X2013T1,2917488.07,3240887.84,1327013.09,865046.39,1144979.54,903572.72,336249.91,430902.6,700748.75,700748.75,243150.1,374884.29,2388257.19,1012403.9,2578725.11,1202309.07,4044521.55,3989984.32,1724316.26,2192501.79,1423138.44,422408.9,3109012.75,1757307.38,143096.79,2695665.16,493814.74,690719.44,438794.71,408190.43,579041.16,1494606.06,181709.74,150193.85
Media3,X2013T2,2431580.18,2926617.31,1485864.06,809748.98,829834.47,850740.98,344011.12,438924.28,693881.8,693881.8,221537.79,364152.89,1517732.44,898788.38,2407411.92,1064886.57,3635242.83,3652277.29,1529242.52,1984359.85,2052563.35,361343.94,2479654.26,1592805.86,145718.62,2266652.46,445165.5,646864.03,479141.85,389731.52,494212.81,1380924.44,134951.42,132004.73
Media6,X2013T3,3162847.68,3374200.87,1438507.94,851082.81,1201378.23,833359.12,449148.85,588102.98,745477.1,745477.1,137834.51,359671.28,1799567.81,1015836.26,2635637.41,1121704.51,3923112.88,3915071.97,1489721.18,2250698.09,2016170.97,439415.05,2313264.38,1572742.43,130648.21,2395959.54,507070.91,729860.0,363294.69,386362.35,566436.13,1235943.61,109915.28,138422.35
Media9,X2013T4,3028478.74,3149460.0,1373638.05,841558.54,1359941.93,883677.82,336711.45,431027.67,726392.53,726392.53,150514.96,364343.26,1889810.66,949200.15,2776116.68,1158764.62,3406899.41,3839792.25,1497983.82,2181705.19,1467336.48,394222.2,3042181.55,1700473.63,123987.9,2508270.98,502097.55,699781.05,457558.69,408041.86,509388.39,1405499.72,217324.61,145739.55
Media12,X2014T1,2391248.21,3212319.72,1161297.7,861900.64,890826.39,900593.31,316603.24,407874.53,694348.55,694348.55,193839.2,361485.82,2195780.4,995159.3,3338117.47,1190331.17,3694198.22,3931988.29,1671020.2,2158654.76,1800440.01,398635.5,3230356.71,1751128.57,123602.76,2573808.57,429200.23,685705.86,397904.04,418467.59,414555.05,1493272.82,140702.88,146715.72
Media15,X2014T2,2582913.03,2930365.16,1457858.82,815765.01,974976.26,835599.46,347216.38,444199.91,685108.12,685108.12,165407.79,360192.44,1621463.04,962231.69,2743015.6,1072110.7,3390579.53,3605829.37,1576214.72,2017371.93,1952804.81,345187.66,2208312.25,1568550.0,106778.29,2165034.27,411335.06,668361.54,377036.15,391142.85,495887.37,1391708.77,117246.89,131748.36
Media18,X2014T3,3101981.77,3286708.53,1430858.75,847946.5,1289286.5,829542.61,443753.11,598784.33,740390.44,740390.44,127544.89,354862.66,1785195.48,990056.0,2763546.47,1114238.72,3446610.74,3880328.37,1691776.72,2307863.63,1676677.5,415524.56,2222616.05,1569292.88,100668.41,2310172.31,518931.07,771357.32,352541.1,384966.21,625130.57,1276288.11,89690.39,139121.64
Media21,X2014T4,2570140.97,3053201.08,1508384.77,836799.65,1245339.06,876127.27,318833.44,408300.39,728780.21,728780.21,133394.73,365513.06,1899870.73,921240.62,2569054.22,1133056.29,3313089.43,3772409.78,1685507.26,2120597.91,1737867.63,382204.19,2681776.25,1696236.61,102903.27,2406607.38,417292.57,692984.65,413571.29,399323.72,527152.94,1437814.31,138214.07,144397.29
Media24,X2015T1,2819198.82,3267738.44,1372560.97,886052.59,1438607.48,925533.74,332498.8,440338.34,699865.07,699865.07,163345.64,373071.79,2155355.66,1000674.16,2721718.63,1216926.19,3874080.19,4000933.95,1728894.99,2267083.6,1717735.68,419028.46,2885362.01,1776802.82,101710.53,2591765.84,443129.16,728670.23,487955.52,422909.27,519770.33,1547673.18,161844.53,150840.48
Media27,X2015T2,2947193.44,3013717.18,1345810.62,833924.48,1145567.32,847596.86,364087.25,456276.57,685278.31,685278.31,154131.92,349387.87,1646178.68,928078.56,2573529.86,1084409.52,3433419.32,3701566.72,1512930.78,2087410.85,1760084.91,370293.95,2103306.39,1574414.6,99028.38,2222185.21,366041.32,705101.89,429488.88,399625.12,458084.35,1414510.7,132367.31,133796.38
