,Andalucía,Aragón,"Asturias, Principado de","Balears, Illes",Canarias,Cantabria,Castilla y León,Castilla - La Mancha,Cataluña,Comunitat Valenciana,Extremadura,Galicia,"Madrid, Comunidad de","Murcia, Región de","Navarra, Comunidad Foral de",País Vasco,"Rioja, La"
X2023T4,98.26,105.33,92.15,102.32,115.27,93.4,103.42,107.5,99.79,91.71,102.8,103.44,109.56,94.21,96.29,100.72,95.22
X2023T3,101.49,100.99,87.7,121.29,114.44,86.53,87.75,105.34,94.25,93.78,118.02,86.54,104.77,98.78,89.6,90.46,86.83
X2023T2,102.21,112.42,91.13,116.34,106.91,99.14,100.85,101.25,102.7,104.76,99.36,96.84,110.34,98.08,103.15,104.2,95.44
X2023T1,98.17,109.42,97.59,104.08,107.8,103.8,106.95,106.31,103.36,106.53,103.75,102.25,111.94,93.04,104.18,107.01,102.97
X2022T4,101.65,102.07,96.36,100.58,106.58,98.39,100.16,106.98,99.65,102.01,89.84,101.07,110.1,95.37,102.48,102.15,98.27
X2022T3,111.88,100.07,98.73,131.61,108.51,92.56,89.53,102.52,95.45,102.64,112.24,90.96,103.78,108.7,98.08,95.93,99.56
X2022T2,104.71,115.21,101.78,115.98,103.94,104.03,98.92,105.12,104.83,108.75,107.09,99.53,108.82,104.93,107.66,109.97,101.54
X2022T1,99.8,104.63,102.82,101.26,99.83,101.69,97.65,101.67,102.62,104.62,95.78,94.31,104.84,100.62,108.41,106.79,106.26
X2021T4,106.42,103.46,107.88,101.78,105.36,98.07,99.93,106.43,101.39,99.99,90.02,99.43,104.86,102.49,101.92,102.94,99.98
X2021T3,98.97,92.43,96.83,113.64,102.7,96.68,91.7,100.4,94.23,98.99,117.6,93.55,95.67,103.52,96.22,93.27,98.23
X2021T2,101.21,100.79,99.29,93.72,95.02,100.65,97.65,94.99,102.88,102.38,98.0,99.11,101.24,102.24,104.73,104.02,100.97
X2021T1,93.41,103.32,96.0,90.86,96.93,104.61,110.72,98.17,101.5,98.64,94.38,107.91,98.22,91.75,97.13,99.78,100.82
X2020T4,98.39,106.57,92.93,89.78,101.19,97.89,108.69,101.19,99.63,102.4,98.93,103.07,101.25,95.8,96.36,98.03,106.78
X2020T3,102.07,99.64,81.94,96.78,97.75,91.32,93.41,99.51,91.72,96.48,113.6,96.31,95.79,107.31,93.55,89.78,87.94
X2020T2,83.44,78.85,74.29,75.46,84.13,78.75,78.2,80.9,78.74,78.75,69.46,70.5,83.78,93.89,76.45,79.13,79.4
X2020T1,97.04,101.78,95.93,97.53,106.26,93.78,100.08,97.88,99.32,95.91,93.14,99.31,98.76,93.66,95.95,98.67,105.91
X2019T4,106.77,103.44,98.21,104.62,109.3,96.77,104.31,106.09,100.49,98.48,84.94,105.84,102.12,96.88,111.61,108.96,110.23
X2019T3,108.4,98.9,98.07,122.54,110.96,93.83,97.08,102.09,96.22,96.65,111.66,98.09,97.55,106.17,98.01,99.73,101.89
X2019T2,106.69,110.69,101.1,117.88,105.73,103.62,108.84,101.96,104.95,102.48,94.64,99.57,104.48,103.47,102.1,109.17,107.93
X2019T1,110.25,108.88,103.44,109.67,108.65,104.57,108.43,103.93,105.78,99.02,92.81,100.13,102.32,93.51,96.99,107.87,112.0
X2018T4,109.37,104.36,109.5,106.87,110.78,101.03,103.79,102.86,101.89,97.04,87.3,104.22,102.05,93.84,89.65,104.6,101.98
X2018T3,105.89,96.86,102.97,135.65,111.38,97.71,97.43,96.41,96.22,94.44,114.36,100.12,95.3,93.22,86.45,95.1,95.78
X2018T2,105.59,111.5,103.22,127.47,112.87,104.08,112.64,102.26,108.62,101.93,91.75,109.02,98.99,94.64,100.28,110.57,111.17
X2018T1,107.35,106.08,102.76,115.47,107.2,105.28,108.69,99.27,105.68,98.02,99.14,106.24,101.01,90.26,95.76,105.68,115.49
X2017T4,115.95,103.14,109.81,118.01,117.85,96.7,107.04,101.64,105.36,93.79,96.92,102.0,95.68,103.58,92.24,106.99,117.61
X2017T3,109.82,99.67,97.21,132.36,110.33,91.95,94.44,98.3,96.72,93.02,104.28,98.59,91.99,92.67,83.21,96.54,102.59
X2017T2,107.62,105.98,102.25,135.42,106.31,96.1,106.48,101.22,103.24,101.01,93.46,101.04,100.27,89.26,97.3,105.12,111.39
X2017T1,107.7,105.72,99.59,120.26,109.39,96.15,110.24,99.98,103.86,99.71,94.2,98.38,101.82,89.09,98.01,105.83,117.55
X2016T4,107.78,97.28,95.63,115.12,111.16,88.57,108.27,97.86,98.77,94.63,83.6,97.13,96.24,84.18,90.25,100.74,111.19
X2016T3,107.36,92.74,88.66,140.36,112.34,85.14,99.62,98.29,94.39,92.14,105.92,95.22,93.06,88.49,85.44,91.11,104.05
X2016T2,102.44,103.29,89.52,132.65,109.93,94.65,115.34,100.55,104.02,101.04,98.94,99.16,102.49,84.56,99.63,106.13,120.72
X2016T1,102.49,97.77,92.13,116.01,111.6,87.8,114.64,97.44,97.35,96.23,83.8,101.44,96.41,76.82,90.96,99.15,114.74
X2015T4,103.69,94.39,99.28,109.87,113.35,84.63,109.88,97.5,96.57,92.3,85.76,96.18,96.92,84.62,87.51,101.34,119.71
X2015T3,108.84,100.11,97.48,146.35,119.72,87.22,104.48,105.22,92.64,92.37,115.07,94.87,90.03,88.35,84.55,94.36,113.59
X2015T2,107.24,103.91,95.95,124.01,109.24,92.28,108.79,100.21,97.34,97.45,89.29,97.92,94.64,89.43,97.34,102.4,114.88
X2015T1,101.21,95.58,96.65,119.49,108.75,89.62,105.24,94.78,96.28,90.49,89.32,95.24,91.55,81.59,90.3,94.51,123.19
X2014T4,97.96,95.72,94.02,117.55,118.0,89.17,106.67,96.47,94.42,87.29,90.49,91.24,92.9,81.92,85.47,97.88,116.35
X2014T3,103.06,98.8,90.57,136.69,115.7,85.36,102.53,98.49,88.72,85.33,108.19,89.32,87.17,86.43,81.59,88.08,107.98
X2014T2,102.49,100.47,91.59,124.51,110.54,93.65,105.09,94.08,95.32,93.09,88.41,92.99,90.24,84.37,94.48,97.02,117.03
X2014T1,102.42,94.81,85.7,113.23,107.64,91.59,107.29,92.3,94.7,86.04,87.35,95.25,91.3,79.02,89.96,95.33,115.39
X2013T4,100.4,89.14,95.97,113.81,116.23,88.36,103.14,96.46,91.87,85.81,87.92,94.4,93.89,81.97,83.46,96.65,112.74
X2013T3,101.01,97.94,90.32,141.17,117.86,85.81,97.36,98.38,88.69,83.51,108.04,94.72,86.07,85.51,77.26,86.46,96.63
X2013T2,98.47,96.75,90.53,126.46,111.26,98.08,99.6,92.85,94.98,88.77,90.13,99.86,95.14,85.31,88.99,100.57,111.97
X2013T1,95.63,88.59,89.93,111.98,108.43,92.98,95.26,90.73,91.68,82.03,78.74,95.36,90.77,77.62,84.36,94.42,111.56
