"grupos1","ccaa","ccaa2"
1,"Andalucia","Andalucía"
2,"Aragon","Aragón"
3,"Principado de Asturias","Asturias, Principado de"
3,"Illes Balears","Balears, Illes"
3,"Canarias","Canarias"
3,"Cantabria","Cantabria"
2,"Castilla - La Mancha","Castilla - La Mancha"
2,"Castilla y Leon","Castilla y León"
3,"Cataluña","Cataluña"
1,"Comunitat Valenciana","Comunitat Valenciana"
2,"Extremadura","Extremadura"
2,"Galicia","Galicia"
4,"Madrid","Madrid, Comunidad de"
3,"Murcia","Murcia, Región de"
3,"Navarra","Navarra, Comunidad Foral de"
1,"Pais Vasco","País Vasco"
3,"La Rioja","Rioja, La"
