"X","X2011T1","X2011T2","X2011T3","X2011T4","X2012T1","X2012T2","X2012T3","X2012T4","X2013T1","X2013T2","X2013T3","X2013T4","X2014T1","X2014T2","X2014T3","X2014T4","X2015T1","X2015T2","X2015T3","X2015T4","X2016T1","X2016T2","X2016T3","X2016T4","X2017T1","X2017T2","X2017T3","X2017T4","X2018T1","X2018T2","X2018T3","X2018T4","X2019T1","X2019T2","X2019T3","X2019T4","X2020T1","X2020T2","X2020T3","X2020T4","X2021T1","X2021T2","X2021T3","X2021T4","X2022T1","X2022T2","X2022T3","X2022T4","X2023T1","X2023T2","X2023T3","X2023T4"
"Andalucía_EInd","9.49","9.32","9.5","9.4","9.41","9.39","9.39","9.47","9.2","9.12","8.84","9.06","8.9","9.14","9.53","9.4","9.33","9.4","9.47","9.01","9.06","9.04","9.62","9.2","9.11","9.22","9.21","9.31","9.44","9.93","9.59","10.06","9.66","9.86","9.81","9.89","10.78","10.36","10.7","10.36","10.65","10.25","9.64","10.19","9.86","9.95","10.5","10.65","10.91","9.76","9.86","10.1"
"Aragón_EInd","20.25","20.6","20.45","20.5","19.75","18.35","19.65","19.45","18.55","18.5","18.1","18.05","18.3","18.5","18.95","19.15","21.25","21.8","21.75","21.4","20.8","20.6","19.8","19.95","19.8","19.5","19.95","20.95","21.65","21.9","21.1","20.9","20.25","20.95","20.9","19.6","21.8","22.35","20.85","21.2","22","20.75","19.15","19.15","18.55","18.65","18.75","19.2","19","18.95","20.7","19.85"
"Asturias, Principado de_EInd","14.9","14.3","14","13.6","14.4","14.9","15.3","14.7","14.8","14.5","14.6","15","15.3","15.8","16.3","16.1","15.7","15.4","15","13.9","14.2","14.9","14.4","15.9","15.7","15","15.4","14.4","14.4","14.9","14.1","14","14","14","13.9","12.9","14","14.9","14.3","13.2","13.6","13.7","14.6","13.7","14.2","15.2","14.2","14.4","14.4","13.3","16.1","14.2"
"Balears, Illes_EInd","8.5","7.3","6.9","7.8","8.3","6.7","6.7","7.1","5.9","5.2","4.9","6.4","6.4","5.7","6.5","7.8","7.9","7.1","7.3","7.5","7.5","6.5","6.3","6.6","7.4","7.4","6.9","8.9","9","7.4","6.1","6.5","7.1","6.1","6.2","6.6","7.2","6.1","6.9","7","6.7","6.6","5.8","7.8","6.6","6.7","6.6","7.9","8","5.9","5.4","6.5"
"Canarias_EInd","5.3","5.45","4.75","4.55","4.75","5.1","5.65","5.1","5.5","5.4","5.05","5.45","5.2","4.65","4.6","4.25","4.4","4.6","4.6","4.55","4.75","5","5.35","4.7","4.15","4.25","4","4.15","4.15","4.4","4.25","4.2","4.6","4.75","4.75","4","4.05","5.35","4.6","5.15","5.35","5.3","5.55","5.6","5.1","4.2","4.85","5.05","4.75","4.9","5.55","4.9"
"Cantabria_EInd","15.3","16.8","17.1","16.5","17.1","17","15.2","15.7","16.4","17.2","16.3","16.7","16.9","16","16","16.6","15","15.4","15.3","15.3","16","15.7","15.2","16.3","15.5","14.9","14.5","15.5","15.7","16.1","15.8","15.7","15.4","15.1","16.3","16.2","16.5","17.2","16.6","16.5","17.5","16.1","15.7","17.1","16.8","17.6","15.7","17","16.2","15.5","16","16.2"
"Castilla - La Mancha_EInd","16.1","15.48","15.76","15.28","15.66","16.04","16.56","16.56","17","15.06","14.52","15.34","14.92","15.12","15.16","15.18","15.18","15.2","15.4","14.92","15.22","15.14","15.24","15.84","15.96","15.46","15.72","15.74","16.36","15.98","15.5","14.84","15.34","16.46","16.34","16.1","15.64","15.16","14.88","15.8","15.84","15.3","15.36","15.4","14.96","15.02","15.18","15.56","15.56","15.94","16.1","15.94"
"Castilla y León_EInd","14.38","14.64","15.02","15.28","14.98","14.95","14.74","15","14.67","14.76","14.64","14.79","15.48","15.05","15.14","14.87","15.06","15.12","15.23","15","15.73","16.24","16.39","16.3","16.18","16.16","16.36","16.72","17.16","17.94","17.89","17.71","17.64","17.39","17.14","17.6","17.42","17.42","17.15","16.59","17.04","16.57","15.76","15.61","15.94","15.35","15.39","15.48","16.09","15.95","16.31","16.61"
"Cataluña_EInd","18.4","18.15","17.7","17.8","17.38","17.32","17.52","17.53","18.3","17.77","17.27","17.68","17.65","17.68","17.52","18.1","17.82","17.9","17.4","18.1","18.4","18.23","17.35","18.08","17.5","17.25","17.6","18.35","18.08","18.1","17.68","17.95","17.75","17.5","16.82","16.85","17.08","17","16.7","16.73","16.95","17.5","16.4","16.95","17.28","17.45","16.12","16.9","17.77","17.38","18.05","17.68"
"Ceuta_EInd","2.2","1.1","1.9","2.1","1.1","2.1","4.2","4","3.2","4.5","6.1","5.8","4.4","3.4","4.9","3.3","3.1","2.5","2.7","1.2","0.8","1.2","1.5","2.6","3","1.6","1.7","1.9","2.7","2.7","4.5","5.4","5.1","4.5","2","1.6","3.5","3.2","4.7","4.9","3.3","3.6","2.5","4.3","3.8","2.6","5.3","2.8","3.4","4.4","3.6","4.3"
