Fecha,Demanda,FechaM,precio,Producción Total Bruta GWH,Producción Total Neta (GWH),Producción Bruta Nuclear (GWH),Producción Neta Nuclear (GWH),Producción Bruta Hidráulica (GWH),Producción Neta Hidráulica (GWH),Producción Bruta Eólica (GWH),Producción Neta Eólica (GWH),Producción Bruta Solar (GWH),Producción Neta Solar (GWH),Producción Bruta Térmica (GWH),Producción Neta Térmica (GWH),Importaciones Físicas Electricidad (GWH),Exportaciones Físicas Electricidad (GWH),IPC (General),IPC Energía,Produción Industrial (IPI),IPI (Gas-Brent),Nº Empleados (Miles),Consumo Industria (GWH),Consumo Metalurgia (GWH),Consumo Siderurgia (GWH),Consumo S. Químimco (GWH),Consumo S. Automovil (GWH),Consumo S. Papel Carton (GWH),Consumo Trans. Ferroviario (GWH)
1/1/2011,1568874,1/1/2011,13.1952,60774.752,58290.158,45832,43853,7587.806,5973.754,1229,1229,42.404,42.404,5021.202,4736.983,1266,5016,95.22,96.56,103.8,198.56,27,5877.20536,608.079714,994.178161,1246.41207,212.557165,489.384071,665.547211
2/1/2011,1606234,1/2/2011,13.1952,52596.376,50410.219,40039.205,38328,6837.294,4068.702,871,871,67.517,67.517,4531.822,4275.304,854,4775,95.67,97.61,104.7,174.33,27,5990.62441,663.413805,1014.49689,1221.27706,225.972849,485.211618,663.591387
3/1/2011,1888781,1/3/2011,13.1952,53049.487,50779.428,39458.158,37688,3723.748,4469.404,1094,1094,120.024,120.024,2582.832,2436.634,871,5526,96.45,99.98,103.3,177.58,27.1,5928.68143,657.520217,979.670057,1235.60287,224.028335,474.180907,661.179691
4/1/2011,1979436,1/4/2011,13.1952,42808.586,40865.482,34556.526,32850,3302.48,4078.931,668,668,168.551,168.551,2624.012,2475.483,548,5663,96.78,101.24,101.9,171.36,27.1,5945.07354,655.0722,1002.1181,1180.12226,225.044412,482.240228,662.053467
5/1/2011,1962146,1/5/2011,13.1952,42962.457,40948.644,34830.697,33070,3698.013,3438.378,727,727,205.267,205.267,3034.448,2862.687,499,5839,96.83,99.97,105.3,187.87,27.1,5950.91819,649.150633,1005.18422,1187.06056,223.420398,497.958467,655.14907
6/1/2011,1789452,1/6/2011,13.1952,42132.397,40245.594,34286.786,32589,4119.202,4327.236,853,853,220.358,220.358,3219.861,3037.605,302,6356,96.91,99.46,101.3,181.67,27.1,5975.26504,650.89198,1027.27673,1187.98755,221.880059,487.674054,647.607285
7/1/2011,1638611,1/7/2011,13.6812,42730.946,40809.988,35232.78,33487,5927.343,4207.877,809,809,256.11,256.11,3088.242,2913.436,289,6461,96.48,99.45,102.8,183.29,27.1,5898.28621,629.07013,994.162905,1168.97802,223.288366,495.386019,650.576625
8/1/2011,1447457,1/8/2011,13.6812,40234.461,38348.645,33091,31384,5552.898,3862.557,664,664,256.088,256.088,2611.029,2463.235,334,5680,96.98,99.85,101.7,184.19,27.1,5994.51887,653.526103,1060.29513,1167.0518,218.139459,469.584662,631.269214
9/1/2011,1422392,1/9/2011,13.6812,40622.536,38790.032,33085.95,31477,4729.038,3197.902,821,821,229.13,229.13,3273.298,3088.017,487,4752,96.91,100.56,101,163.68,27.2,6036.55595,673.23058,1052.97442,1224.85484,224.026962,478.510077,642.579567
10/1/2011,1727183,1/10/2011,13.6812,44110.148,42140.919,34461.51,32824,4754.391,3240.212,1035,1035,182.707,182.707,5542.733,5228.993,841,4664,97.14,100.69,101.2,182.37,27.2,5983.45102,636.680689,1042.22885,1148.20382,225.534826,463.860102,620.536141
11/1/2011,1763251,1/11/2011,13.6812,48495.74,46277.704,35415.62,33705,3702.495,3909.344,909,909,105.36,105.36,6890.511,6500.482,1262,5121,97.41,101.87,103.9,174.36,27.2,5214.68806,620.539467,782.051147,1076.22206,149.83409,394.62048,395.502976
12/1/2011,1721404,1/12/2011,13.6812,56141.838,53726.3,41791.86,39819,6531.401,5675.625,1944,1944,82.675,82.675,6330.043,5971.739,943,5770,97.8,101.79,101.8,176.33,27.3,5255.4336,630.232399,793.999436,1048.07136,177.069889,386.599746,514.712328
13/01/2011,1609796,1/1/2012,13.2958,59655.081,57249.403,44768.87,42810.54,5233.58,6748.338,1520.71,1520.71,108.671,108.671,7591.361,7161.662,720.89,6218.42,97.46,104.18,101,164.96,27.3,5094.79064,501.65577,724.625161,945.311435,162.952467,346.251798,560.190667
14/01/2011,1576520,1/2/2012,13.2958,56793.569,54393.928,40439.44,38661.1,3948.335,5185.547,1083.569,1083.569,180.365,180.365,6346.461,5987.227,3166.41,2618.47,97.86,105.26,100,156.42,27.3,5862.96722,610.946773,999.66103,1263.70133,215.665542,493.730298,660.453473
15/01/2011,1436096,1/3/2012,13.2958,50873.102,48672.589,39344.1,37548.64,3152.335,3951.563,938.602,938.602,299.561,299.561,5166.373,4873.937,436.15,5456.33,98.67,106.47,101.2,169.99,27.3,5907.3992,620.822759,1013.81901,1213.60674,221.900024,491.796748,659.262807
16/01/2011,1398265,1/4/2012,13.2958,45992.48,44071.633,34729.37,33099.71,2540.697,5402.719,1502.641,1502.641,330.002,330.002,4631.971,4369.784,939.38,4487.06,98.8,106.61,99.8,167.46,27.3,5893.00935,628.125841,1001.97539,1221.28116,219.228443,484.88277,657.119501
17/01/2011,1619351,1/5/2012,13.2958,42093.516,40296.534,30631.03,29058.12,2778.209,7750.322,932.895,932.895,422.399,422.399,4271.729,4029.933,612.9,5100.73,98.75,104.97,99.5,170.46,27.4,5886.7243,641.57621,963.468631,1229.90781,221.579409,461.299731,665.517595
18/01/2011,1659320,1/6/2012,13.2958,39119.358,37400.152,28043.09,26562.38,3588.283,6879.999,951.157,951.157,453.555,453.555,4552.994,4295.277,632.94,4331.58,98.78,102.78,98.7,165.66,27.4,5933.34712,651.946574,994.778349,1205.02351,225.62367,468.015695,657.749953
19/01/2011,1744112,1/7/2012,14.4536,39579.244,37783.753,30392.7,28817.59,4156.43,4939.558,875.105,875.105,499.336,499.336,3849.417,3631.526,947.45,4217.27,98.35,103.02,99.8,165.09,27.4,5949.98019,659.984265,1027.67917,1161.01322,228.413816,483.665618,649.537606
20/01/2011,1835323,1/8/2012,14.4536,38024.788,36150.465,29967.64,28313.71,5156.327,3571.923,861.564,861.564,468.254,468.254,4421.733,4171.446,956.49,4578.81,99,106.72,102.1,168.03,27.5,6041.3167,663.264109,1059.76939,1197.92242,220.313527,464.937106,634.635105
21/01/2011,1898851,1/9/2012,14.4536,39686.189,37836.854,31764.68,30130.08,5230.148,3618.268,883.51,883.51,373.851,373.851,4872.257,4596.469,610.63,4712.5,98.76,106.41,99.4,163.04,27.5,6062.32234,663.083603,1069.13676,1235.66897,235.881667,484.278536,634.027832
