,Fecha,PRECIO,DEMANDA,hidraulica,turbinacion bombeo,NUCLEAR,carbon,diesel,turbina de gas,turbina de vapor,ciclo combinado,eolica,solar fotovoltaica,solar termica,otras renovables,cogeneracion
3001,3/21/2019,52.42875,758931.722,81165.931,13012.026,170306.541,37882.399,6402.26,1903.62,5254.341,103716.163,119363.718,30466.966,13404.716,10145.661,87260.505
3002,3/22/2019,55.72791667,749138.108,105209.649,8907.714,170298.012,38186.993,6648.076,1269.296,5105.834,108031.534,86850.64,29928.981,11845.21,10139.783,87434.327
3003,3/23/2019,51.22083333,669633.017,74580.473,2662.699,170223.891,30140.982,6179.356,1578.923,5216.43,88107.246,100435.874,24319.453,19400.193,9939.646,83147.277
3004,3/24/2019,44.30208333,611819.827,47572.518,2108.798,170275.517,15384.736,6964.691,1499.085,6637.9,70668.405,136406.681,26693.017,13104.854,9540.152,79520.845
3005,3/25/2019,42.53166667,717073.819,48328.245,5934.466,170250.902,15804.705,7893.976,2331.687,7892.838,65691.201,243804.076,29895.254,20766.791,9567.024,83108.574
3006,3/26/2019,41.08708333,732395.045,44191.178,6260.823,170292.981,14358.765,7845.926,2079.809,8022.18,40307.664,295494.81,29474.667,22869.741,10088.632,83264.336
3007,3/27/2019,47.18041667,735314.342,49260.606,5391.881,170347.838,21192.129,7764.867,2029.046,8233.31,65689.234,215862.454,32201.495,19768.697,10056.673,85781.128
3008,3/28/2019,50.82666667,736120.156,60620.753,10767.535,170359.393,30663.865,7704.761,2461.695,8496.923,98407.067,173103.93,32248.471,15369.129,9933.257,87140.258
3009,3/29/2019,52.99833333,733687.593,72619.928,6519.172,170331.542,33729.095,7920.133,1982.114,7643.527,111155.625,142258.012,29204.45,5853.283,9298.142,88628.909
3010,3/30/2019,51.93291667,661273.331,50638.578,2917.432,170364.924,30254.655,7854.876,1568.13,7297.924,110276.356,117844.81,28295.655,2890.38,9121.668,83291.519
3011,3/31/2019,49.32125,595455.992,61880.832,448.127,163299.057,37682.121,7412.297,1104.163,6470.219,112423.457,71120.786,13894.093,10442.617,8376.256,77300.552
3012,4/1/2019,58.43375,728854.039,86710.531,7861.973,170031.052,46882.784,8247.283,2086.979,7614.582,178670.576,37360.945,16948.857,19180.831,8592.932,82565.716
