,Fecha,PRECIO,DEMANDA,hidraulica,turbinacion bombeo,NUCLEAR,carbon,diesel,turbina de gas,turbina de vapor,ciclo combinado,eolica,solar fotovoltaica,solar termica,otras renovables,cogeneracion,residuos no renovables,residuos renovables,generacion total,saldo francia imp exp,saldo marruecos,saldo portugal,saldo andorra,precio gas,nivel pantanos,indicador inflacion,precio petroleo,hidraulica2,temp max,IPI,EMPLEO,AGRICULTURA,INDUSTRIA,construccion,SERVICIOS
3001,3/21/2019,52.42875,758931.722,81165.931,13012.026,170306.541,37882.399,6402.26,1903.62,5254.341,103716.163,119363.718,30466.966,13404.716,10145.661,87260.505,6897.8365,2606.8175,697641.37,74974.473,12262.5,-21852.028,-1203.67,2.829999924,32.845,96.669,68.31999969,125.827,16.4,110.276,19471.1,839.7,2708.5,1281.4,14641.6
3002,3/22/2019,55.72791667,749138.108,105209.649,8907.714,170298.012,38186.993,6648.076,1269.296,5105.834,108031.534,86850.64,29928.981,11845.21,10139.783,87434.327,6935.782,2610.602,688106.431,76217.12,10826.4,-25624.471,-935.89,2.821000099,32.845,96.669,67.70999908,123.882,18.6,110.276,19471.1,839.7,2708.5,1281.4,14641.6
3003,3/23/2019,51.22083333,669633.017,74580.473,2662.699,170223.891,30140.982,6179.356,1578.923,5216.43,88107.246,100435.874,24319.453,19400.193,9939.646,83147.277,7267.5355,2697.0625,620019.932,71256.717,4885.6,-22653.196,-1147.36,2.723999977,32.845,96.669,10.67101895,118.368,19.2,110.276,19471.1,839.7,2708.5,1281.4,14641.6
3004,3/24/2019,44.30208333,611819.827,47572.518,2108.798,170275.517,15384.736,6964.691,1499.085,6637.9,70668.405,136406.681,26693.017,13104.854,9540.152,79520.845,7282.1305,2718.7555,595166.26,69682.87,9004,-46766.888,-1087.18,2.723999977,32.845,96.669,10.67101895,47.819,21.6,110.276,19471.1,839.7,2708.5,1281.4,14641.6
3005,3/25/2019,42.53166667,717073.819,48328.245,5934.466,170250.902,15804.705,7893.976,2331.687,7892.838,65691.201,243804.076,29895.254,20766.791,9567.024,83108.574,7106.399,2652.251,719675.502,66355.505,1531.5,-51969.673,-1031.17,2.723999977,32.627,96.669,66.93000031,13.711,22.6,110.276,19471.1,839.7,2708.5,1281.4,14641.6
3006,3/26/2019,41.08708333,732395.045,44191.178,6260.823,170292.981,14358.765,7845.926,2079.809,8022.18,40307.664,295494.81,29474.667,22869.741,10088.632,83264.336,6736.368,2552.481,734111.903,54560.987,-150.6,-29461.698,-958.92,2.759000063,32.627,96.669,67.25,36.429,22.6,110.276,19471.1,839.7,2708.5,1281.4,14641.6
3007,3/27/2019,47.18041667,735314.342,49260.606,5391.881,170347.838,21192.129,7764.867,2029.046,8233.31,65689.234,215862.454,32201.495,19768.697,10056.673,85781.128,6700.982,2498.713,703814.919,71591.015,198.3,-24722.684,-1097.4,2.730999947,32.627,96.669,67.87000275,37.772,18.9,110.276,19471.1,839.7,2708.5,1281.4,14641.6
3008,3/28/2019,50.82666667,736120.156,60620.753,10767.535,170359.393,30663.865,7704.761,2461.695,8496.923,98407.067,173103.93,32248.471,15369.129,9933.257,87140.258,6205.6695,2409.4555,723405.62,53786.67,1640.3,-35900.114,-1107.58,2.72300005,32.627,96.669,67.87000275,12.846,21,110.276,19471.1,839.7,2708.5,1281.4,14641.6
3009,3/29/2019,52.99833333,733687.593,72619.928,6519.172,170331.542,33729.095,7920.133,1982.114,7643.527,111155.625,142258.012,29204.45,5853.283,9298.142,88628.909,6602.667,2535.096,710202.225,52134.77,3575.2,-31140.573,-1069.79,2.720000029,32.627,96.669,68,5.116,20.1,110.276,19471.1,839.7,2708.5,1281.4,14641.6
3010,3/30/2019,51.93291667,661273.331,50638.578,2917.432,170364.924,30254.655,7854.876,1568.13,7297.924,110276.356,117844.81,28295.655,2890.38,9121.668,83291.519,6539.1585,2606.2585,644257.537,66650.361,853.4,-45724.994,-1155.24,2.663000107,32.627,96.669,11.00315829,16.464,21,110.276,19471.1,839.7,2708.5,1281.4,14641.6
3011,3/31/2019,49.32125,595455.992,61880.832,448.127,163299.057,37682.121,7412.297,1104.163,6470.219,112423.457,71120.786,13894.093,10442.617,8376.256,77300.552,6122.7455,2482.9635,575888.407,52971.496,3456.73,-33833.451,-1064.2,2.663000107,32.627,96.669,11.00315829,17.455,13.7,110.276,19471.1,839.7,2708.5,1281.4,14641.6
3012,4/1/2019,58.43375,728854.039,86710.531,7861.973,170031.052,46882.784,8247.283,2086.979,7614.582,178670.576,37360.945,16948.857,19180.831,8592.932,82565.716,6684.988,2515.961,665675.674,52309.332,1669.4,10013.638,-652.42,2.663000107,32.407,97.644,68.34999847,10.135,18.3,103.201,19804.9,809.3,2764.5,1276.4,14954.7
3013,4/2/2019,57.98208333,740720.312,83164.935,3195.309,169915.244,46589.16,8419.863,2446.029,7263.55,160748.133,48966.183,23759.218,23520.922,8772.946,82731.811,6650.969,2644.997,665746.497,54570.902,-1327.5,23060.262,-493.57,2.70600009,32.407,97.644,69.20999908,35.533,19.7,103.201,19804.9,809.3,2764.5,1276.4,14954.7
3014,4/3/2019,52.92625,743726.231,65400.943,1280.658,170138.522,34424.941,8442.244,2195.932,6902.683,90131.434,153698.601,26209.086,5319.131,8607.082,83925.777,6627.108,2718.811,679897.814,43470.286,-367.8,21504.856,-510.34,2.691999912,32.407,97.644,69.79000092,13.161,19.1,103.201,19804.9,809.3,2764.5,1276.4,14954.7
3015,4/4/2019,53.38583333,746532.132,62710.157,2717.864,160321.159,35359.079,8254.202,1879.392,7213.712,130192.168,140545.493,31145.058,2708.515,9005.646,86225.956,6784.9635,2692.3025,708593.998,28977.844,1139.3,11968.245,-513.1,2.673000097,32.407,97.644,69.48999786,25.924,17.4,103.201,19804.9,809.3,2764.5,1276.4,14954.7
3016,4/5/2019,51.35166667,758884.449,73535.245,3070.677,144301.84,37828.758,8026.976,1805.261,7378.116,107790.476,190338.721,15039.571,1268.098,9090.822,86830.532,6435.194,2506.277,699337.114,45542.943,0,17063.447,-519.98,2.644000053,32.407,97.644,69.26000214,39.517,11.3,103.201,19804.9,809.3,2764.5,1276.4,14954.7
3017,4/6/2019,44.30041667,683345.822,55856.409,3398.953,137284.963,32388.161,7171.647,1687.921,6485.192,41854.034,256890.826,18381.612,3570.917,9030.151,82434.903,6454.62,2562.252,664644.752,43403.75,2709.4,-15233.14,-476.99,2.65899992,32.407,97.644,10.82431504,54.593,11.9,103.201,19804.9,809.3,2764.5,1276.4,14954.7
3018,4/7/2019,47.2225,635743.258,50757.459,2073.96,143808.569,29481.006,7163.044,1262.388,6624.026,52608.728,212717.737,19233.574,7110.301,8683.582,80770.495,6238.1185,2351.2505,625066.088,39188.753,6752,-20794.016,-443.47,2.65899992,32.407,97.644,10.82431504,24.053,12.9,103.201,19804.9,809.3,2764.5,1276.4,14954.7
3019,4/8/2019,53.25833333,745947.421,59284.298,5696.405,144537.255,26037.048,8258.827,1961.572,7163.649,125025.51,186253.805,18574.039,12268.687,8948.564,85949.046,6739.6635,2707.1395,690737.13,38943.104,6551,14103.018,-507.79,2.65899992,32.213,97.644,70.5,29.392,17,103.201,19804.9,809.3,2764.5,1276.4,14954.7
3020,4/9/2019,50.30833333,762514.952,55846.571,1439.284,144527.503,22779.394,8849.063,1770.085,6545.171,94680.675,240219.63,21895.504,20258.811,9568.726,85693.504,6940.003,2792.884,710686.382,38222.405,5511,10215.011,-507.99,2.709000111,32.213,97.644,71.08000183,28.084,14.1,103.201,19804.9,809.3,2764.5,1276.4,14954.7
3021,4/10/2019,50.82958333,759373.018,57950.714,446.909,144544.572,36845.763,7524.971,1706.919,5341.264,108751.383,208677.659,22916.785,25460.056,9650.575,87037.608,6548.5385,2699.9755,712960.089,37154.983,7003.2,4452.699,-524.82,2.704999924,32.213,97.644,70.83000183,47.766,16.4,103.201,19804.9,809.3,2764.5,1276.4,14954.7
3022,4/11/2019,54.65291667,754593.577,66323.71,1901.894,144519.503,36375.016,7089.849,1523.563,5706.334,127956.885,166224.994,29489.64,24461.188,9804.166,88672.195,6708.8395,2680.5045,715328.03,37402.879,7681,-5944.885,-523.23,2.701999903,32.213,97.644,71.66000366,92.126,17.5,103.201,19804.9,809.3,2764.5,1276.4,14954.7
3023,4/12/2019,56.96916667,737503.833,65634.563,2855.805,143906.133,41901.055,7037.542,1821.401,5665.526,120370.489,131252.541,33643.43,18554.207,10734.003,89482.158,6868.0005,2783.1065,689516.107,33420.703,8158.8,7190.335,-490.98,2.674000025,32.213,97.644,70.91999817,100.298,19.5,103.201,19804.9,809.3,2764.5,1276.4,14954.7
