Fecha,Hidráulica,Turbinación bombeo,Carbón,Ciclo combinado,Eólica,Solar fotovoltaica,Solar térmica,Otras renovables,Cogeneración,Generación total,Residuos no renovables
01-2013,73726.66,38176.326,870684.231,680784.322,713993.874,88188.601,58287.495,150339.916,532360.502,3206541.927,0.0
02-2013,102211.642,34304.644,766821.369,469527.067,616019.34,107272.437,91383.587,140787.968,455455.369,2783783.4229999995,0.0
03-2013,219632.235,44234.324,486404.444,289166.103,914940.827,101607.883,60922.245,161306.512,483924.289,2762138.862,0.0
04-2013,189243.948,37081.489,409739.978,236649.177,495550.511,145551.195,132021.17,144754.953,464688.424,2255280.845,0.0
05-2013,143615.438,22844.886,342743.67,437737.877,496093.056,165759.575,217817.034,135845.085,472614.377,2435070.9979999997,0.0
06-2013,125723.294,20135.086,429948.87,343110.539,641439.434,171214.666,292210.481,153332.524,427273.813,2604388.7070000004,0.0
07-2013,135975.653,18503.832,1071157.979,396717.628,539348.64,177922.364,335843.391,158553.544,480532.97,3314556.001,0.0
08-2013,111631.613,18214.606,1040275.62,513940.036,517208.923,165061.916,287968.807,158555.215,411121.331,3223978.067,0.0
09-2013,65684.498,19526.011,863742.51,557525.437,534546.029,136616.637,194305.966,147346.608,430715.262,2950008.958,0.0
10-2013,45077.104,10866.466,1075429.687,700920.811,342884.998,125008.529,140414.324,132250.488,470642.892,3043495.299,0.0
11-2013,36812.085,30764.115,772751.937,544490.422,472320.146,108423.251,98578.386,148127.186,482911.285,2695178.813,0.0
12-2013,36470.924,37977.597,1138948.617,593504.637,702465.703,93794.001,78034.453,160154.687,505411.487,3346762.1060000006,0.0
01-2014,57178.461,43873.917,683384.933,346973.355,718193.982,77632.84,42489.531,152927.1,499340.165,2621994.284,0.0
02-2014,137840.605,40028.955,370899.252,293297.605,654211.331,80967.683,51079.32,111576.029,397764.514,2137665.294,0.0
03-2014,118651.997,34163.261,439908.747,241934.361,740938.874,140931.177,174948.675,117474.413,405133.541,2414085.046,0.0
04-2014,81194.677,36972.746,418009.817,206431.268,586261.941,146257.926,181584.131,86337.053,325864.561,2068914.12,0.0
05-2014,80237.089,23861.612,781761.254,309612.523,582637.832,178595.737,316171.32,131844.469,401795.39,2806517.2260000003,0.0
06-2014,93151.44,18713.421,1039873.015,296729.338,378238.973,167792.259,272228.387,141661.485,464919.414,2873307.732,0.0
07-2014,107566.872,10683.19,1171716.869,357008.938,395374.39,178422.126,329249.801,129918.757,471113.4,3151054.3430000003,0.0
08-2014,97598.613,13194.833,1105864.46,496801.291,392633.553,171952.504,349072.476,148402.473,485217.259,3260737.4620000008,0.0
09-2014,50931.286,12728.404,1165426.345,503380.81,273742.55,128382.103,155484.683,134936.957,469140.368,2894153.506,0.0
10-2014,27123.959,27261.321,827364.8,439377.983,627148.093,126400.334,130905.655,98106.749,470266.403,2773955.297,0.0
11-2014,28629.559,41822.749,551936.874,417429.716,632105.757,81967.15,51953.271,110036.02,368939.893,2284820.9889999996,0.0
12-2014,53892.78,37181.783,939236.703,446844.697,468918.39,95308.492,69068.504,121511.488,419683.787,2651646.6240000003,0.0
01-2015,37843.156,31478.777,1126723.635,493423.153,609617.02,104183.797,81452.689,122853.818,460347.477,3067923.5219999994,0.0
02-2015,49184.118,31652.949,894579.758,374150.701,748937.034,100373.621,68842.213,102324.586,395155.603,2765200.583,0.0
03-2015,46886.649,23168.258,913904.477,363826.985,439800.695,139896.33,168697.511,106014.027,422277.419,2624472.351,0.0
04-2015,56497.631,31447.315,883736.613,308670.136,666214.497,139626.306,168709.467,61788.675,398892.876,2715583.5160000003,0.0
05-2015,85171.949,20065.203,917853.848,317826.16,587863.464,168251.876,277046.238,94635.291,428360.413,2897074.4420000003,0.0
06-2015,97694.091,9011.138,1121840.468,401154.811,620665.589,162297.609,303426.73,109362.388,403469.541,3228922.365,0.0
07-2015,106207.965,13226.383,1259776.272,734070.009,331654.62,171136.085,373574.072,113160.179,444279.512,3547085.0970000005,0.0
08-2015,88012.265,16689.822,1161635.026,647689.339,492716.101,146921.544,233801.708,121078.33,448996.257,3357540.392,0.0
09-2015,48660.948,10664.609,1182838.633,499098.338,365801.946,137918.619,190757.645,123089.867,421857.959,2980688.564,0.0
10-2015,28945.811,20042.197,1089977.425,559118.153,382281.244,100234.472,78828.725,129281.478,444660.293,2833369.7980000004,0.0
11-2015,24227.982,23971.372,1129113.67,402902.323,540656.505,113936.852,115645.995,125212.54,427867.901,2903535.14,0.0
12-2015,25858.746,32364.345,1006710.063,471519.808,577628.383,85845.664,49453.515,120785.323,447163.254,2817329.101,0.0
01-2016,27321.172,38812.998,746745.551,419398.78,587036.601,77772.405,34863.464,104973.066,432539.308,2469463.345,0.0
02-2016,36331.754,45703.31,627988.352,277752.58,841149.452,88392.842,56245.927,106865.34,387503.378,2468348.987,416.052
03-2016,38532.287,38103.715,701357.777,251932.714,464228.813,144283.319,182413.714,119275.449,397679.057,2337806.8549999995,0.01
04-2016,47681.671,32023.113,479868.135,227826.664,445639.999,134224.859,168959.538,75031.811,385427.179,2000638.309,3955.34
05-2016,69565.563,32749.391,491563.143,361086.941,628408.56,148459.199,237140.228,107826.402,422778.071,2504007.86,4430.362
06-2016,95404.425,10353.986,654143.952,564948.547,545799.092,168452.723,346948.585,116185.961,431692.323,2955948.427,22018.833
07-2016,107257.765,5027.762,909256.136,721802.554,678765.28,163128.714,334920.122,132657.007,436460.769,3514473.6720000007,25197.563
08-2016,102179.331,4007.783,803301.238,643399.089,808440.713,161126.983,329006.998,132821.708,430746.567,3439546.58,24516.17
09-2016,67273.578,4263.0,783391.239,543085.608,476518.916,146319.896,248441.259,112751.805,422684.623,2829989.262,25259.338
10-2016,33376.678,13428.248,625027.764,700451.301,502017.698,116689.051,124318.123,121001.533,438789.698,2696883.8609999996,21783.767
11-2016,26367.81,22351.595,659566.505,776034.131,482764.652,87999.754,68278.934,120544.922,448775.369,2719339.9069999997,26656.235
12-2016,37669.384,11279.866,800723.021,650055.545,599494.817,88791.274,63094.117,118296.823,467191.25,2863942.2070000004,27346.11
01-2017,28966.93,20446.637,808180.811,511917.15,486002.615,105876.631,71769.211,124726.443,481661.362,2667269.529,27721.739
02-2017,34959.516,19330.103,592198.801,285285.727,655982.971,79079.538,30729.586,110344.12,430298.964,2256374.807,18165.481
03-2017,48259.45,19305.746,578725.894,247198.94,689848.193,132740.69,153472.04,108713.625,451811.131,2455843.0579999997,25767.349
04-2017,55773.892,13747.185,792395.211,184023.235,734690.912,150587.8,221765.518,85119.043,396701.911,2660318.587,25513.88
05-2017,52724.597,10149.832,997656.272,350423.982,719687.601,162775.211,261109.16,111116.402,435273.148,3124466.983,23550.778
06-2017,64851.953,3165.928,940493.191,715805.882,666899.241,164867.723,338971.179,121626.314,422679.515,3464337.0899999994,24976.164
07-2017,85460.559,4522.699,1127007.502,836763.4,498082.869,166014.059,346095.663,133794.893,456333.146,3675560.7400000007,21485.95
08-2017,83325.688,3962.771,1089930.085,852487.634,555464.494,148518.613,278934.19,119375.896,447696.274,3606218.0279999995,26522.383
09-2017,48864.124,7448.717,879722.126,1039391.672,469456.095,145698.756,259824.087,117280.685,417204.656,3409567.499,24676.581
10-2017,20467.776,2586.886,834630.892,822999.082,675886.202,128336.279,176930.859,124602.203,420119.72,3232846.021,26286.122
11-2017,11380.715,13702.412,1003051.725,1134490.016,417761.367,106722.901,108875.139,113544.12,443144.612,3378643.95,25970.943
12-2017,15196.247,28151.787,877007.75,736962.328,622247.473,92398.902,71281.198,118587.825,471417.071,3061573.8639999996,28323.283
01-2018,23913.41,23466.559,920178.541,552724.932,581431.899,87182.186,55405.267,105111.404,439407.975,2815740.0290000006,0.0
02-2018,15087.169,10529.714,962097.186,459356.84,399764.813,106586.788,95106.513,119296.807,412815.488,2603406.255,0.0
03-2018,88804.635,28001.581,574317.331,301250.42,984383.362,103277.479,100297.12,104569.144,428586.756,2737380.3899999997,0.0
04-2018,86375.238,19982.54,607384.589,271278.067,720213.035,130348.84,156952.675,81028.424,416893.797,2490457.205,0.0
05-2018,82185.169,8090.942,884494.367,322130.71,391488.25,149455.582,199819.682,122077.971,439896.696,2599639.369,0.0
06-2018,104916.761,2844.026,847367.973,471997.585,425326.973,152990.993,249623.213,111075.986,443873.903,2810017.413,0.0
07-2018,106302.891,518.792,1083065.725,666491.99,301269.085,172846.858,371980.688,131467.242,455882.711,3289825.9820000003,0.0
