Fecha,Hidráulica,Turbinación bombeo,Nuclear,Carbón,Eólica,Solar fotovoltaica,Otras renovables,Cogeneración,Generación total
01-2013,483421.615,97794.01,0.0,0.0,1350506.381,38243.202,15966.877,299449.493,2465214.2759999996
02-2013,701195.744,71719.9,0.0,0.0,1124188.943,49751.813,13685.113,272587.982,2401985.886
03-2013,946849.253,122375.657,0.0,0.0,1424978.593,54256.76,15282.451,290232.974,2868975.1619999995
04-2013,1367425.94,41929.809,0.0,0.0,1160468.04,77868.13,14702.271,275494.158,2967059.059
05-2013,720789.542,26870.457,0.0,0.0,824983.652,91872.799,15738.643,261441.895,2075955.965
06-2013,490097.462,16869.4,0.0,0.0,842101.176,99520.808,11620.686,234956.223,2179220.7369999997
07-2013,488861.868,67.426,0.0,0.0,652816.305,103635.629,15222.437,236705.43,2638967.4570000004
08-2013,619428.059,45.023,0.0,0.0,794751.652,105039.432,14977.612,163727.366,2592676.84
09-2013,563449.615,373.206,0.0,0.0,721229.977,84660.543,15360.08,220844.616,2675267.946
10-2013,580934.889,25400.708,0.0,0.0,1076831.672,61182.992,15550.156,244353.563,2541044.342
11-2013,763044.102,29277.481,0.0,0.0,1594971.684,46036.894,14306.846,238766.642,2905216.4579999996
12-2013,560742.139,52824.725,0.0,0.0,1181840.032,39150.152,18952.909,232649.96,2882089.2519999994
01-2014,1055427.61,91564.342,0.0,0.0,1672953.906,29646.597,23594.166,237753.75,3293755.0200000005
02-2014,1762539.35,34913.908,0.0,0.0,1563177.707,40353.474,16362.769,121931.418,3530144.085
03-2014,1674716.216,61606.228,0.0,0.0,1205128.925,76030.87,17493.77,99844.956,3190453.291
04-2014,1808547.94,51934.095,0.0,0.0,814647.386,80846.306,14595.366,95561.77,2897259.3179999995
05-2014,578410.81,56331.322,0.0,0.0,1088167.317,101233.368,24157.023,135063.716,2549166.925
06-2014,510200.551,27106.02,0.0,0.0,791924.268,101098.835,22622.84,149858.852,2782620.5579999997
07-2014,428117.421,22080.07,0.0,0.0,848688.42,102486.001,25610.246,148947.56,2932671.147
08-2014,458539.027,19010.473,0.0,0.0,685561.837,100623.441,21825.932,129570.725,2488826.569
09-2014,559687.044,25806.615,0.0,0.0,523193.332,75939.931,25014.082,145933.043,2869141.6829999997
10-2014,512838.986,34562.44,0.0,0.0,850813.667,67108.995,25578.889,148272.476,2632049.263
11-2014,506836.021,46497.716,0.0,0.0,1336255.518,30682.416,8733.719,135954.749,2528065.1259999997
12-2014,821798.944,25826.828,0.0,0.0,950049.538,37200.823,23538.286,133323.083,2547048.2759999996
01-2015,637510.904,45097.203,0.0,0.0,1004888.307,44318.279,22498.831,155387.728,2702682.616
02-2015,883091.832,50156.551,0.0,0.0,1300523.644,45112.764,11152.613,136820.633,2770488.053
03-2015,1103229.922,45547.637,0.0,0.0,1221705.898,75058.064,17242.083,144819.236,2691985.222
04-2015,764016.645,41248.243,0.0,0.0,852240.595,78124.441,13462.115,145996.018,2328564.901
05-2015,837903.066,19123.963,0.0,0.0,1281048.611,102136.555,23210.147,143729.155,2691682.471
06-2015,615367.367,7088.998,0.0,0.0,597889.989,92061.312,22633.312,147177.85,2700342.2029999997
07-2015,585765.804,5052.961,0.0,0.0,723636.507,103782.464,23813.666,166249.505,3096634.8630000004
08-2015,459010.939,21555.761,0.0,0.0,798634.183,94101.131,25849.126,146978.34,2674027.3140000002
09-2015,486508.176,21190.607,0.0,0.0,750481.662,80228.545,24590.452,144684.05,2295282.6739999996
10-2015,466845.138,41775.047,0.0,0.0,1028249.604,56438.801,23152.033,147107.662,2451597.957
11-2015,550438.665,53535.96,0.0,0.0,784711.728,44746.515,25609.497,162445.525,2646709.1610000003
12-2015,357216.641,62472.122,0.0,0.0,794015.151,31157.671,18600.729,158721.644,2398081.4289999995
01-2016,1064810.658,86800.312,0.0,182066.181,1421817.058,27163.809,17978.447,165938.865,3101620.6400000006
02-2016,1250785.637,64450.186,0.0,170721.844,1458521.539,46675.854,17999.829,145956.229,3104662.5059999996
03-2016,1270890.058,49201.052,0.0,16884.75,1306900.619,68188.688,6491.213,145120.556,2836834.088
04-2016,1873413.577,34788.25,0.0,30854.482,1164545.176,73412.272,16458.326,157137.662,3310828.912
05-2016,1786868.031,17212.96,0.0,135898.829,808307.769,85120.451,23465.384,160704.119,2911781.917
06-2016,706738.072,6602.473,0.0,485479.93,725281.203,100554.186,19740.058,160729.266,1834911.0790000001
07-2016,602820.32,1709.406,0.0,1143244.062,721956.956,106345.157,24541.335,156060.878,2057232.571
08-2016,681431.941,17795.094,0.0,896241.82,785407.74,101534.314,26465.728,141539.489,2284761.444
09-2016,553720.12,10076.184,0.0,1070824.081,586690.279,82699.385,26025.667,154164.909,2390889.971
10-2016,658743.306,9576.077,0.0,538376.198,492171.563,64211.817,23799.49,165090.393,2779617.2270000004
11-2016,472717.184,31584.563,0.0,220540.579,976572.244,39695.043,26174.014,145800.944,2952338.7640000004
12-2016,587929.736,26399.767,0.0,797858.534,491771.587,34141.458,18021.865,159022.644,2650814.879
01-2017,679865.372,38834.123,0.0,184638.987,1058838.44,49348.663,22769.086,177788.855,3321206.594
02-2017,395350.792,64255.831,0.0,-7603.905,1236091.062,49207.014,24052.548,161763.791,2599361.749
03-2017,698081.623,18648.786,0.0,57306.036,1100376.868,71866.938,16467.348,180125.247,2136804.049
