Fecha,Hidráulica,Turbinación bombeo,Nuclear,Fuel + Gas,Ciclo combinado,Eólica,Solar fotovoltaica,Solar térmica,Otras renovables,Cogeneración,Residuos no renovables,Generación total
01-2013,23626.071,101921.366,791102.28,0.0,299799.4,457700.909,34391.62,0.0,2789.327,189648.999,0.0,1900983.6180000002
02-2013,25382.153,98585.597,704865.69,0.0,270591.2,387778.286,37422.939,0.0,3138.977,173820.187,0.0,1701585.0289999999
03-2013,33676.436,118935.468,763921.91,0.0,218319.53,200482.245,43952.82,0.0,3571.003,187510.16,0.0,1570380.125
04-2013,36111.491,121572.3,746143.09,0.0,195988.147,138394.492,49990.895,0.0,3601.552,185425.613,0.0,1477227.5810000002
05-2013,42016.468,92599.693,755827.28,0.0,246442.86,194433.434,59467.679,0.0,3712.52,163486.112,35003.228,1592990.8989999997
06-2013,44377.043,82067.845,754496.7,0.0,258354.96,133330.52,62602.614,0.0,3607.226,145498.449,33173.735,1517509.0920000002
07-2013,51505.365,79644.315,758052.12,0.0,355838.41,109846.123,64909.843,0.0,3729.628,140015.401,34161.98,1597703.1840000001
08-2013,73725.132,70564.223,724601.36,0.0,414044.878,92176.905,52352.112,0.0,3961.8,87706.004,33131.466,1552263.88
09-2013,34921.181,42874.682,477284.76,0.0,441615.84,102111.375,48805.202,93.139,3735.219,133708.34,34046.735,1319196.4730000002
10-2013,42313.882,108831.453,-6895.79,0.0,452968.765,133260.756,43137.849,3886.416,3955.153,139131.593,35782.659,956378.336
11-2013,35737.655,90214.617,733810.27,0.0,369499.801,379534.341,35868.014,3847.284,3738.201,139213.193,31709.829,1823173.2049999996
12-2013,32086.046,108381.07,792218.45,0.0,393532.9,200830.73,27058.297,2006.323,3543.197,117691.198,37051.72,1714399.931
01-2014,34110.921,132070.227,781846.21,0.0,289636.7,399713.468,28311.17,2603.24,3450.038,128228.163,34813.0,1834783.1369999999
02-2014,28626.997,120108.191,715375.1,0.0,219780.73,311026.418,32798.581,3546.309,3479.072,103841.335,32156.071,1570745.0579999997
03-2014,32209.668,110393.908,790704.84,0.0,239858.71,235814.827,49117.711,7149.629,3309.205,106729.263,32244.646,1607532.407
04-2014,31709.236,123290.994,743248.59,0.0,216856.6,210205.474,55521.737,8356.658,3037.131,100065.52,34898.716,1527200.175
05-2014,68921.741,80156.402,789704.15,0.0,274978.69,164301.81,58224.877,11315.117,3448.834,125323.229,30428.24,1606803.0890000004
06-2014,81217.841,77404.348,717261.35,0.0,358556.684,135508.226,56189.059,11997.087,3437.32,123156.326,29912.652,1594640.893
