Fecha,Motores diésel,Turbina de gas,Solar fotovoltaica,Residuos no renovables,Residuos renovables,Generación total
01-2013,17110.854,0.0,4.881,390.326,390.326,17900.58
02-2013,15528.74,0.0,5.495,324.1085,324.1085,16183.376000000002
03-2013,15837.664,0.0,7.355,302.59,302.59,16450.199
04-2013,15145.012,0.0,7.49,362.802,362.802,15878.106
05-2013,16033.365,0.0,9.424,313.6945,313.6945,16671.456000000002
06-2013,15755.907,4.193,8.949,396.8485,396.8485,16558.906
07-2013,18164.968,0.924,8.29,339.394,339.394,18852.426000000003
08-2013,19689.804,1.278,8.027,323.441,323.441,20344.712999999996
09-2013,17661.661,0.353,6.954,305.6065,305.6065,18279.828000000005
10-2013,16824.399,0.38,6.568,446.337,446.337,17794.537
11-2013,16654.679,70.896,4.839,82.3565,82.3565,16824.231000000003
12-2013,17049.946,15.657,4.051,431.394,431.394,17932.442
01-2014,17113.974,0.0,4.479,438.9415,438.9415,17999.595999999998
02-2014,15188.762,0.0,5.739,426.67,426.67,16095.06
03-2014,16070.376,0.0,7.88,449.989,449.989,16988.476000000002
04-2014,14924.15,3.26,8.644,391.808,391.808,15716.41
05-2014,15881.796,47.219,8.964,342.024,342.024,16574.808
06-2014,16458.872,10.242,8.974,327.595,327.595,17190.705
07-2014,18016.24,67.669,9.23,387.5495,387.5495,18831.512000000002
08-2014,19097.677,30.943,8.608,349.8775,349.8775,19806.039999999997
09-2014,17935.041,55.459,6.517,360.203,360.203,18717.423000000003
10-2014,16794.754,98.269,6.527,394.673,394.673,17688.895999999997
11-2014,16098.889,212.035,4.176,89.532,89.532,16494.163999999997
12-2014,16469.927,241.214,4.095,490.2945,490.2945,17695.825
01-2015,17307.293,0.0,4.798,406.5665,406.5665,18439.342
02-2015,16101.558,0.0,5.024,384.252,384.252,16875.086
03-2015,15793.115,0.0,8.026,399.5425,399.5425,16655.990999999998
04-2015,14968.85,0.0,6.233,384.5825,384.5825,15744.248000000001
05-2015,15859.992,0.0,8.487,399.2905,399.2905,16667.059999999998
06-2015,16456.643,314.118,8.438,362.668,362.668,17192.483
07-2015,20927.738,55.765,8.876,306.0275,306.0275,21678.633
08-2015,20497.644,2.066,7.348,330.7325,330.7325,21167.397999999997
09-2015,17047.534,129.964,7.348,349.4625,349.4625,17753.807000000004
10-2015,16560.111,0.941,6.499,424.0245,424.0245,17414.659
11-2015,16034.717,106.171,4.979,110.6505,110.6505,16367.168
12-2015,16361.907,2.473,3.904,438.6985,438.6985,17245.680999999997
01-2016,16079.162,0.0,4.303,486.9855,486.9855,17057.435999999998
02-2016,15287.703,0.0,5.526,413.2365,413.2365,16119.975999999999
03-2016,15608.211,0.0,8.486,388.0695,388.0695,16393.406
04-2016,14657.767,0.274,8.527,449.9035,449.9035,15680.552
05-2016,15686.673,0.57,8.57,371.4135,371.4135,16451.0
06-2016,16462.298,114.451,8.364,406.484,406.484,17314.149
07-2016,17919.129,12.93,7.037,395.088,395.088,18777.352
08-2016,19733.528,30.519,8.011,402.675,402.675,20562.342999999997
09-2016,17852.324,61.01,6.96,414.326,414.326,18705.204
10-2016,16584.625,15.454,6.11,504.3505,504.3505,17599.436
11-2016,16229.585,17.268,4.618,110.9915,110.9915,16456.185999999998
12-2016,16149.311,2.993,3.588,506.529,506.529,17168.949999999997
01-2017,17659.624,0.0,4.628,452.02,452.02,18568.292
02-2017,14741.348,0.0,4.468,426.088,426.088,15602.088
03-2017,15595.695,0.0,7.199,438.0085,438.0085,16479.364
04-2017,14233.489,0.0,7.168,420.811,420.811,15082.278999999999
05-2017,15543.528,0.0,7.693,450.2675,450.2675,16451.756
06-2017,17132.913,0.0,7.782,434.6815,434.6815,18010.184999999998
07-2017,18825.35,0.0,8.309,425.633,425.633,19684.925000000003
08-2017,20097.34,4.096,6.568,341.006,341.006,20785.920000000002
09-2017,16927.968,0.453,7.604,448.8645,448.8645,17833.301
10-2017,16473.51,0.127,6.547,497.2605,497.2605,17474.577999999998
11-2017,16219.249,10.003,4.844,87.2905,87.2905,16408.677
12-2017,16866.95,62.594,4.059,555.055,555.055,18043.713000000003
01-2018,17095.319,0.0,4.205,521.0755,521.0755,18185.972999999998
02-2018,16046.134,44.298,5.874,484.4805,484.4805,17029.638000000003
03-2018,15645.465,8.669,7.59,524.2205,524.2205,16701.992
04-2018,14934.573,0.496,6.899,456.2945,456.2945,15854.64
05-2018,15540.776,0.579,7.645,476.224,476.224,16501.42
06-2018,16168.516,0.551,6.288,420.4815,420.4815,17017.004
07-2018,18176.228,1.237,6.204,461.947,461.947,19115.602000000003
08-2018,20469.174,9.276,8.629,470.8915,470.8915,21420.526
09-2018,18564.09,0.94,6.42,430.504,430.504,19431.863
10-2018,16831.804,0.345,6.042,414.2015,414.2015,17666.249
11-2018,16390.878,0.329,4.839,109.871,109.871,16615.788
12-2018,16250.709,0.381,3.976,576.6475,576.6475,17408.361
01-2019,17425.724,0.561,5.053,549.424,549.424,18530.185999999998
02-2019,14977.747,0.513,5.526,489.697,489.697,15963.18
03-2019,15537.658,1.012,6.561,538.434,538.434,16622.099
04-2019,14454.033,1.546,7.925,460.3105,460.3105,15384.124999999998
05-2019,15892.072,4.265,8.683,525.839,525.839,16956.698
06-2019,16147.513,6.279,8.663,453.5885,453.5885,17069.632000000005
07-2019,19120.079,1.245,8.167,426.117,426.117,19981.725
08-2019,20490.851,1.742,8.012,392.627,392.627,21285.858999999997
09-2019,17890.949,0.889,6.704,369.742,369.742,18638.025999999998
10-2019,16875.246,1.583,6.582,311.8525,311.8525,17507.115999999998
11-2019,15319.097,0.598,4.882,463.259,463.259,16251.095
12-2019,15878.279,0.774,3.615,416.108,416.108,16714.884
01-2020,17598.248,0.797,4.709,104.48,104.48,17812.713999999996
02-2020,15022.058,1.165,5.41,394.3335,394.3335,15817.300000000003
03-2020,14637.923,1.918,6.338,544.7555,544.7555,15735.689999999999
04-2020,13767.221,0.945,5.699,481.928,481.928,14737.721
05-2020,14576.577,0.946,8.014,494.111,494.111,15573.759
06-2020,15619.283,1.974,8.75,539.1865,539.1865,16708.38
07-2020,20046.903,1.203,7.909,542.464,542.464,21140.943
08-2020,21221.869,72.992,8.19,516.34,516.34,22335.730999999996
09-2020,17755.965,5.182,6.833,512.9595,512.9595,18793.899
10-2020,15391.599,1.299,6.295,576.1445,576.1445,16551.482
11-2020,14586.448,6.141,4.727,519.187,519.187,15635.69
12-2020,16562.448,1.341,3.833,299.666,299.666,17166.954
01-2021,16974.65,0.0,0.0,638.7165,638.7165,18321.295000000002
02-2021,13906.049,0.0,4.598,573.888,573.888,15061.000000000004
