Fecha,Hidráulica,Turbinación bombeo,Nuclear,Solar fotovoltaica,Solar térmica,Otras renovables,Cogeneración,Generación total,Eólica
01-2013,106064.459,4276.927,800507.423,49657.129,32189.059,11569.337,5951.923,1010216.2569999998,0.0
02-2013,88423.57,3897.387,1013756.98,73590.174,74623.293,6029.815,5153.792,1265475.011,0.0
03-2013,382651.594,10287.587,1479587.583,64249.642,40499.125,10793.571,5654.941,1993724.043,0.0
04-2013,581277.182,3341.645,1436292.49,105912.831,116943.026,10154.018,5651.458,2259572.6500000004,0.0
05-2013,288259.168,2575.32,1293263.261,120925.206,189533.602,11326.657,3944.001,1909827.2149999996,0.0
06-2013,288518.978,958.841,1322636.632,123642.182,237192.699,10293.878,5046.967,1988290.177,0.0
07-2013,294254.307,70.275,1462595.948,132234.993,281868.42,10446.126,5290.513,2186760.582,0.0
08-2013,164601.449,49.229,1458184.04,125863.715,257056.952,10760.469,1844.122,2018359.9760000003,0.0
09-2013,124048.026,150.645,1407878.779,101997.116,194736.947,9871.891,4708.94,1843392.344,0.0
10-2013,134976.032,2900.32,1467990.208,79712.258,100556.14,10805.556,5201.267,1802141.781,0.0
11-2013,234902.63,714.813,1183605.771,70570.887,69937.864,8832.92,5103.679,1573668.564,0.0
12-2013,140125.543,4235.279,750429.953,62091.436,53682.993,11334.782,4299.102,1026199.088,0.0
01-2014,199719.418,13253.187,778385.139,47302.625,21845.097,11212.621,5062.722,1076780.8090000001,0.0
02-2014,768610.309,4989.68,1295901.09,50777.991,34549.815,7414.126,4230.397,2166473.4080000003,0.0
03-2014,411870.812,6172.844,1500622.942,93412.349,143125.115,118.822,2742.931,2158065.815,0.0
04-2014,302297.271,5982.804,1445760.338,98123.216,162443.213,5844.912,1425.073,2021876.827,0.0
05-2014,139283.128,4290.994,1487762.911,127978.155,289058.012,15798.87,3488.876,2067660.9460000002,0.0
06-2014,116193.159,1907.014,1222449.558,123853.779,282056.217,20094.822,2322.113,1768876.6619999998,0.0
07-2014,368121.117,663.569,742024.306,128269.173,325660.117,23284.704,2492.737,1590515.723,0.0
08-2014,252958.397,20.856,938472.995,127424.092,335565.774,24887.606,838.428,1680168.1479999998,0.0
09-2014,117197.435,2026.611,1377097.185,86065.412,151535.983,23105.632,2320.371,1759348.6290000002,0.0
10-2014,96011.487,263.879,1470389.804,80685.105,95504.631,25914.57,3866.879,1772636.355,0.0
11-2014,203645.423,245.959,1434707.347,48500.482,21397.594,12717.222,2970.764,1724184.7910000002,0.0
12-2014,105147.902,3543.719,1485922.272,58812.08,36658.842,23691.784,3005.146,1716781.745,0.0
01-2015,65475.528,7889.564,1501257.862,66691.635,59476.51,20658.113,3860.103,1725309.3149999997,0.0
