Fecha,Hidráulica,Ciclo combinado,Eólica,Solar fotovoltaica,Otras renovables,Cogeneración,Residuos no renovables,Residuos renovables,Generación total
01-2013,66999.112,287156.937,32763.432,1214.082,2333.157,154586.339,42869.6685,0.0,618263.506
02-2013,87593.329,256553.618,24879.163,1168.13,1845.302,140920.203,39074.668,0.0,578414.2969999999
03-2013,77879.471,213030.587,33076.768,2226.819,1866.68,167272.149,29700.4185,30340.7785,540445.6680000001
04-2013,54273.531,150507.052,31433.434,2731.128,6200.333,162110.551,10331.906,26379.884,417594.725
05-2013,49720.934,281625.843,28495.421,2722.769,6229.209,160252.835,10868.523,15392.7755,541140.28
06-2013,54491.78,270971.026,22954.968,3245.463,5893.452,157616.944,8729.795,6.79,523903.4279999999
07-2013,21422.65,385742.543,13277.464,4033.691,6224.917,146189.219,10907.727,1224.746,587798.211
08-2013,15769.525,365250.004,19884.755,3472.977,4598.66,101297.586,25766.6365,14813.1585,550853.302
09-2013,13862.964,307423.607,22160.498,2706.057,6817.517,140365.152,39053.5405,28267.5385,560656.8740000001
10-2013,14371.479,180253.9,36624.763,1976.739,6821.466,146605.532,39911.792,29458.261,456023.93200000003
11-2013,60061.072,198924.105,47104.448,909.092,6648.421,148596.989,32440.5595,26688.3245,521373.01099999994
12-2013,49149.127,232255.988,43698.336,1208.484,5692.505,150537.019,38938.3285,29288.4525,550768.24
01-2014,56137.321,165356.45,45514.873,971.716,6636.204,145383.271,37318.131,27154.22,484472.1860000001
02-2014,64627.182,116920.153,34560.258,1527.685,2667.901,92650.523,28170.0275,19610.9925,360734.72200000007
03-2014,73196.281,163434.916,29378.845,2589.715,1782.365,112827.585,12458.654,2789.875,398458.23600000003
04-2014,34926.918,143917.408,21161.631,3069.037,1497.409,118920.762,27277.439,16698.863,367469.46700000006
05-2014,23424.316,215699.405,30301.912,3425.47,1349.975,164805.961,36448.813,23218.435,498674.28699999995
06-2014,20774.8,343437.579,20957.291,3623.305,1404.732,168158.909,38307.214,24854.523,621518.3530000001
