Fecha,Hidráulica,Turbinación bombeo,Carbón,Ciclo combinado,Eólica,Solar fotovoltaica,Otras renovables,Cogeneración,Residuos no renovables,Generación total
01-2013,269972.533,3106.925,688295.176,43553.97,145048.473,31.196,49640.572,32063.617,42433.887,1274146.3490000002
02-2013,357917.737,3027.209,611233.43,24230.764,76596.579,32.785,44692.9,32749.082,41106.51,1191586.9959999998
03-2013,324249.602,8522.758,368914.963,37834.206,104268.613,55.841,42754.17,35868.141,46736.978,969205.272
04-2013,335356.018,6306.182,151700.718,17427.257,88325.225,74.927,47339.183,35713.2,43807.706,726050.4159999999
05-2013,246157.917,3090.948,430431.22,12951.75,59822.136,65.959,50086.951,33894.202,37277.503,873778.586
06-2013,151074.508,925.772,564168.44,-1136.26,75628.597,89.043,29608.821,32550.732,36764.756,889674.4089999999
07-2013,83543.084,1815.845,1029778.339,-1140.252,65589.614,97.812,50830.942,30569.03,41517.516,1302601.9300000002
08-2013,54778.387,2383.049,839142.454,1797.607,54068.317,90.586,51483.749,27520.769,34188.304,1065453.2219999998
09-2013,46938.337,5394.631,999189.926,20855.687,49339.875,68.766,49082.822,31593.691,33615.803,1236079.5380000002
10-2013,37597.985,6764.847,1102280.696,50349.05,120582.397,57.928,49718.809,25875.917,43180.795,1436408.4239999999
11-2013,116711.161,5740.778,645042.041,31695.58,159444.106,36.102,47406.911,26376.27,41944.189,1074397.1379999998
12-2013,134423.962,6919.466,1107240.924,55556.86,141878.356,37.19,50255.485,28943.535,43764.453,1569020.2310000001
01-2014,296233.85,6490.721,448107.816,18374.34,194037.022,29.743,49040.661,31830.35,41244.689,1085389.1919999998
02-2014,293395.957,7582.949,176543.48,24377.58,174890.757,43.968,40001.515,24964.623,38636.081,780436.9100000001
03-2014,285753.638,6400.01,290379.747,12886.108,109336.334,59.924,48296.602,23606.191,29934.514,806653.068
04-2014,242155.435,7235.39,281630.473,18615.043,85332.242,59.066,49972.646,26156.118,8765.774,719922.1869999998
05-2014,134910.558,3681.686,525357.8,1751.47,76696.477,86.789,46900.164,29077.305,32912.615,851374.864
06-2014,101329.013,1038.756,1098873.364,-360.904,60766.489,84.477,30827.561,30236.446,30836.513,1353631.715
07-2014,72201.532,3492.67,1137817.737,347.722,48703.745,78.88,45091.97,28201.323,35076.573,1371012.1520000002
08-2014,42397.819,1655.186,985465.374,4811.587,54275.533,68.696,48790.301,27845.005,41784.422,1207093.923
09-2014,31688.856,1255.818,1069617.927,37568.207,36215.043,59.959,47310.419,26847.966,39189.216,1289753.4109999998
10-2014,45437.804,4919.124,995214.151,55066.47,77262.603,53.999,43679.652,31953.911,41735.92,1295323.6339999998
11-2014,118704.667,5952.005,694794.97,61940.06,146439.635,21.233,46430.915,27834.871,38566.365,1140684.7210000001
12-2014,213235.379,4211.374,841130.505,53344.139,76652.254,20.109,19222.282,29236.972,62955.797,1300008.8109999998
01-2015,149692.167,3032.911,1196302.417,45452.17,103831.214,29.522,20303.976,30144.901,53568.7,1602357.978
02-2015,345586.082,2014.908,750634.311,18421.19,140070.596,25.739,16698.421,26446.351,57425.017,1357322.615
03-2015,331241.62,2878.378,803563.732,12846.36,94285.928,42.757,19942.851,29163.463,62176.767,1356141.8560000001
04-2015,200714.648,3160.843,685541.261,10913.331,63914.442,68.393,20153.155,27124.191,41743.082,1053333.3460000001
05-2015,152623.463,1393.258,690600.197,5251.412,89572.008,77.876,19909.705,25252.274,67730.091,1052410.284
06-2015,83837.004,768.583,1115666.715,-984.466,36172.645,80.73,10477.661,31614.406,53325.061,1330958.3390000002
07-2015,59769.026,683.374,1298397.265,93715.881,48535.457,75.257,19398.858,32030.355,66551.675,1619157.1479999998
08-2015,33076.848,1745.402,1173248.871,18328.018,61598.738,73.958,23577.502,29050.358,69067.368,1409767.063
09-2015,31020.024,1611.07,1147370.66,665.681,68306.283,65.094,21975.756,28496.521,65285.285,1364796.374
10-2015,64099.618,2980.018,1201697.403,30011.676,95288.353,48.946,20288.048,30396.427,69706.304,1514516.7929999998
11-2015,95344.836,2862.317,1170477.238,65340.64,87789.136,31.706,22122.319,28906.238,65144.766,1538019.1959999995
12-2015,65149.931,3732.103,1234953.645,58317.303,147634.455,31.758,23254.445,29180.452,49016.92,1611271.012
01-2016,255760.493,5187.706,608822.048,34086.924,168879.605,24.036,20304.813,27883.657,57883.828,1178833.11
02-2016,321979.491,3293.237,490673.909,22079.875,114838.94,30.432,21418.135,26515.202,62450.816,1063280.0370000002
03-2016,393999.044,2899.999,486509.03,42601.219,125207.843,48.756,22355.426,28734.271,66711.245,1169066.833
04-2016,307875.357,4089.725,233360.558,2314.62,69163.92,60.635,23307.429,28624.176,64935.633,733732.0530000001
05-2016,207431.049,5208.487,191977.083,4931.42,56640.621,73.981,23393.404,28991.531,33276.409,551923.985
06-2016,121108.227,23.134,478210.673,2160.741,52129.842,66.209,9627.497,29795.226,43051.807,736173.356
