Fecha,Carbón,Motores diésel,Turbina de gas,Ciclo combinado,Eólica,Solar fotovoltaica,Otras renovables,Cogeneración,Residuos no renovables,Residuos renovables,Generación total
01-2013,182299.427,58812.649,30802.12,36854.98,686.511,7273.131,0.0,2387.685,8621.6265,8621.6265,336432.458
02-2013,172762.741,52746.378,33286.273,51128.17,673.931,7403.831,0.0,2252.451,6081.7205,6081.7205,332464.33699999994
03-2013,186533.31,52141.274,32332.702,38342.601,766.675,11493.687,0.0,2108.623,8029.718,8029.718,339852.945
04-2013,175475.452,54645.459,25451.57,25038.955,552.356,11208.863,0.0,487.962,7700.8215,7700.8215,308355.5520000001
05-2013,187896.412,67039.77,32308.272,37992.789,439.231,12639.329,0.0,2621.27,8209.6945,8209.6945,357356.46200000006
06-2013,200606.942,70135.246,39630.894,15434.568,390.755,13817.142,72.702,2600.683,11852.555,11852.555,366321.34
07-2013,246666.415,92157.515,61583.018,35278.08,211.305,14315.853,47.121,3228.567,10855.8735,10855.8735,475152.49999999994
08-2013,248251.673,88922.61,68501.819,29391.772,355.261,12862.862,74.637,2845.348,11387.2975,11387.2975,473905.94
09-2013,229416.734,66613.638,57750.919,3171.398,349.421,10744.505,93.292,2168.719,14086.389,14086.389,398388.11199999996
10-2013,169654.499,49664.212,51097.556,53300.551,476.562,8780.527,65.148,826.85,9534.9835,9534.9835,352935.87199999986
11-2013,168250.633,37936.91,43384.515,34943.772,771.94,5601.847,60.49,1776.366,7910.633,7910.633,308547.73899999994
12-2013,182826.166,54606.176,38209.33,46453.092,485.52,5971.275,92.303,2416.298,8795.2825,8795.2825,348650.72500000003
01-2014,183089.327,57672.186,28626.27,32275.425,586.691,5827.915,123.037,2086.281,7939.653,7939.653,326166.43799999997
02-2014,150082.495,54580.672,24741.792,44289.522,634.687,8461.308,171.781,1683.588,6507.445,6507.445,297660.735
03-2014,160255.575,38102.189,43267.237,51621.898,748.723,11097.609,228.412,1810.603,9425.1545,9425.1545,325982.55500000005
04-2014,174012.561,37100.252,44385.816,15257.42,441.116,12721.366,198.907,758.587,11604.4115,11604.4115,308084.84799999994
05-2014,194495.332,51171.797,47011.785,32884.425,509.305,12506.914,261.481,1364.86,5269.725,5269.725,350745.34899999993
06-2014,206570.047,60444.23,58179.416,15844.592,341.93,13246.777,167.185,1651.108,13186.8355,13186.8355,382818.95599999995
07-2014,234612.764,71924.772,76120.493,17515.225,353.502,13532.742,88.993,2628.247,14742.679,14742.679,446262.09599999996
08-2014,238509.243,79769.32,79659.34,26367.671,302.252,12554.948,120.734,2446.642,11272.941,11272.941,462276.03199999983
09-2014,227702.616,71195.055,66582.156,15843.344,236.247,10351.79,92.248,2744.18,13986.786,13986.786,422721.208
